"08:57:00.196 -> IR=5023, BPM=103.27, Avg BPM=106⸮⸮IR=114877, BPM=41.07, Avg BPM=49"
"08:57:00.236 -> IR=114882, BPM=41.07, Avg BPM=49"
"08:57:00.237 -> IR=114883, BPM=41.07, Avg BPM=49"
"08:57:00.241 -> IR=114900, BPM=41.07, Avg BPM=49"
"08:57:00.273 -> IR=114924, BPM=41.07, Avg BPM=49"
"08:57:00.278 -> IR=114930, BPM=41.07, Avg BPM=49"
"08:57:00.290 -> IR=114933, BPM=41.07, Avg BPM=49"
"08:57:00.311 -> IR=114944, BPM=41.07, Avg BPM=49"
"08:57:00.330 -> IR=114962, BPM=41.07, Avg BPM=49"
"08:57:00.351 -> IR=114964, BPM=41.07, Avg BPM=49"
"08:57:00.370 -> IR=114970, BPM=41.07, Avg BPM=49"
"08:57:00.390 -> IR=114984, BPM=41.07, Avg BPM=49"
"08:57:00.410 -> IR=114995, BPM=41.07, Avg BPM=49"
"08:57:00.431 -> IR=115000, BPM=41.07, Avg BPM=49"
"08:57:00.450 -> IR=114990, BPM=41.07, Avg BPM=49"
"08:57:00.470 -> IR=114946, BPM=41.07, Avg BPM=49"
"08:57:00.490 -> IR=114848, BPM=41.07, Avg BPM=49"
"08:57:00.510 -> IR=114805, BPM=41.07, Avg BPM=49"
"08:57:00.530 -> IR=114857, BPM=41.07, Avg BPM=49"
"08:57:00.550 -> IR=114908, BPM=41.07, Avg BPM=49"
"08:57:00.571 -> IR=114939, BPM=41.07, Avg BPM=49"
"08:57:00.591 -> IR=114964, BPM=41.07, Avg BPM=49"
"08:57:00.620 -> IR=114983, BPM=41.07, Avg BPM=49"
"08:57:00.638 -> IR=115001, BPM=41.07, Avg BPM=49"
"08:57:00.670 -> IR=115001, BPM=41.07, Avg BPM=49"
"08:57:00.689 -> IR=115006, BPM=41.07, Avg BPM=49"
"08:57:00.703 -> IR=115006, BPM=41.07, Avg BPM=49"
"08:57:00.720 -> IR=115010, BPM=41.07, Avg BPM=49"
"08:57:00.737 -> IR=115007, BPM=41.07, Avg BPM=49"
"08:57:00.753 -> IR=115014, BPM=41.07, Avg BPM=49"
"08:57:00.771 -> IR=115026, BPM=41.07, Avg BPM=49"
"08:57:00.791 -> IR=115038, BPM=41.07, Avg BPM=49"
"08:57:00.811 -> IR=115042, BPM=41.07, Avg BPM=49"
"08:57:00.831 -> IR=115049, BPM=41.07, Avg BPM=49"
"08:57:00.851 -> IR=115059, BPM=41.07, Avg BPM=49"
"08:57:00.871 -> IR=115072, BPM=41.07, Avg BPM=49"
"08:57:00.891 -> IR=115094, BPM=41.07, Avg BPM=49"
"08:57:00.911 -> IR=115091, BPM=41.07, Avg BPM=49"
"08:57:00.931 -> IR=115105, BPM=41.07, Avg BPM=49"
"08:57:00.951 -> IR=115111, BPM=41.07, Avg BPM=49"
"08:57:00.971 -> IR=115129, BPM=41.07, Avg BPM=49"
"08:57:00.992 -> IR=115141, BPM=41.07, Avg BPM=49"
"08:57:01.011 -> IR=115145, BPM=41.07, Avg BPM=49"
"08:57:01.031 -> IR=115146, BPM=41.07, Avg BPM=49"
"08:57:01.051 -> IR=115144, BPM=41.07, Avg BPM=49"
"08:57:01.071 -> IR=115125, BPM=41.07, Avg BPM=49"
"08:57:01.091 -> IR=115002, BPM=41.07, Avg BPM=49"
"08:57:01.111 -> IR=114831, BPM=41.07, Avg BPM=49"
"08:57:01.131 -> IR=114780, BPM=41.07, Avg BPM=49"
"08:57:01.151 -> IR=114807, BPM=41.07, Avg BPM=49"
"08:57:01.171 -> IR=114848, BPM=41.07, Avg BPM=49"
"08:57:01.191 -> IR=114901, BPM=41.07, Avg BPM=49"
"08:57:01.211 -> IR=114956, BPM=41.07, Avg BPM=49"
"08:57:01.231 -> IR=114987, BPM=41.07, Avg BPM=49"
"08:57:01.251 -> IR=115015, BPM=41.07, Avg BPM=49"
"08:57:01.273 -> IR=115032, BPM=41.07, Avg BPM=49"
"08:57:01.292 -> IR=115033, BPM=41.07, Avg BPM=49"
"08:57:01.312 -> IR=115026, BPM=41.07, Avg BPM=49"
"08:57:01.332 -> IR=115000, BPM=41.07, Avg BPM=49"
"08:57:01.352 -> IR=114991, BPM=41.07, Avg BPM=49"
"08:57:01.372 -> IR=114983, BPM=41.07, Avg BPM=49"
"08:57:01.392 -> IR=115008, BPM=41.07, Avg BPM=49"
"08:57:01.412 -> IR=115028, BPM=41.07, Avg BPM=49"
"08:57:01.432 -> IR=115046, BPM=41.07, Avg BPM=49"
"08:57:01.452 -> IR=115058, BPM=41.07, Avg BPM=49"
"08:57:01.472 -> IR=115071, BPM=41.07, Avg BPM=49"
"08:57:01.492 -> IR=115076, BPM=41.07, Avg BPM=49"
"08:57:01.512 -> IR=115079, BPM=41.07, Avg BPM=49"
"08:57:01.532 -> IR=115086, BPM=10.26, Avg BPM=49"
"08:57:01.552 -> IR=115102, BPM=10.26, Avg BPM=49"
"08:57:01.572 -> IR=115103, BPM=10.26, Avg BPM=49"
"08:57:01.592 -> IR=115112, BPM=10.26, Avg BPM=49"
"08:57:01.612 -> IR=115120, BPM=10.26, Avg BPM=49"
"08:57:01.632 -> IR=115131, BPM=10.26, Avg BPM=49"
"08:57:01.652 -> IR=115132, BPM=10.26, Avg BPM=49"
"08:57:01.672 -> IR=115102, BPM=10.26, Avg BPM=49"
"08:57:01.692 -> IR=114907, BPM=10.26, Avg BPM=49"
"08:57:01.712 -> IR=114704, BPM=10.26, Avg BPM=49"
"08:57:01.732 -> IR=114619, BPM=10.26, Avg BPM=49"
"08:57:01.752 -> IR=114647, BPM=10.26, Avg BPM=49"
"08:57:01.772 -> IR=114720, BPM=10.26, Avg BPM=49"
"08:57:01.792 -> IR=114806, BPM=10.26, Avg BPM=49"
"08:57:01.812 -> IR=114870, BPM=10.26, Avg BPM=49"
"08:57:01.832 -> IR=114935, BPM=10.26, Avg BPM=49"
"08:57:01.852 -> IR=114997, BPM=10.26, Avg BPM=49"
"08:57:01.872 -> IR=115037, BPM=10.26, Avg BPM=49"
"08:57:01.892 -> IR=115051, BPM=10.26, Avg BPM=49"
"08:57:01.912 -> IR=115061, BPM=10.26, Avg BPM=49"
"08:57:01.932 -> IR=115044, BPM=10.26, Avg BPM=49"
"08:57:01.952 -> IR=115038, BPM=10.26, Avg BPM=49"
"08:57:01.972 -> IR=115023, BPM=10.26, Avg BPM=49"
"08:57:01.992 -> IR=115030, BPM=10.26, Avg BPM=49"
"08:57:02.012 -> IR=115057, BPM=10.26, Avg BPM=49"
"08:57:02.032 -> IR=115076, BPM=10.26, Avg BPM=49"
"08:57:02.052 -> IR=115104, BPM=10.26, Avg BPM=49"
"08:57:02.072 -> IR=115114, BPM=10.26, Avg BPM=49"
"08:57:02.092 -> IR=115131, BPM=10.26, Avg BPM=49"
"08:57:02.112 -> IR=115132, BPM=103.45, Avg BPM=52"
"08:57:02.132 -> IR=115146, BPM=103.45, Avg BPM=52"
"08:57:02.152 -> IR=115161, BPM=103.45, Avg BPM=52"
"08:57:02.172 -> IR=115172, BPM=103.45, Avg BPM=52"
"08:57:02.192 -> IR=115173, BPM=103.45, Avg BPM=52"
"08:57:02.212 -> IR=115178, BPM=103.45, Avg BPM=52"
"08:57:02.232 -> IR=115186, BPM=103.45, Avg BPM=52"
"08:57:02.252 -> IR=115190, BPM=103.45, Avg BPM=52"
"08:57:02.272 -> IR=115181, BPM=103.45, Avg BPM=52"
"08:57:02.304 -> IR=115162, BPM=103.45, Avg BPM=52"
"08:57:02.322 -> IR=115008, BPM=103.45, Avg BPM=52"
"08:57:02.338 -> IR=114737, BPM=103.45, Avg BPM=52"
"08:57:02.355 -> IR=114571, BPM=103.45, Avg BPM=52"
"08:57:02.373 -> IR=114562, BPM=103.45, Avg BPM=52"
"08:57:02.393 -> IR=114622, BPM=103.45, Avg BPM=52"
"08:57:02.413 -> IR=114704, BPM=103.45, Avg BPM=52"
"08:57:02.433 -> IR=114772, BPM=103.45, Avg BPM=52"
"08:57:02.453 -> IR=114829, BPM=103.45, Avg BPM=52"
"08:57:02.473 -> IR=114882, BPM=103.45, Avg BPM=52"
"08:57:02.493 -> IR=114950, BPM=103.45, Avg BPM=52"
