,1984, 0
0,1953,0.0
1,1936,0.0
2,1911,0.0
3,1897,0.0
4,1874,0.0
5,1858,0.0
6,1841,0.0
7,1833,0.0
8,1821,0.0
9,1817,0.0
10,1809,0.0
11,1808,0.0
12,1808,0.0
13,1809,0.0
14,1818,0.0
15,1823,0.0
16,1827,0.0
17,1810,0.0
18,1833,0.0
19,1839,0.0
20,1840,0.0
21,1842,0.0
22,1840,0.0
23,1840,0.0
24,1835,0.0
25,1840,0.0
26,1842,0.0
27,1843,0.0
28,1841,0.0
29,1840,0.0
30,1835,0.0
31,1829,0.0
32,1826,0.0
33,1840,0.0
34,1855,0.0
35,1889,0.0
36,1925,0.0
37,1981,0.0
38,2030,0.0
39,2090,0.0
40,2138,0.0
41,2178,0.0
42,2208,0.0
43,2223,0.0
44,2233,0.0
45,2235,0.0
46,2224,0.0
47,2208,0.0
48,2184,0.0
49,2160,0.0
50,2125,0.0
51,2098,0.0
52,2072,0.0
53,2056,0.0
54,2018,0.0
55,2000,0.0
56,1984,0.0
57,1973,0.0
58,1963,0.0
59,1944,0.0
60,1933,0.0
61,1922,0.0
62,1915,0.0
63,1909,0.0
64,1906,0.0
65,1908,0.0
66,1904,0.0
67,1946,0.0
68,1908,0.0
69,1911,0.0
70,1913,0.0
71,1925,0.0
72,1910,0.0
73,1915,0.0
74,1915,0.0
75,1912,0.0
76,1906,0.0
77,1878,0.0
78,1895,0.0
79,1895,0.0
80,1881,0.0
81,1877,0.0
82,1875,0.0
83,1874,0.0
84,1870,0.0
85,1867,0.0
86,1858,0.0
87,1866,0.0
88,1863,0.0
89,1851,0.0
90,1862,0.0
91,1861,0.0
92,1855,0.0
93,1861,0.0
94,1854,0.0
95,1851,0.0
96,1846,0.0
97,1846,1.0
98,1845,1.0
99,1854,1.0
100,1846,1.0
101,1853,1.0
102,1840,1.0
103,1843,1.0
104,1838,1.0
105,1840,1.0
106,1831,1.0
107,1831,1.0
108,1825,1.0
109,1827,1.0
110,1825,1.0
111,1830,1.0
112,1834,1.0
113,1856,1.0
114,1879,1.0
115,1918,1.0
116,1957,1.0
117,2010,1.0
118,2067,1.0
119,2125,1.0
120,2167,1.0
121,2210,1.0
122,2238,1.0
123,2257,1.0
124,2265,1.0
125,2258,1.0
126,2235,1.0
127,2224,1.0
128,2191,1.0
129,2163,1.0
130,2134,1.0
131,2112,1.0
132,2082,1.0
133,2059,1.0
134,2042,1.0
135,2026,1.0
136,2001,1.0
137,1983,1.0
138,1965,1.0
139,1956,1.0
140,1937,1.0
141,1935,1.0
142,1923,1.0
143,1923,1.0
144,1919,1.0
145,1922,1.0
146,1924,1.0
147,1925,1.0
148,1925,1.0
149,1935,1.0
150,1930,1.0
151,1932,1.0
152,1934,1.0
153,1936,1.0
154,1931,1.0
155,1934,1.0
156,1919,1.0
157,1916,1.0
158,1903,1.0
159,1902,1.0
160,1886,1.0
161,1887,1.0
162,1885,1.0
163,1889,1.0
164,1872,1.0
165,1873,1.0
166,1869,1.0
167,1867,1.0
168,1863,1.0
169,1868,1.0
170,1859,1.0
171,1869,1.0
172,1872,1.0
173,1870,1.0
174,1867,1.0
175,1872,1.0
176,1866,1.0
177,1867,1.0
178,1857,1.0
179,1855,1.0
180,1847,1.0
181,1844,1.0
182,1839,1.0
183,1834,1.0
184,1825,1.0
185,1829,1.0
186,1821,1.0
187,1828,1.0
188,1823,1.0
189,1826,1.0
190,1826,1.0
191,1837,1.0
192,1826,1.0
193,1837,1.0
194,1845,1.0
195,1873,1.0
196,1911,1.0
197,1968,2.0
198,2045,2.0
199,2097,2.0
200,2163,2.0
201,2230,2.0
202,2283,2.0
203,2325,2.0
204,2351,2.0
205,2362,2.0
206,2359,2.0
207,2351,2.0
208,2326,2.0
209,2298,2.0
210,2267,2.0
211,2235,2.0
212,2201,2.0
213,2181,2.0
214,2154,2.0
215,2141,2.0
216,2121,2.0
217,2107,2.0
218,2091,2.0
219,2069,2.0
220,2046,2.0
221,2032,2.0
222,2010,2.0
223,1983,2.0
224,1986,2.0
225,1989,2.0
226,1991,2.0
227,1991,2.0
228,1991,2.0
229,1995,2.0
230,1987,2.0
231,1994,2.0
232,1993,2.0
233,1987,2.0
234,1978,2.0
235,1971,2.0
236,1967,2.0
237,1966,2.0
238,1969,2.0
239,1950,2.0
240,1931,2.0
241,1924,2.0
242,1911,2.0
243,1905,2.0
244,1898,2.0
245,1891,2.0
246,1872,2.0
247,1872,2.0
248,1861,2.0
249,1857,2.0
250,1852,2.0
251,1861,2.0
252,1863,2.0
253,1869,2.0
254,1871,2.0
255,1874,2.0
256,1878,2.0
257,1877,2.0
258,1872,2.0
259,1842,2.0
260,1860,2.0
261,1857,2.0
262,1851,2.0
263,1849,2.0
264,1840,2.0
265,1856,2.0
266,1840,2.0
267,1841,2.0
268,1834,2.0
269,1856,2.0
270,1874,2.0
271,1915,2.0
272,1965,2.0
273,2022,2.0
274,2094,2.0
275,2175,2.0
276,2242,2.0
277,2320,2.0
278,2372,2.0
279,2420,2.0
280,2446,2.0
281,2455,2.0
282,2450,2.0
283,2429,2.0
284,2401,2.0
285,2384,2.0
286,2350,2.0
287,2318,2.0
288,2275,2.0
289,2240,2.0
290,2193,2.0
291,2177,2.0
292,2141,2.0
293,2111,2.0
294,2080,2.0
295,2044,2.0
296,2016,2.0
297,2002,3.0
298,1983,3.0
299,1983,3.0
300,1968,3.0
301,1977,3.0
302,1970,3.0
303,1979,3.0
304,1979,3.0
305,1981,3.0
306,1975,3.0
307,1985,3.0
308,1975,3.0
309,1998,3.0
310,1968,3.0
311,1965,3.0
312,1959,3.0
