,1337, 0
0,1399,0.0
1,1456,0.0
2,1525,0.0
3,1607,0.0
4,1698,0.0
5,1818,0.0
6,1950,0.0
7,2105,0.0
8,2267,0.0
9,2434,0.0
10,2585,0.0
11,2710,0.0
12,2790,0.0
13,2864,0.0
14,2896,0.0
15,2904,0.0
16,2882,0.0
17,2859,0.0
18,2816,0.0
19,2725,0.0
20,2735,0.0
21,2692,0.0
22,2658,0.0
23,2625,0.0
24,2579,0.0
25,2544,0.0
26,2482,0.0
27,2441,0.0
28,2379,0.0
29,2309,0.0
30,2237,0.0
31,2169,0.0
32,2112,0.0
33,2057,0.0
34,1997,0.0
35,1965,0.0
36,1934,0.0
37,1919,0.0
38,1913,0.0
39,1909,0.0
40,1901,0.0
41,1901,0.0
42,1902,0.0
43,1904,0.0
44,1903,0.0
45,1901,0.0
46,1887,0.0
47,1879,0.0
48,1861,0.0
49,1855,0.0
50,1841,0.0
51,1854,0.0
52,1819,0.0
53,1806,0.0
54,1787,0.0
55,1775,0.0
56,1755,0.0
57,1741,0.0
58,1725,0.0
59,1719,0.0
60,1703,0.0
61,1697,0.0
62,1690,0.0
63,1680,0.0
64,1674,0.0
65,1663,0.0
66,1648,0.0
67,1647,0.0
68,1635,0.0
69,1623,0.0
70,1611,0.0
71,1611,0.0
72,1604,0.0
73,1600,0.0
74,1600,0.0
75,1597,0.0
76,1591,0.0
77,1556,0.0
78,1580,0.0
79,1587,0.0
80,1577,0.0
81,1582,0.0
82,1579,0.0
83,1587,0.0
84,1584,0.0
85,1584,0.0
86,1575,0.0
87,1567,0.0
88,1559,0.0
89,1553,0.0
90,1552,0.0
91,1552,0.0
92,1549,0.0
93,1548,0.0
94,1547,0.0
95,1550,0.0
96,1551,0.0
97,1569,1.0
98,1600,1.0
99,1653,1.0
100,1728,1.0
101,1849,1.0
102,1979,1.0
103,2144,1.0
104,2309,1.0
105,2474,1.0
106,2612,1.0
107,2735,1.0
108,2825,1.0
109,2880,1.0
110,2907,1.0
111,2893,1.0
112,2877,1.0
113,2835,1.0
114,2786,1.0
115,2736,1.0
116,2681,1.0
117,2630,1.0
118,2580,1.0
119,2530,1.0
120,2480,1.0
121,2427,1.0
122,2368,1.0
123,2306,1.0
124,2243,1.0
125,2183,1.0
126,2117,1.0
127,2065,1.0
128,2009,1.0
129,1978,1.0
130,1952,1.0
131,1939,1.0
132,1938,1.0
133,1927,1.0
134,1929,1.0
135,1936,1.0
136,1941,1.0
137,1949,1.0
138,1949,1.0
139,1949,1.0
140,1939,1.0
141,1934,1.0
142,1904,1.0
143,1894,1.0
144,1869,1.0
145,1856,1.0
146,1837,1.0
147,1818,1.0
148,1795,1.0
149,1781,1.0
150,1764,1.0
151,1751,1.0
152,1730,1.0
153,1728,1.0
154,1721,1.0
155,1712,1.0
156,1697,1.0
157,1694,1.0
158,1682,1.0
159,1682,1.0
160,1676,1.0
161,1675,1.0
162,1666,1.0
163,1665,1.0
164,1659,1.0
165,1654,1.0
166,1646,1.0
167,1643,1.0
168,1629,1.0
169,1626,1.0
170,1611,1.0
171,1607,1.0
172,1594,1.0
173,1596,1.0
174,1588,1.0
175,1584,1.0
176,1582,1.0
177,1581,1.0
178,1574,1.0
179,1572,1.0
180,1551,1.0
181,1575,1.0
182,1569,1.0
183,1568,1.0
184,1569,1.0
185,1572,1.0
186,1573,1.0
187,1570,1.0
188,1568,1.0
189,1581,1.0
190,1609,1.0
191,1664,1.0
192,1751,1.0
193,1879,1.0
194,2062,1.0
195,2225,1.0
196,2409,1.0
197,2589,2.0
198,2751,2.0
199,2883,2.0
200,2973,2.0
201,3031,2.0
202,3043,2.0
203,3046,2.0
204,3005,2.0
205,2969,2.0
206,2914,2.0
207,2866,2.0
208,2819,2.0
209,2775,2.0
210,2738,2.0
211,2705,2.0
212,2669,2.0
213,2631,2.0
214,2587,2.0
215,2535,2.0
216,2475,2.0
217,2415,2.0
218,2346,2.0
219,2279,2.0
220,2217,2.0
221,2161,2.0
222,2109,2.0
223,2077,2.0
224,2039,2.0
225,2031,2.0
226,2026,2.0
227,2032,2.0
228,2027,2.0
229,2034,2.0
230,2034,2.0
231,2037,2.0
232,2032,2.0
233,2032,2.0
234,2017,2.0
235,2014,2.0
236,2023,2.0
237,1983,2.0
238,1965,2.0
239,1946,2.0
240,1922,2.0
241,1897,2.0
242,1872,2.0
243,1843,2.0
244,1811,2.0
245,1793,2.0
246,1766,2.0
247,1745,2.0
248,1731,2.0
249,1718,2.0
250,1703,2.0
251,1703,2.0
252,1695,2.0
253,1694,2.0
254,1682,2.0
255,1689,2.0
256,1675,2.0
257,1669,2.0
258,1664,2.0
259,1667,2.0
260,1655,2.0
261,1650,2.0
262,1638,2.0
263,1648,2.0
264,1628,2.0
265,1619,2.0
266,1613,2.0
267,1605,2.0
268,1599,2.0
