,1743, 0
0,1755,0.0
1,1744,0.0
2,1723,0.0
3,1725,0.0
4,1708,0.0
5,1735,0.0
6,1773,0.0
7,1931,0.0
8,2176,0.0
9,2480,0.0
10,2843,0.0
11,3231,0.0
12,3751,0.0
13,3964,0.0
14,3984,0.0
15,3971,0.0
16,3984,0.0
17,3970,0.0
18,3871,0.0
19,3393,0.0
20,3023,0.0
21,2693,0.0
22,2406,0.0
23,2147,0.0
24,1919,0.0
25,1731,0.0
26,1594,0.0
27,1510,0.0
28,1461,0.0
29,1441,0.0
30,1449,0.0
31,1459,0.0
32,1481,0.0
33,1505,1.0
34,1534,1.0
35,1558,1.0
36,1609,1.0
37,1669,1.0
38,1719,1.0
39,1751,1.0
40,1824,1.0
41,1850,1.0
42,1895,1.0
43,1917,1.0
44,1931,1.0
45,1940,1.0
46,1929,1.0
47,1905,1.0
48,1870,1.0
49,1840,1.0
50,1808,1.0
51,1746,1.0
52,1714,1.0
53,1663,1.0
54,1641,1.0
55,1603,1.0
56,1571,1.0
57,1520,1.0
58,1520,1.0
59,1521,1.0
60,1504,1.0
61,1519,1.0
62,1524,1.0
63,1545,1.0
64,1552,1.0
65,1590,1.0
66,1594,1.0
67,1613,1.0
68,1622,1.0
69,1647,1.0
70,1653,1.0
71,1653,1.0
72,1651,1.0
73,1659,1.0
74,1681,1.0
75,1691,1.0
76,1679,1.0
77,1686,1.0
78,1665,1.0
79,1680,1.0
80,1667,1.0
81,1653,1.0
82,1648,1.0
83,1633,1.0
84,1623,1.0
85,1622,1.0
86,1605,1.0
87,1605,1.0
88,1610,1.0
89,1625,1.0
90,1626,1.0
91,1643,1.0
92,1646,1.0
93,1653,1.0
94,1661,1.0
95,1648,1.0
96,1630,1.0
97,1637,1.0
98,1645,1.0
99,1637,1.0
100,1657,1.0
101,1741,1.0
102,1931,1.0
103,2210,1.0
104,2542,1.0
105,2905,1.0
106,3341,1.0
107,3866,1.0
108,3968,1.0
109,3955,1.0
110,3952,1.0
111,3956,1.0
112,3966,1.0
113,3489,1.0
114,3113,1.0
115,2787,1.0
116,2470,1.0
117,2187,1.0
118,1937,1.0
119,1712,1.0
120,1551,1.0
121,1419,1.0
122,1344,1.0
123,1313,1.0
124,1301,1.0
125,1311,1.0
126,1330,1.0
127,1378,1.0
128,1423,1.0
129,1474,1.0
130,1520,1.0
131,1582,1.0
132,1632,1.0
133,1703,2.0
134,1767,2.0
135,1837,2.0
136,1883,2.0
137,1936,2.0
138,1959,2.0
139,1995,2.0
140,1990,2.0
141,1966,2.0
142,1936,2.0
143,1872,2.0
144,1823,2.0
145,1771,2.0
146,1733,2.0
147,1694,2.0
148,1655,2.0
149,1610,2.0
150,1589,2.0
151,1553,2.0
152,1545,2.0
153,1520,2.0
154,1514,2.0
155,1520,2.0
156,1548,2.0
157,1555,2.0
158,1598,2.0
159,1606,2.0
160,1634,2.0
161,1648,2.0
162,1664,2.0
163,1662,2.0
164,1669,2.0
165,1681,2.0
166,1667,2.0
167,1702,2.0
168,1711,2.0
169,1694,2.0
170,1712,2.0
171,1703,2.0
172,1685,2.0
173,1689,2.0
174,1671,2.0
175,1663,2.0
176,1649,2.0
177,1655,2.0
178,1648,2.0
179,1638,2.0
180,1629,2.0
181,1617,2.0
182,1631,2.0
183,1699,2.0
184,1815,2.0
185,2032,2.0
186,2298,2.0
187,2624,2.0
188,2995,2.0
189,3392,2.0
190,3866,2.0
191,3968,2.0
192,3973,2.0
193,3980,2.0
194,3957,2.0
195,3681,2.0
196,3248,2.0
197,2909,2.0
198,2599,2.0
199,2327,2.0
200,2087,2.0
201,1857,2.0
202,1701,2.0
203,1570,2.0
204,1457,2.0
205,1420,2.0
206,1380,2.0
207,1372,2.0
208,1374,2.0
209,1365,2.0
210,1390,2.0
211,1415,2.0
212,1486,2.0
213,1533,2.0
214,1612,2.0
215,1677,2.0
216,1758,2.0
217,1819,2.0
218,1887,2.0
219,1961,2.0
220,1984,2.0
221,2021,2.0
222,2011,2.0
223,1993,2.0
224,1939,2.0
225,1901,2.0
226,1840,2.0
227,1797,2.0
228,1725,2.0
229,1675,2.0
230,1619,2.0
231,1610,2.0
232,1573,2.0
233,1530,3.0
234,1532,3.0
235,1505,3.0
236,1503,3.0
237,1507,3.0
238,1507,3.0
239,1515,3.0
240,1550,3.0
241,1557,3.0
242,1600,3.0
243,1597,3.0
244,1627,3.0
245,1648,3.0
246,1670,3.0
247,1670,3.0
248,1685,3.0
249,1667,3.0
250,1680,3.0
251,1686,3.0
252,1701,3.0
253,1693,3.0
254,1686,3.0
255,1677,3.0
256,1666,3.0
257,1675,3.0
258,1654,3.0
259,1656,3.0
260,1633,3.0
261,1623,3.0
262,1605,3.0
263,1615,3.0
264,1581,3.0
265,1572,3.0
266,1565,3.0
267,1561,3.0
268,1559,3.0
269,1601,3.0
270,1639,3.0
271,1790,3.0
272,2045,3.0
273,2366,3.0
274,2737,3.0
