,3988, 0
0,3987,0.0
1,3994,0.0
2,3997,0.0
3,3990,0.0
4,4003,0.0
5,3993,0.0
6,3987,0.0
7,3987,0.0
8,3989,0.0
9,3987,0.0
10,3984,0.0
11,3993,0.0
12,3994,0.0
13,3994,0.0
14,3994,0.0
15,3984,0.0
16,3990,0.0
17,4002,0.0
18,3988,0.0
19,3989,0.0
20,3989,0.0
21,3999,0.0
22,3995,0.0
23,3999,0.0
24,3995,0.0
25,3984,0.0
26,3989,0.0
27,4000,0.0
28,4001,0.0
29,3996,0.0
30,3987,0.0
31,3986,0.0
32,3985,0.0
33,3990,0.0
34,3989,0.0
35,3986,0.0
36,3985,0.0
37,3984,0.0
38,3990,0.0
39,3995,0.0
40,3995,0.0
41,3989,0.0
42,3984,0.0
43,4004,0.0
44,3995,0.0
45,3995,0.0
46,3985,0.0
47,3998,0.0
48,3975,0.0
49,3986,0.0
50,3987,0.0
51,3998,0.0
52,3999,0.0
53,3991,0.0
54,4003,0.0
55,3984,1.0
56,3999,1.0
57,3994,1.0
58,3987,1.0
59,3994,1.0
60,3987,1.0
61,3991,1.0
62,3989,1.0
63,4000,1.0
64,3991,1.0
65,3995,1.0
66,3985,1.0
67,4010,1.0
68,3999,1.0
69,3990,1.0
70,3998,1.0
71,3989,1.0
72,3985,1.0
73,3990,1.0
74,3985,1.0
75,3989,1.0
76,3988,1.0
77,3990,1.0
78,3989,1.0
79,3989,1.0
80,3997,1.0
81,3990,1.0
82,3991,1.0
83,3989,1.0
84,3999,1.0
85,3991,1.0
86,3996,1.0
87,3987,1.0
88,3990,1.0
89,3984,1.0
90,3991,1.0
91,3990,1.0
92,3985,1.0
93,3985,1.0
94,3994,1.0
95,3995,1.0
96,3990,1.0
97,3987,1.0
98,3986,1.0
99,3983,1.0
100,3990,1.0
101,3985,1.0
102,3994,1.0
103,3993,1.0
104,3995,1.0
105,3999,1.0
106,4000,1.0
107,3994,1.0
108,3999,1.0
109,3984,1.0
110,3995,1.0
111,3990,1.0
112,3984,1.0
113,3994,1.0
114,3991,1.0
115,3991,1.0
116,3998,1.0
117,3996,1.0
