,3998, 0
0,4018,0.0
1,3987,0.0
2,3991,0.0
3,3983,0.0
4,4000,0.0
5,3993,0.0
6,3987,0.0
7,3985,0.0
8,3923,0.0
9,3415,0.0
10,3119,0.0
11,2829,0.0
12,2621,0.0
13,2426,0.0
14,2220,0.0
15,2039,0.0
16,1869,0.0
17,1725,0.0
18,1590,0.0
19,1463,0.0
20,1344,0.0
21,1265,0.0
22,1227,0.0
23,1203,0.0
24,1215,0.0
25,1231,0.0
26,1279,0.0
27,1346,0.0
28,1392,0.0
29,1481,0.0
30,1581,0.0
31,1639,0.0
32,1680,0.0
33,1742,0.0
34,1759,0.0
35,1767,1.0
36,1792,1.0
37,1782,1.0
38,1779,1.0
39,1733,1.0
40,1731,1.0
41,1648,1.0
42,1601,1.0
43,1547,1.0
44,1488,1.0
45,1470,1.0
46,1437,1.0
47,1383,1.0
48,1354,1.0
49,1360,1.0
50,1356,1.0
51,1303,1.0
52,1309,1.0
53,1295,1.0
54,1291,1.0
55,1314,1.0
56,1295,1.0
57,1330,1.0
58,1323,1.0
59,1305,1.0
60,1337,1.0
61,1360,1.0
62,1467,1.0
63,1597,1.0
64,1803,1.0
65,2102,1.0
66,2458,1.0
67,2863,1.0
68,3350,1.0
69,3991,1.0
70,3984,1.0
71,4031,1.0
72,3994,1.0
73,4011,1.0
74,3995,1.0
75,3987,1.0
76,4010,1.0
77,4035,1.0
78,3570,1.0
79,3158,1.0
80,2889,1.0
81,2624,1.0
82,2391,1.0
83,2222,1.0
84,2032,1.0
85,1860,1.0
86,1715,1.0
87,1619,1.0
88,1479,1.0
89,1347,1.0
90,1241,1.0
91,1104,1.0
92,1008,1.0
93,989,1.0
94,942,1.0
95,958,1.0
96,1001,1.0
97,1054,1.0
98,1119,1.0
99,1234,1.0
100,1307,1.0
101,1410,1.0
102,1479,1.0
103,1531,1.0
104,1580,1.0
105,1598,1.0
106,1600,1.0
107,1613,1.0
108,1604,1.0
109,1606,1.0
110,1571,1.0
111,1517,1.0
112,1531,1.0
113,1467,1.0
114,1415,1.0
115,1409,1.0
116,1386,1.0
117,1342,1.0
118,1316,1.0
119,1286,1.0
120,1281,1.0
121,1311,1.0
122,1312,1.0
123,1327,1.0
124,1311,1.0
125,1360,1.0
126,1393,1.0
127,1419,1.0
128,1458,1.0
129,1509,1.0
130,1515,1.0
131,1527,1.0
132,1555,1.0
133,1563,1.0
134,1611,1.0
135,1647,2.0
136,1722,2.0
137,1864,2.0
138,2079,2.0
139,2384,2.0
140,2738,2.0
141,3120,2.0
142,3703,2.0
143,4002,2.0
144,3962,2.0
145,3986,2.0
146,3995,2.0
147,3993,2.0
148,3975,2.0
149,3984,2.0
150,4032,2.0
151,4002,2.0
152,3885,2.0
153,3344,2.0
154,2991,2.0
155,2686,2.0
156,2429,2.0
157,2145,2.0
158,1907,2.0
159,1712,2.0
160,1571,2.0
161,1373,2.0
162,1204,2.0
163,1075,2.0
164,989,2.0
165,912,2.0
166,913,2.0
167,907,2.0
168,945,2.0
169,982,2.0
170,1091,2.0
171,1197,2.0
172,1297,2.0
173,1429,2.0
174,1515,2.0
175,1571,2.0
176,1659,2.0
177,1652,2.0
178,1697,2.0
179,1702,2.0
180,1682,2.0
181,1659,2.0
182,1649,2.0
183,1635,2.0
184,1607,2.0
185,1545,2.0
186,1508,2.0
187,1461,2.0
188,1445,2.0
189,1426,2.0
190,1456,2.0
191,1488,2.0
192,1515,2.0
193,1562,2.0
194,1592,2.0
195,1626,2.0
196,1664,2.0
197,1653,2.0
198,1629,2.0
199,1618,2.0
200,1621,2.0
201,1595,2.0
202,1565,2.0
203,1535,2.0
204,1520,2.0
205,1529,2.0
206,1520,2.0
207,1614,2.0
208,1711,2.0
209,1874,2.0
210,2128,2.0
211,2422,2.0
212,2735,2.0
213,3042,2.0
214,3421,2.0
215,3840,2.0
216,4004,2.0
217,4007,2.0
218,3999,2.0
219,3967,2.0
220,3893,2.0
221,3533,2.0
222,3190,2.0
223,2927,2.0
224,2679,2.0
225,2423,2.0
226,2195,2.0
227,2031,2.0
228,1842,2.0
229,1679,2.0
230,1521,2.0
231,1375,2.0
232,1279,2.0
233,1222,2.0
234,1142,2.0
235,1125,3.0
236,1093,3.0
237,1133,3.0
238,1146,3.0
239,1201,3.0
240,1313,3.0
241,1362,3.0
242,1451,3.0
243,1562,3.0
244,1637,3.0
245,1733,3.0
246,1777,3.0
247,1869,3.0
248,1891,3.0
249,1899,3.0
250,1867,3.0
251,1851,3.0
252,1821,3.0
253,1751,3.0
254,1739,3.0
255,1637,3.0
256,1622,3.0
257,1551,3.0
258,1493,3.0
259,1475,3.0
260,1470,3.0
261,1457,3.0
262,1411,3.0
263,1409,3.0
264,1405,3.0
265,1393,3.0
266,1428,3.0
267,1441,3.0
268,1437,3.0
269,1457,3.0
270,1450,3.0
271,1443,3.0
272,1487,3.0
273,1488,3.0
274,1487,3.0
275,1513,3.0
276,1515,3.0
277,1529,3.0
278,1680,3.0
279,1847,3.0
280,2091,3.0
281,2389,3.0
282,2736,3.0
283,3079,3.0
284,3473,3.0
285,3901,3.0
286,3975,3.0
287,4023,3.0
288,3983,3.0
289,3993,3.0
290,3799,3.0
291,3384,3.0
292,3037,3.0
293,2774,3.0
294,2572,3.0
295,2320,3.0
296,2096,3.0
297,1931,3.0
298,1744,3.0
299,1599,3.0
300,1433,3.0
301,1321,3.0
302,1216,3.0
303,1164,3.0
304,1087,3.0
305,1051,3.0
306,1044,3.0
307,1068,3.0
308,1085,3.0
309,1149,3.0
310,1221,3.0
311,1300,3.0
312,1411,3.0
313,1462,3.0
314,1555,3.0
315,1607,3.0
316,1638,3.0
317,1664,3.0
318,1702,3.0
319,1661,3.0
320,1664,3.0
321,1643,3.0
322,1611,3.0
323,1582,3.0
324,1577,3.0
325,1551,3.0
326,1534,3.0
327,1506,3.0
328,1463,3.0
329,1421,3.0
330,1401,3.0
331,1422,3.0
332,1392,3.0
333,1396,3.0
334,1372,3.0
335,1392,4.0
336,1387,4.0
337,1382,4.0
338,1407,4.0
339,1391,4.0
340,1433,4.0
341,1469,4.0
342,1503,4.0
343,1582,4.0
344,1702,4.0
345,1885,4.0
346,2117,4.0
347,2382,4.0
348,2727,4.0
349,3056,4.0
350,3367,4.0
351,3792,4.0
352,4025,4.0
353,4010,4.0
354,4031,4.0
355,4016,4.0
356,3664,4.0
357,3317,4.0
358,3019,4.0
359,2766,4.0
360,2503,4.0
361,2240,4.0
362,2044,4.0
363,1854,4.0
364,1682,4.0
365,1552,4.0
366,1445,4.0
367,1314,4.0
368,1244,4.0
369,1168,4.0
370,1141,4.0
371,1134,4.0
372,1138,4.0
373,1153,4.0
374,1184,4.0
375,1245,4.0
376,1280,4.0
377,1374,4.0
378,1461,4.0
379,1520,4.0
380,1600,4.0
381,1639,4.0
382,1648,4.0
383,1696,4.0
384,1696,4.0
385,1680,4.0
386,1648,4.0
387,1607,4.0
388,1595,4.0
389,1574,4.0
390,1525,4.0
391,1472,4.0
392,1461,4.0
393,1409,4.0
394,1370,4.0
395,1361,4.0
396,1329,4.0
397,1303,4.0
398,1328,4.0
399,1308,4.0
400,1358,4.0
401,1337,4.0
402,1367,4.0
403,1360,4.0
404,1391,4.0
405,1397,4.0
406,1393,4.0
407,1407,4.0
408,1415,4.0
409,1479,4.0
410,1559,4.0
411,1707,4.0
412,1884,4.0
413,2190,4.0
414,2487,4.0
415,2843,4.0
416,3280,4.0
417,3788,4.0
418,3995,4.0
419,3984,4.0
420,3983,4.0
421,4016,4.0
422,3982,4.0
423,3973,4.0
424,3973,4.0
425,3776,4.0
426,3296,4.0
427,3022,4.0
428,2704,4.0
429,2469,4.0
430,2266,4.0
431,2066,4.0
432,1873,4.0
433,1736,4.0
434,1627,4.0
435,1488,5.0
436,1372,5.0
437,1325,5.0
438,1237,5.0
439,1231,5.0
440,1197,5.0
441,1198,5.0
442,1195,5.0
443,1237,5.0
444,1300,5.0
445,1330,5.0
446,1427,5.0
447,1477,5.0
448,1553,5.0
449,1602,5.0
450,1637,5.0
451,1627,5.0
452,1651,5.0
453,1667,5.0
454,1661,5.0
455,1584,5.0
456,1551,5.0
457,1518,5.0
458,1474,5.0
459,1470,5.0
460,1403,5.0
461,1389,5.0
462,1385,5.0
463,1342,5.0
464,1321,5.0
465,1317,5.0
466,1331,5.0
467,1328,5.0
468,1344,5.0
469,1330,5.0
470,1367,5.0
471,1347,5.0
472,1348,5.0
473,1382,5.0
474,1407,5.0
475,1394,5.0
476,1408,5.0
477,1442,5.0
478,1451,5.0
479,1483,5.0
480,1552,5.0
481,1659,5.0
482,1778,5.0
483,2061,5.0
484,2330,5.0
485,2693,5.0
486,3105,5.0
487,3724,5.0
488,4014,5.0
489,3991,5.0
490,3974,5.0
491,3978,5.0
492,3983,5.0
493,4015,5.0
494,4010,5.0
495,3997,5.0
496,4006,5.0
497,3881,5.0
498,3366,5.0
499,2998,5.0
500,2682,5.0
501,2395,5.0
502,2157,5.0
503,1955,5.0
504,1786,5.0
505,1614,5.0
506,1427,5.0
507,1330,5.0
508,1222,5.0
509,1125,5.0
510,1053,5.0
511,1003,5.0
512,1008,5.0
513,989,5.0
514,1033,5.0
515,1088,5.0
516,1189,5.0
517,1274,5.0
518,1317,5.0
519,1407,5.0
520,1488,5.0
521,1499,5.0
522,1550,5.0
523,1568,5.0
524,1586,5.0
525,1615,5.0
526,1629,5.0
527,1597,5.0
528,1601,5.0
529,1570,5.0
530,1529,5.0
531,1510,5.0
532,1458,5.0
533,1392,5.0
534,1385,5.0
