,4000,0
0,4001,0
1,4001,0
2,4001,0
3,4005,0
4,4014,0
5,4002,0
6,4000,0
7,4006,0
8,3999,0
9,4005,0
10,3998,0
11,3997,0
12,4000,0
13,3999,0
14,4003,0
15,4006,0
16,4005,0
17,3997,0
18,3271,0
19,2815,0
20,2438,0
21,2137,0
22,1871,0
23,1660,0
24,1488,0
25,1384,0
26,1314,0
27,1292,0
28,1289,0
29,1325,0
30,1369,0
31,1435,0
32,1504,0
33,1596,1
34,1667,1
35,1744,1
36,1803,1
37,1862,1
38,1901,1
39,1948,1
40,1984,1
41,2037,1
42,2096,1
43,2160,1
44,2213,1
45,2267,1
46,2304,1
47,2339,1
48,2345,1
49,2339,1
50,2309,1
51,2274,1
52,2215,1
53,2161,1
54,2095,1
55,2026,1
56,1949,1
57,1886,1
58,1818,1
59,1771,1
60,1717,1
61,1686,1
62,1661,1
63,1651,1
64,1643,1
65,1642,1
66,1648,1
67,1670,1
68,1682,1
69,1709,1
70,1728,1
71,1754,1
72,1776,1
73,1798,1
74,1802,1
75,1829,1
76,1827,1
77,1838,1
78,1833,1
79,1839,1
80,1831,1
81,1834,1
82,1819,1
83,1817,1
84,1805,1
85,1805,1
86,1791,1
87,1787,1
88,1776,1
89,1775,1
90,1769,1
91,1781,1
92,1778,1
93,1791,1
94,1792,1
95,1799,1
96,1796,1
97,1808,1
98,1808,1
99,1821,1
100,1819,1
101,1829,1
102,1833,1
103,1840,1
104,1834,1
105,1843,1
106,1841,1
107,1851,1
108,1846,1
109,1853,1
110,1847,1
111,1850,1
112,1842,1
113,1855,1
114,1855,1
115,1879,1
116,1901,1
117,1942,1
118,1982,1
119,2032,1
120,2066,1
121,2101,1
122,2113,1
123,2121,1
124,2103,1
125,2093,1
126,2043,1
127,2003,1
128,1952,1
129,1911,1
130,1862,1
131,1826,1
132,1783,1
133,1756,2
134,1726,2
135,1716,2
136,1700,2
137,1698,2
138,1691,2
139,1705,2
140,1712,2
141,1734,2
142,1746,2
143,1770,2
144,1778,2
145,1805,2
146,1811,2
147,1834,2
148,1840,2
149,1855,2
150,1851,2
151,1853,2
152,1840,2
153,1842,2
154,1837,2
155,1837,2
156,1827,2
157,1833,2
158,1821,2
159,1829,2
160,1819,2
161,1826,2
162,1825,2
163,1831,2
164,1825,2
165,1838,2
166,1831,2
167,1840,2
168,1840,2
169,1843,2
170,1841,2
171,1845,2
172,1840,2
173,1843,2
174,1835,2
175,1840,2
176,1838,2
177,1841,2
178,1835,2
179,1840,2
180,1827,2
181,1834,2
182,1827,2
183,1837,2
184,1840,2
185,1856,2
186,1858,2
187,1871,2
188,1872,2
189,1893,2
190,1904,2
191,1935,2
192,1955,2
193,1994,2
194,2018,2
195,2055,2
196,2063,2
197,2064,2
198,2043,2
199,2027,2
200,1995,2
201,1979,2
202,1943,2
203,1927,2
204,1899,2
205,1882,2
206,1855,2
207,1840,2
208,1817,2
209,1811,2
