,1393, 0
0,1456,0.0
1,1510,0.0
2,1558,0.0
3,1589,0.0
4,1615,0.0
5,1616,0.0
6,1623,0.0
7,1609,0.0
8,1601,0.0
9,1591,0.0
10,1574,0.0
11,1564,0.0
12,1552,0.0
13,1535,0.0
14,1533,0.0
15,1527,0.0
16,1515,0.0
17,1509,0.0
18,1507,0.0
19,1501,0.0
20,1488,0.0
21,1487,0.0
22,1485,0.0
23,1488,0.0
24,1492,0.0
25,1497,0.0
26,1501,0.0
27,1488,0.0
28,1489,0.0
29,1493,0.0
30,1501,1.0
31,1488,1.0
32,1491,1.0
33,1501,1.0
34,1511,1.0
35,1526,1.0
36,1545,1.0
37,1582,1.0
38,1648,1.0
39,1761,1.0
40,1930,1.0
41,2134,1.0
42,2362,1.0
43,2592,1.0
44,2794,1.0
45,2999,1.0
46,3152,1.0
47,3233,1.0
48,3235,1.0
49,3161,1.0
50,3047,1.0
51,2895,1.0
52,2736,1.0
53,2575,1.0
54,2407,1.0
55,2254,1.0
56,2112,1.0
57,1961,1.0
58,1830,1.0
59,1687,1.0
60,1569,1.0
61,1472,1.0
62,1405,1.0
63,1363,1.0
64,1345,1.0
65,1356,1.0
66,1391,1.0
67,1425,1.0
68,1467,1.0
69,1518,1.0
70,1563,1.0
71,1597,1.0
72,1629,1.0
73,1631,1.0
74,1635,1.0
75,1641,1.0
76,1629,1.0
77,1616,1.0
78,1599,1.0
79,1584,1.0
80,1559,1.0
81,1525,1.0
82,1516,1.0
83,1488,1.0
84,1481,1.0
85,1465,1.0
86,1456,1.0
87,1456,1.0
88,1458,1.0
89,1463,1.0
90,1479,1.0
91,1488,1.0
92,1491,1.0
93,1503,1.0
94,1504,1.0
95,1518,1.0
96,1535,1.0
97,1535,1.0
98,1552,1.0
99,1552,1.0
100,1561,1.0
101,1566,1.0
102,1569,1.0
103,1557,1.0
104,1561,1.0
105,1563,1.0
106,1581,1.0
107,1613,1.0
108,1683,1.0
109,1821,1.0
110,2005,1.0
111,2221,1.0
112,2435,1.0
113,2677,1.0
114,2908,1.0
115,3135,1.0
116,3313,1.0
117,3426,1.0
118,3441,1.0
119,3370,1.0
120,3226,1.0
121,3053,1.0
122,2879,1.0
123,2693,1.0
124,2521,1.0
125,2369,1.0
126,2209,1.0
127,2064,1.0
128,1908,1.0
129,1776,1.0
130,1645,2.0
131,1534,2.0
132,1456,2.0
133,1406,2.0
134,1392,2.0
135,1405,2.0
136,1430,2.0
137,1466,2.0
138,1520,2.0
139,1569,2.0
140,1610,2.0
141,1645,2.0
142,1671,2.0
143,1680,2.0
144,1691,2.0
145,1687,2.0
146,1679,2.0
147,1674,2.0
148,1664,2.0
149,1650,2.0
150,1646,2.0
151,1631,2.0
152,1611,2.0
153,1601,2.0
154,1584,2.0
155,1568,2.0
156,1558,2.0
157,1545,2.0
158,1525,2.0
159,1511,2.0
160,1505,2.0
161,1505,2.0
162,1490,2.0
163,1479,2.0
164,1466,2.0
165,1452,2.0
166,1445,2.0
167,1459,2.0
168,1472,2.0
169,1485,2.0
170,1515,2.0
171,1575,2.0
172,1680,2.0
173,1837,2.0
174,2035,2.0
175,2271,2.0
176,2514,2.0
177,2766,2.0
178,2996,2.0
179,3211,2.0
180,3358,2.0
181,3415,2.0
182,3392,2.0
183,3274,2.0
184,3120,2.0
185,2954,2.0
186,2778,2.0
187,2635,2.0
188,2480,2.0
189,2341,2.0
190,2195,2.0
191,2055,2.0
192,1914,2.0
193,1779,2.0
194,1668,2.0
195,1563,2.0
196,1474,2.0
197,1421,2.0
198,1381,2.0
199,1365,2.0
200,1377,2.0
201,1403,2.0
202,1441,2.0
203,1481,2.0
204,1529,2.0
205,1570,2.0
206,1600,2.0
207,1618,2.0
208,1628,2.0
209,1644,2.0
210,1635,2.0
211,1630,2.0
212,1616,2.0
213,1605,2.0
214,1589,2.0
215,1570,2.0
216,1553,2.0
217,1546,2.0
218,1531,2.0
219,1520,2.0
220,1521,2.0
221,1520,2.0
222,1521,2.0
223,1513,2.0
224,1509,2.0
225,1495,2.0
