,3171, 0
0,3019,0.0
1,2933,0.0
2,2795,0.0
3,2670,0.0
4,2544,0.0
5,2437,0.0
6,2352,0.0
7,2222,0.0
8,2140,0.0
9,2042,0.0
10,1935,0.0
11,1871,0.0
12,1783,0.0
13,1738,0.0
14,1680,0.0
15,1625,0.0
16,1600,0.0
17,1590,0.0
18,1589,0.0
19,1590,0.0
20,1577,0.0
21,1611,0.0
22,1595,0.0
23,1614,0.0
24,1634,0.0
25,1669,0.0
26,1693,0.0
27,1690,0.0
28,1695,0.0
29,1680,0.0
30,1682,0.0
31,1663,0.0
32,1653,1.0
33,1622,1.0
34,1628,1.0
35,1600,1.0
36,1613,1.0
37,1583,1.0
38,1597,1.0
39,1585,1.0
40,1589,1.0
41,1579,1.0
42,1581,1.0
43,1570,1.0
44,1565,1.0
45,1551,1.0
46,1573,1.0
47,1591,1.0
48,1581,1.0
49,1601,1.0
50,1603,1.0
51,1601,1.0
52,1591,1.0
53,1590,1.0
54,1595,1.0
55,1602,1.0
56,1627,1.0
57,1623,1.0
58,1679,1.0
59,1712,1.0
60,1801,1.0
61,1885,1.0
62,2023,1.0
63,2190,1.0
64,2384,1.0
65,2613,1.0
66,2795,1.0
67,2981,1.0
68,3138,1.0
69,3248,1.0
70,3325,1.0
71,3360,1.0
72,3298,1.0
73,3226,1.0
74,3069,1.0
75,2986,1.0
76,2833,1.0
77,2726,1.0
78,2604,1.0
79,2465,1.0
80,2359,1.0
81,2222,1.0
82,2083,1.0
83,1968,1.0
84,1840,1.0
85,1778,1.0
86,1710,1.0
87,1641,1.0
88,1589,1.0
89,1517,1.0
90,1534,1.0
91,1488,1.0
92,1479,1.0
93,1466,1.0
94,1502,1.0
95,1507,1.0
96,1549,1.0
97,1555,1.0
98,1580,1.0
99,1585,1.0
100,1568,1.0
101,1617,1.0
102,1623,1.0
103,1607,1.0
104,1622,1.0
105,1599,1.0
106,1618,1.0
107,1633,1.0
108,1629,1.0
109,1601,1.0
110,1593,1.0
111,1581,1.0
112,1565,1.0
113,1559,1.0
114,1573,1.0
115,1568,1.0
116,1558,1.0
117,1552,1.0
118,1549,1.0
119,1578,1.0
120,1566,1.0
121,1567,1.0
122,1589,1.0
123,1591,1.0
124,1569,1.0
125,1563,1.0
126,1583,1.0
127,1599,1.0
128,1611,1.0
129,1661,1.0
130,1739,1.0
131,1815,1.0
132,1905,2.0
133,2033,2.0
134,2191,2.0
135,2391,2.0
136,2617,2.0
137,2784,2.0
138,2961,2.0
139,3079,2.0
140,3133,2.0
141,3168,2.0
142,3120,2.0
143,3007,2.0
144,2913,2.0
145,2791,2.0
146,2666,2.0
147,2544,2.0
148,2411,2.0
149,2320,2.0
150,2202,2.0
151,2096,2.0
152,1991,2.0
153,1889,2.0
154,1772,2.0
155,1707,2.0
156,1621,2.0
157,1584,2.0
158,1570,2.0
159,1535,2.0
