,4062,0
0,4064,0
1,4063,0
2,4055,0
3,4055,0
4,4065,0
5,4069,0
6,4060,0
7,4057,0
8,4062,0
9,4059,0
10,4055,0
11,4061,0
12,4066,0
13,4070,0
14,4058,0
15,4059,0
16,4050,0
17,4059,0
18,4067,0
19,4065,0
20,4057,0
21,4069,0
22,4059,0
23,4064,0
24,4065,0
25,4064,0
26,4061,0
27,4059,0
28,4071,0
29,4063,0
30,3420,0
31,3006,0
32,2703,0
33,2433,0
34,2204,1
35,2000,1
36,1829,1
37,1693,1
38,1580,1
39,1488,1
40,1425,1
41,1394,1
42,1385,1
43,1392,1
44,1413,1
45,1449,1
46,1499,1
47,1561,1
48,1616,1
49,1662,1
50,1701,1
51,1719,1
52,1735,1
53,1733,1
54,1725,1
55,1710,1
56,1689,1
57,1661,1
58,1635,1
59,1615,1
60,1594,1
61,1568,1
62,1544,1
63,1521,1
64,1514,1
65,1501,1
66,1500,1
67,1499,1
68,1504,1
69,1511,1
70,1516,1
71,1520,1
72,1520,1
73,1533,1
74,1535,1
75,1535,1
76,1534,1
77,1535,1
78,1531,1
79,1526,1
80,1518,1
81,1511,1
82,1510,1
83,1513,1
84,1511,1
85,1513,1
86,1506,1
87,1505,1
88,1498,1
89,1494,1
90,1499,1
91,1515,1
92,1574,1
93,1681,1
94,1831,1
95,2015,1
96,2210,1
97,2416,1
98,2631,1
99,2832,1
100,3015,1
101,3171,1
102,3266,1
103,3301,1
104,3241,1
105,3135,1
106,3002,1
107,2864,1
108,2723,1
109,2570,1
110,2416,1
111,2282,1
112,2157,1
113,2032,1
114,1931,1
115,1837,1
116,1751,1
117,1680,1
118,1634,1
119,1613,1
120,1603,1
121,1618,1
122,1638,1
123,1665,1
124,1678,1
125,1680,1
126,1680,1
127,1684,1
128,1695,1
129,1712,1
130,1737,1
131,1775,1
132,1805,1
133,1838,1
134,1852,2
135,1856,2
136,1846,2
137,1824,2
138,1789,2
139,1758,2
140,1727,2
141,1707,2
142,1682,2
143,1673,2
144,1651,2
145,1633,2
146,1617,2
147,1593,2
148,1571,2
149,1552,2
150,1549,2
151,1547,2
152,1548,2
153,1543,2
154,1545,2
155,1535,2
156,1551,2
157,1549,2
158,1562,2
159,1572,2
160,1583,2
161,1583,2
162,1581,2
163,1571,2
164,1552,2
165,1525,2
166,1509,2
167,1483,2
168,1481,2
169,1465,2
170,1449,2
171,1437,2
172,1445,2
173,1488,2
174,1593,2
175,1741,2
176,1919,2
177,2123,2
178,2333,2
179,2538,2
180,2741,2
181,2918,2
182,3056,2
183,3161,2
184,3197,2
185,3167,2
186,3083,2
187,2957,2
188,2805,2
189,2650,2
190,2486,2
191,2341,2
192,2212,2
193,2093,2
194,1989,2
195,1916,2
196,1843,2
197,1801,2
198,1755,2
199,1719,2
200,1697,2
201,1690,2
202,1695,2
203,1712,2
204,1733,2
205,1753,2
206,1777,2
207,1813,2
208,1840,2
209,1863,2
210,1877,2
211,1891,2
212,1894,2
213,1888,2
214,1886,2
215,1869,2
216,1857,2
217,1840,2
218,1815,2
219,1789,2
220,1755,2
221,1712,2
222,1670,2
223,1621,2
224,1579,2
225,1527,2
226,1484,2
227,1451,2
228,1426,2
229,1421,2
230,1427,2
231,1425,2
232,1434,2
233,1429,2
234,1451,3
235,1458,3
236,1461,3
237,1470,3
238,1474,3
239,1482,3
240,1488,3
241,1491,3
242,1495,3
243,1495,3
244,1488,3
245,1475,3
246,1454,3
247,1417,3
248,1396,3
249,1377,3
250,1355,3
251,1356,3
252,1374,3
253,1419,3
254,1506,3
255,1661,3
256,1847,3
257,2064,3
258,2288,3
259,2505,3
260,2720,3
261,2911,3
262,3085,3
263,3206,3
264,3269,3
265,3253,3
266,3174,3
267,3041,3
268,2895,3
269,2735,3
270,2559,3
271,2401,3
272,2251,3
273,2113,3
274,1995,3
275,1901,3
276,1826,3
277,1776,3
278,1734,3
279,1706,3
280,1662,3
281,1628,3
282,1600,3
283,1579,3
284,1565,3
285,1571,3
286,1591,3
287,1617,3
288,1648,3
289,1670,3
290,1697,3
291,1712,3
292,1719,3
293,1711,3
294,1727,3
295,1725,3
296,1723,3
297,1709,3
298,1690,3
299,1674,3
300,1650,3
301,1630,3
302,1609,3
303,1584,3
304,1566,3
305,1555,3
306,1550,3
307,1549,3
308,1555,3
309,1577,3
310,1603,3
311,1633,3
312,1664,3
313,1685,3
314,1719,3
315,1746,3
316,1771,3
317,1777,3
318,1776,3
319,1770,3
320,1747,3
321,1721,3
322,1687,3
323,1655,3
324,1617,3
325,1584,3
326,1557,3
327,1559,3
328,1615,3
329,1711,3
330,1841,3
331,2010,3
332,2203,3
333,2406,3
334,2621,4
335,2832,4
336,3033,4
337,3230,4
338,3392,4
339,3484,4
340,3501,4
341,3424,4
342,3328,4
343,3181,4
344,3028,4
345,2889,4
346,2746,4
347,2610,4
348,2470,4
349,2336,4
350,2193,4
351,2057,4
352,1930,4
353,1825,4
354,1751,4
355,1703,4
356,1680,4
357,1674,4
