,2944,0
0,2475,0.0
1,2095,0.0
2,1762,0.0
3,1488,0.0
4,1274,0.0
5,1123,0.0
6,1011,0.0
7,933,0.0
8,906,0.0
9,895,0.0
10,911,0.0
11,943,0.0
12,982,0.0
13,1052,0.0
14,1118,0.0
15,1185,0.0
16,1241,0.0
17,1285,0.0
18,1308,0.0
19,1345,0.0
20,1362,0.0
21,1370,0.0
22,1367,0.0
23,1353,0.0
24,1327,0.0
25,1296,0.0
26,1263,0.0
27,1282,0.0
28,1253,0.0
29,1456,0.0
30,1648,0.0
31,1898,0.0
32,2192,0.0
33,2507,0.0
34,2837,0.0
35,3191,0.0
36,3565,0.0
37,3862,0.0
38,3875,0.0
39,3865,0.0
40,3867,0.0
41,3733,0.0
42,3471,0.0
43,3185,0.0
44,2928,0.0
45,2673,0.0
46,2495,0.0
47,2301,0.0
48,2122,0.0
49,1937,0.0
50,1769,0.0
51,1616,0.0
52,1451,0.0
53,1331,0.0
54,1263,0.0
55,1233,0.0
56,1237,0.0
57,1258,0.0
58,1280,0.0
59,1322,0.0
60,1362,0.0
61,1451,0.0
62,1462,0.0
63,1507,0.0
64,1551,0.0
65,1561,0.0
66,1535,0.0
67,1563,0.0
68,1559,0.0
69,1551,0.0
70,1531,0.0
71,1506,0.0
72,1479,0.0
73,1456,0.0
74,1439,0.0
75,1391,0.0
76,1362,0.0
77,1331,0.0
78,1303,0.0
79,1293,0.0
80,1281,0.0
81,1275,0.0
82,1264,0.0
83,1264,0.0
84,1263,0.0
85,1255,0.0
86,1264,0.0
87,1285,0.0
88,1344,0.0
89,1457,0.0
90,1615,0.0
91,1838,0.0
92,2113,0.0
93,2413,0.0
94,2713,0.0
95,3141,0.0
96,3458,0.0
97,3824,0.0
98,3872,1.0
99,3868,1.0
100,3866,1.0
101,3812,1.0
102,3521,1.0
103,3229,1.0
104,2960,1.0
105,2727,1.0
106,2502,1.0
107,2291,1.0
108,2095,1.0
109,1888,1.0
110,1721,1.0
111,1578,1.0
112,1409,1.0
113,1334,1.0
114,1255,1.0
115,1211,1.0
116,1152,1.0
117,1199,1.0
118,1222,1.0
119,1264,1.0
120,1334,1.0
121,1370,1.0
122,1424,1.0
123,1474,1.0
124,1511,1.0
125,1535,1.0
126,1549,1.0
127,1535,1.0
128,1520,1.0
129,1498,1.0
130,1513,1.0
131,1445,1.0
132,1419,1.0
133,1390,1.0
134,1349,1.0
135,1314,1.0
136,1285,1.0
137,1261,1.0
138,1235,1.0
139,1221,1.0
140,1191,1.0
141,1181,1.0
142,1167,1.0
143,1163,1.0
144,1167,1.0
145,1176,1.0
146,1195,1.0
147,1222,1.0
148,1270,1.0
149,1360,1.0
150,1494,1.0
151,1702,1.0
152,1956,1.0
153,2264,1.0
154,2607,1.0
155,2985,1.0
156,3453,1.0
157,3869,1.0
158,3866,1.0
159,3866,1.0
160,3867,1.0
161,3870,1.0
162,3862,1.0
163,3867,1.0
164,3863,1.0
165,3479,1.0
166,3105,1.0
167,2803,1.0
168,2549,1.0
169,2319,1.0
170,2094,1.0
171,1901,1.0
172,1692,1.0
173,1543,1.0
174,1410,1.0
175,1309,1.0
176,1236,1.0
177,1199,1.0
178,1190,1.0
179,1215,1.0
180,1245,1.0
181,1293,1.0
182,1343,1.0
183,1406,1.0
184,1427,1.0
185,1463,1.0
186,1487,1.0
187,1488,1.0
188,1485,1.0
189,1473,1.0
190,1441,1.0
191,1398,1.0
192,1361,1.0
193,1329,1.0
194,1294,1.0
195,1253,1.0
196,1232,1.0
197,1221,1.0
198,1159,2.0
199,1220,2.0
200,1223,2.0
201,1227,2.0
202,1216,2.0
203,1206,2.0
204,1189,2.0
205,1168,2.0
206,1152,2.0
207,1133,2.0
208,1134,2.0
209,1126,2.0
210,1148,2.0
211,1200,2.0
212,1303,2.0
213,1471,2.0
214,1711,2.0
215,2011,2.0
216,2361,2.0
217,2736,2.0
218,3152,2.0
219,3694,2.0
220,3873,2.0
221,3867,2.0
222,3870,2.0
223,3878,2.0
224,3870,2.0
225,3871,2.0
226,3874,2.0
227,3739,2.0
228,3294,2.0
229,2922,2.0
230,2629,2.0
231,2362,2.0
232,2117,2.0
233,1888,2.0
234,1691,2.0
235,1520,2.0
236,1379,2.0
237,1266,2.0
238,1179,2.0
239,1134,2.0
240,1125,2.0
241,1133,2.0
242,1161,2.0
243,1203,2.0
244,1246,2.0
245,1300,2.0
246,1355,2.0
247,1398,2.0
248,1430,2.0
249,1461,2.0
250,1479,2.0
251,1479,2.0
252,1472,2.0
253,1461,2.0
254,1442,2.0
255,1418,2.0
256,1390,2.0
257,1358,2.0
258,1329,2.0
259,1294,2.0
260,1291,2.0
261,1242,2.0
262,1227,2.0
263,1200,2.0
264,1169,2.0
265,1151,2.0
266,1139,2.0
267,1136,2.0
268,1134,2.0
269,1137,2.0
270,1147,2.0
271,1169,2.0
272,1228,2.0
273,1322,2.0
274,1469,2.0
275,1681,2.0
276,1952,2.0
277,2266,2.0
278,2607,2.0
279,2944,2.0
280,3314,2.0
281,3702,2.0
282,3870,2.0
283,3869,2.0
284,3863,2.0
285,3867,2.0
286,3549,2.0
287,3243,2.0
288,2960,2.0
289,2710,2.0
290,2477,2.0
291,2253,2.0
292,2043,2.0
293,1839,2.0
294,1649,2.0
295,1481,2.0
296,1331,2.0
297,1223,2.0
298,1142,3.0
299,1088,3.0
300,1047,3.0
301,1093,3.0
302,1127,3.0
303,1175,3.0
304,1232,3.0
305,1295,3.0
306,1360,3.0
307,1425,3.0
308,1478,3.0
309,1515,3.0
310,1535,3.0
311,1548,3.0
312,1533,3.0
313,1498,3.0
314,1479,3.0
315,1440,3.0
