,3997, 0
0,4006,0.0
1,4020,0.0
2,4032,0.0
3,4013,0.0
4,4006,0.0
5,4031,0.0
6,4023,0.0
7,4032,0.0
8,4005,0.0
9,4003,0.0
10,3995,0.0
11,4027,0.0
12,4051,0.0
13,4049,0.0
14,4023,0.0
15,4011,0.0
16,4017,0.0
17,4007,0.0
18,4037,0.0
19,4004,0.0
20,4033,0.0
21,3265,0.0
22,2783,0.0
23,2384,0.0
24,2000,0.0
25,1712,0.0
26,1457,0.0
27,1261,0.0
28,1077,0.0
29,973,0.0
30,954,0.0
31,915,0.0
32,946,0.0
33,934,0.0
34,1015,0.0
35,1086,0.0
36,1163,0.0
37,1229,1.0
38,1322,1.0
39,1392,1.0
40,1455,1.0
41,1494,1.0
42,1559,1.0
43,1593,1.0
44,1623,1.0
45,1667,1.0
46,1675,1.0
47,1664,1.0
48,1671,1.0
49,1662,1.0
50,1664,1.0
51,1667,1.0
52,1680,1.0
53,1747,1.0
54,1903,1.0
55,2119,1.0
56,2438,1.0
57,2801,1.0
58,3244,1.0
59,3919,1.0
60,4037,1.0
61,3993,1.0
62,4016,1.0
63,4005,1.0
64,3998,1.0
65,3999,1.0
66,4043,1.0
67,4012,1.0
68,3818,1.0
69,3248,1.0
70,2882,1.0
71,2581,1.0
72,2317,1.0
73,2064,1.0
74,1795,1.0
75,1615,1.0
76,1424,1.0
77,1328,1.0
78,1214,1.0
79,1157,1.0
80,1126,1.0
81,1183,1.0
82,1215,1.0
83,1251,1.0
84,1360,1.0
85,1435,1.0
86,1493,1.0
87,1600,1.0
88,1620,1.0
89,1697,1.0
90,1747,1.0
91,1781,1.0
92,1783,1.0
93,1808,1.0
94,1819,1.0
95,1794,1.0
96,1741,1.0
97,1743,1.0
98,1690,1.0
99,1635,1.0
100,1595,1.0
101,1568,1.0
102,1520,1.0
103,1505,1.0
104,1456,1.0
105,1451,1.0
106,1440,1.0
107,1415,1.0
108,1419,1.0
109,1391,1.0
110,1394,1.0
111,1406,1.0
112,1406,1.0
113,1398,1.0
114,1430,1.0
115,1456,1.0
116,1440,1.0
117,1451,1.0
118,1474,1.0
119,1517,1.0
120,1522,1.0
121,1523,1.0
122,1564,1.0
123,1549,1.0
124,1584,1.0
125,1602,1.0
126,1562,1.0
127,1601,1.0
128,1577,1.0
129,1581,1.0
130,1621,1.0
131,1743,1.0
132,1876,1.0
133,2122,1.0
134,2480,1.0
135,2893,1.0
136,3406,1.0
137,4016,2.0
138,3991,2.0
139,4034,2.0
140,3984,2.0
141,4025,2.0
142,4043,2.0
143,4037,2.0
144,4082,2.0
145,4050,2.0
146,4016,2.0
147,3387,2.0
148,2993,2.0
149,2657,2.0
150,2357,2.0
151,2091,2.0
152,1840,2.0
153,1573,2.0
154,1415,2.0
155,1309,2.0
156,1191,2.0
157,1124,2.0
158,1142,2.0
159,1162,2.0
160,1170,2.0
161,1267,2.0
162,1339,2.0
163,1423,2.0
164,1504,2.0
165,1587,2.0
166,1709,2.0
167,1744,2.0
168,1779,2.0
169,1831,2.0
170,1855,2.0
171,1858,2.0
172,1823,2.0
173,1841,2.0
174,1771,2.0
175,1734,2.0
176,1698,2.0
177,1639,2.0
178,1600,2.0
179,1585,2.0
180,1477,2.0
181,1467,2.0
182,1450,2.0
183,1397,2.0
184,1392,2.0
185,1404,2.0
186,1395,2.0
187,1358,2.0
188,1399,2.0
189,1380,2.0
190,1388,2.0
191,1422,2.0
192,1461,2.0
193,1424,2.0
194,1443,2.0
195,1467,2.0
196,1491,2.0
197,1552,2.0
198,1535,2.0
199,1574,2.0
200,1573,2.0
201,1590,2.0
202,1646,2.0
203,1615,2.0
204,1649,2.0
205,1711,2.0
206,1793,2.0
207,1911,2.0
208,2225,2.0
209,2519,2.0
210,2960,2.0
211,3521,2.0
212,4001,2.0
213,4036,2.0
214,4051,2.0
215,4029,2.0
216,3987,2.0
