,3986, 0
0,3968,0.0
1,3975,0.0
2,3975,0.0
3,3978,0.0
4,3965,0.0
5,3988,0.0
6,3965,0.0
7,3975,0.0
8,3952,0.0
9,3977,0.0
10,3977,0.0
11,3968,0.0
12,3983,0.0
13,3989,0.0
14,3989,0.0
15,3970,0.0
16,3968,0.0
17,3984,0.0
18,3971,0.0
19,3981,0.0
20,4003,0.0
21,3980,0.0
22,3995,0.0
23,3977,0.0
24,3987,0.0
25,3987,0.0
26,3434,0.0
27,2989,0.0
28,2656,0.0
29,2384,0.0
30,2135,0.0
31,1937,0.0
32,1811,0.0
33,1703,0.0
34,1630,0.0
35,1586,0.0
36,1563,0.0
37,1552,0.0
38,1552,0.0
39,1567,1.0
40,1584,1.0
41,1600,1.0
42,1616,1.0
43,1616,1.0
44,1615,1.0
45,1565,1.0
46,1519,1.0
47,1495,1.0
48,1475,1.0
49,1475,1.0
50,1463,1.0
51,1472,1.0
52,1520,1.0
53,1518,1.0
54,1543,1.0
55,1519,1.0
56,1525,1.0
57,1520,1.0
58,1495,1.0
59,1497,1.0
60,1468,1.0
61,1455,1.0
62,1437,1.0
63,1404,1.0
64,1373,1.0
65,1360,1.0
66,1379,1.0
67,1418,1.0
68,1445,1.0
69,1507,1.0
70,1673,1.0
71,1931,1.0
72,2222,1.0
73,2544,1.0
74,2864,1.0
75,3147,1.0
76,3401,1.0
77,3612,1.0
78,3669,1.0
79,3536,1.0
80,3373,1.0
81,3152,1.0
82,2933,1.0
83,2719,1.0
84,2479,1.0
85,2291,1.0
86,2128,1.0
87,1999,1.0
88,1895,1.0
89,1799,1.0
90,1731,1.0
91,1681,1.0
92,1603,1.0
93,1559,1.0
94,1529,1.0
95,1502,1.0
96,1477,1.0
97,1511,1.0
98,1525,1.0
99,1584,1.0
100,1612,1.0
101,1648,1.0
102,1674,1.0
103,1712,1.0
104,1744,1.0
105,1750,1.0
106,1779,1.0
107,1750,1.0
108,1741,1.0
109,1820,1.0
110,1797,1.0
111,1701,1.0
112,1725,1.0
113,1623,1.0
114,1585,1.0
115,1487,1.0
116,1408,1.0
117,1344,1.0
118,1284,1.0
119,1238,1.0
120,1238,1.0
121,1245,1.0
122,1262,1.0
123,1287,1.0
124,1297,1.0
125,1284,1.0
126,1300,1.0
127,1314,1.0
128,1287,1.0
129,1326,1.0
130,1387,1.0
131,1394,1.0
132,1430,1.0
133,1490,1.0
134,1529,1.0
135,1562,1.0
136,1623,1.0
137,1747,1.0
138,1955,1.0
139,2192,2.0
140,2435,2.0
141,2671,2.0
142,2893,2.0
143,3130,2.0
144,3281,2.0
145,3312,2.0
146,3239,2.0
147,3113,2.0
148,2960,2.0
149,2778,2.0
150,2576,2.0
151,2394,2.0
152,2208,2.0
153,2032,2.0
154,1889,2.0
155,1745,2.0
156,1623,2.0
157,1535,2.0
158,1471,2.0
159,1438,2.0
160,1421,2.0
161,1426,2.0
162,1472,2.0
163,1511,2.0
164,1573,2.0
165,1659,2.0
166,1743,2.0
167,1791,2.0
168,1804,2.0
169,1819,2.0
170,1846,2.0
171,1859,2.0
172,1888,2.0
173,1877,2.0
174,1883,2.0
175,1873,2.0
176,1853,2.0
177,1792,2.0
178,1741,2.0
179,1686,2.0
180,1638,2.0
181,1601,2.0
182,1553,2.0
183,1506,2.0
184,1471,2.0
185,1431,2.0
186,1431,2.0
187,1410,2.0
188,1407,2.0
189,1411,2.0
190,1433,2.0
191,1426,2.0
192,1424,2.0
193,1443,2.0
194,1433,2.0
195,1446,2.0
196,1471,2.0
197,1457,2.0
198,1467,2.0
199,1467,2.0
200,1462,2.0
201,1462,2.0
202,1445,2.0
203,1455,2.0
204,1455,2.0
205,1474,2.0
206,1534,2.0
207,1661,2.0
208,1885,2.0
209,2157,2.0
210,2448,2.0
211,2747,2.0
212,3028,2.0
213,3289,2.0
214,3490,2.0
215,3559,2.0
216,3525,2.0
217,3375,2.0
218,3163,2.0
219,2926,2.0
220,2720,2.0
221,2506,2.0
222,2305,2.0
223,2135,2.0
224,1971,2.0
225,1840,2.0
226,1721,2.0
227,1639,2.0
228,1553,2.0
229,1494,2.0
230,1471,2.0
231,1461,2.0
232,1472,2.0
233,1550,2.0
234,1622,2.0
235,1683,2.0
236,1771,2.0
237,1828,2.0
238,1853,2.0
239,1887,3.0
240,1894,3.0
241,1879,3.0
242,1873,3.0
243,1843,3.0
244,1813,3.0
245,1767,3.0
246,1734,3.0
247,1678,3.0
248,1619,3.0
249,1584,3.0
250,1522,3.0
251,1517,3.0
252,1488,3.0
253,1446,3.0
254,1446,3.0
255,1458,3.0
256,1447,3.0
257,1457,3.0
258,1456,3.0
259,1459,3.0
260,1495,3.0
261,1511,3.0
262,1519,3.0
263,1520,3.0
264,1526,3.0
265,1571,3.0
266,1616,3.0
267,1633,3.0
268,1661,3.0
269,1650,3.0
270,1643,3.0
271,1629,3.0
272,1589,3.0
273,1552,3.0
274,1523,3.0
275,1500,3.0
276,1507,3.0
277,1534,3.0
278,1673,3.0
279,1884,3.0
280,2155,3.0
281,2425,3.0
282,2717,3.0
283,3014,3.0
284,3331,3.0
285,3568,3.0
286,3696,3.0
287,3696,3.0
288,3561,3.0
289,3346,3.0
290,3120,3.0
291,2881,3.0
292,2666,3.0
293,2474,3.0
294,2307,3.0
295,2145,3.0
296,2019,3.0
297,1925,3.0
298,1854,3.0
299,1773,3.0
300,1677,3.0
301,1643,3.0
302,1616,3.0
303,1599,3.0
304,1631,3.0
305,1664,3.0
306,1705,3.0
307,1753,3.0
308,1823,3.0
309,1863,3.0
310,1881,3.0
311,1916,3.0
312,1904,3.0
313,1919,3.0
314,1914,3.0
315,1884,3.0
316,1869,3.0
317,1851,3.0
318,1802,3.0
319,1750,3.0
320,1686,3.0
321,1648,3.0
322,1587,3.0
323,1584,3.0
324,1551,3.0
325,1552,3.0
326,1529,3.0
327,1535,3.0
328,1504,3.0
329,1526,3.0
330,1533,3.0
331,1524,3.0
332,1535,3.0
333,1530,3.0
334,1534,3.0
335,1578,3.0
336,1621,3.0
337,1669,3.0
338,1706,3.0
339,1742,4.0
340,1743,4.0
341,1743,4.0
342,1729,4.0
343,1680,4.0
344,1639,4.0
345,1565,4.0
346,1521,4.0
347,1494,4.0
348,1533,4.0
349,1568,4.0
350,1553,4.0
351,1554,4.0
352,1529,4.0
353,1554,4.0
354,1648,4.0
355,1793,4.0
356,2045,4.0
357,2346,4.0
358,2642,4.0
359,2965,4.0
360,3301,4.0
361,3599,4.0
362,3839,4.0
363,3911,4.0
364,3888,4.0
365,3685,4.0
366,3424,4.0
367,3178,4.0
368,2896,4.0
369,2675,4.0
370,2470,4.0
371,2288,4.0
372,2107,4.0
373,1949,4.0
374,1819,4.0
375,1719,4.0
376,1616,4.0
377,1583,4.0
378,1554,4.0
379,1618,4.0
380,1631,4.0
381,1641,4.0
382,1661,4.0
383,1699,4.0
384,1725,4.0
385,1784,4.0
386,1831,4.0
387,1887,4.0
388,1931,4.0
389,1958,4.0
390,1959,4.0
391,1946,4.0
392,1929,4.0
393,1862,4.0
394,1810,4.0
395,1744,4.0
396,1697,4.0
397,1631,4.0
398,1547,4.0
399,1462,4.0
400,1415,4.0
401,1370,4.0
402,1334,4.0
403,1307,4.0
404,1306,4.0
405,1337,4.0
406,1349,4.0
407,1367,4.0
408,1371,4.0
409,1394,4.0
410,1430,4.0
411,1430,4.0
412,1443,4.0
413,1482,4.0
414,1478,4.0
415,1505,4.0
416,1511,4.0
417,1508,4.0
418,1520,4.0
419,1533,4.0
420,1549,4.0
421,1547,4.0
422,1554,4.0
423,1548,4.0
424,1549,4.0
425,1520,4.0
426,1514,4.0
427,1491,4.0
428,1456,4.0
429,1437,4.0
430,1439,4.0
431,1465,4.0
432,1555,4.0
433,1753,4.0
434,2003,4.0
435,2309,4.0
436,2624,4.0
437,2937,4.0
438,3299,4.0
439,3648,5.0
440,3919,5.0
441,3981,5.0
442,3953,5.0
443,3775,5.0
444,3502,5.0
445,3194,5.0
446,2933,5.0
447,2704,5.0
448,2487,5.0
449,2305,5.0
450,2141,5.0
451,1979,5.0
452,1849,5.0
453,1763,5.0
454,1696,5.0
455,1645,5.0
456,1597,5.0
457,1600,5.0
458,1630,5.0
459,1675,5.0
460,1714,5.0
461,1771,5.0
462,1797,5.0
463,1856,5.0
464,1885,5.0
465,1915,5.0
466,1936,5.0
467,1927,5.0
468,1911,5.0
469,1881,5.0
470,1835,5.0
471,1799,5.0
472,1725,5.0
473,1675,5.0
474,1623,5.0
475,1578,5.0
476,1491,5.0
477,1445,5.0
478,1424,5.0
479,1402,5.0
480,1379,5.0
481,1357,5.0
482,1360,5.0
483,1358,5.0
484,1379,5.0
485,1406,5.0
486,1421,5.0
487,1422,5.0
488,1441,5.0
489,1451,5.0
490,1442,5.0
491,1462,5.0
492,1498,5.0
493,1502,5.0
494,1515,5.0
495,1525,5.0
496,1526,5.0
497,1510,5.0
498,1493,5.0
499,1488,5.0
500,1473,5.0
501,1472,5.0
502,1463,5.0
503,1446,5.0
504,1435,5.0
505,1422,5.0
506,1414,5.0
507,1387,5.0
508,1385,5.0
509,1421,5.0
510,1521,5.0
511,1699,5.0
512,1983,5.0
513,2287,5.0
514,2642,5.0
515,3023,5.0
516,3430,5.0
517,3933,5.0
518,3961,5.0
519,3972,5.0
520,3967,5.0
521,3984,5.0
522,3967,5.0
523,3785,5.0
524,3355,5.0
525,3052,5.0
526,2785,5.0
527,2570,5.0
528,2366,5.0
529,2198,5.0
530,2026,5.0
531,1876,5.0
532,1766,5.0
533,1681,5.0
534,1600,5.0
535,1556,5.0
536,1565,5.0
537,1573,5.0
538,1600,5.0
539,1654,6.0
540,1692,6.0
541,1745,6.0
542,1782,6.0
543,1813,6.0
544,1847,6.0
545,1870,6.0
546,1873,6.0
547,1856,6.0
548,1840,6.0
549,1803,6.0
550,1765,6.0
551,1728,6.0
552,1647,6.0
553,1601,6.0
554,1535,6.0
555,1511,6.0
556,1488,6.0
557,1471,6.0
558,1446,6.0
559,1424,6.0
560,1421,6.0
561,1411,6.0
562,1397,6.0
563,1398,6.0
564,1403,6.0
565,1415,6.0
566,1421,6.0
567,1424,6.0
568,1442,6.0
569,1447,6.0
570,1446,6.0
571,1475,6.0
572,1479,6.0
573,1488,6.0
574,1508,6.0
575,1494,6.0
576,1491,6.0
577,1486,6.0
578,1495,6.0
579,1488,6.0
580,1479,6.0
581,1451,6.0
582,1435,6.0
583,1411,6.0
584,1456,6.0
585,1520,6.0
586,1535,6.0
587,1558,6.0
588,1568,6.0
589,1570,6.0
590,1579,6.0
591,1619,6.0
592,1733,6.0
593,1968,6.0
594,2263,6.0
595,2594,6.0
596,2954,6.0
597,3378,6.0
598,3879,6.0
599,3971,6.0
600,3952,6.0
601,3971,6.0
602,3971,6.0
603,3933,6.0
604,3942,6.0
605,3806,6.0
606,3391,6.0
607,3039,6.0
608,2758,6.0
609,2534,6.0
610,2302,6.0
611,2107,6.0
612,1936,6.0
613,1820,6.0
614,1707,6.0
615,1627,6.0
616,1569,6.0
617,1552,6.0
618,1543,6.0
619,1583,6.0
620,1594,6.0
621,1648,6.0
622,1692,6.0
623,1734,6.0
624,1783,6.0
625,1808,6.0
626,1809,6.0
627,1814,6.0
628,1793,6.0
629,1779,6.0
630,1739,6.0
631,1695,6.0
632,1636,6.0
633,1597,6.0
634,1519,6.0
635,1456,6.0
636,1407,6.0
637,1358,6.0
638,1331,6.0
639,1331,7.0
640,1313,7.0
641,1314,7.0
642,1321,7.0
643,1319,7.0
644,1331,7.0
645,1328,7.0
646,1334,7.0
647,1360,7.0
648,1386,7.0
649,1393,7.0
650,1408,7.0
651,1411,7.0
652,1421,7.0
653,1445,7.0
654,1431,7.0
655,1456,7.0
656,1440,7.0
657,1449,7.0
658,1427,7.0
659,1440,7.0
660,1427,7.0
661,1428,7.0
662,1426,7.0
663,1429,7.0
664,1426,7.0
665,1392,7.0
666,1389,7.0
667,1387,7.0
668,1384,7.0
669,1363,7.0
670,1385,7.0
671,1392,7.0
672,1438,7.0
673,1575,7.0
674,1803,7.0
675,2082,7.0
676,2457,7.0
677,2851,7.0
678,3323,7.0
679,3858,7.0
680,3975,7.0
681,3993,7.0
682,3983,7.0
683,3973,7.0
684,3973,7.0
685,3954,7.0
686,3706,7.0
687,3264,7.0
688,2928,7.0
689,2647,7.0
690,2372,7.0
691,2156,7.0
692,1950,7.0
693,1764,7.0
694,1630,7.0
695,1525,7.0
696,1428,7.0
697,1392,7.0
698,1371,7.0
699,1388,7.0
700,1455,7.0
701,1549,7.0
702,1609,7.0
703,1717,7.0
704,1778,7.0
705,1851,7.0
706,1882,7.0
707,1915,7.0
708,1909,7.0
709,1901,7.0
710,1878,7.0
711,1887,7.0
712,1840,7.0
713,1773,7.0
714,1698,7.0
715,1616,7.0
716,1552,7.0
717,1475,7.0
718,1418,7.0
719,1377,7.0
720,1351,7.0
721,1329,7.0
722,1328,7.0
723,1329,7.0
724,1340,7.0
725,1325,7.0
726,1362,7.0
727,1370,7.0
728,1390,7.0
729,1422,7.0
730,1426,7.0
731,1470,7.0
732,1494,7.0
733,1513,7.0
734,1501,7.0
735,1488,7.0
736,1498,7.0
737,1481,7.0
738,1467,7.0
739,1456,8.0
740,1463,8.0
741,1472,8.0
742,1450,8.0
743,1434,8.0
744,1411,8.0
745,1406,8.0
746,1395,8.0
747,1394,8.0
748,1382,8.0
749,1397,8.0
750,1392,8.0
751,1366,8.0
752,1385,8.0
753,1357,8.0
754,1424,8.0
755,1571,8.0
756,1803,8.0
757,2119,8.0
758,2494,8.0
759,2931,8.0
760,3435,8.0
761,3969,8.0
762,3965,8.0
763,3959,8.0
764,3952,8.0
765,3943,8.0
766,3959,8.0
767,3950,8.0
768,3952,8.0
769,3757,8.0
770,3312,8.0
771,2955,8.0
772,2686,8.0
773,2441,8.0
774,2221,8.0
775,2035,8.0
776,1850,8.0
777,1718,8.0
778,1616,8.0
779,1529,8.0
780,1462,8.0
781,1444,8.0
782,1471,8.0
783,1467,8.0
784,1535,8.0
785,1595,8.0
786,1664,8.0
787,1728,8.0
788,1798,8.0
789,1816,8.0
790,1851,8.0
791,1856,8.0
792,1841,8.0
793,1808,8.0
794,1744,8.0
795,1683,8.0
796,1616,8.0
797,1552,8.0
798,1482,8.0
799,1429,8.0
800,1404,8.0
801,1373,8.0
802,1347,8.0
803,1310,8.0
804,1307,8.0
805,1301,8.0
806,1326,8.0
807,1339,8.0
808,1360,8.0
809,1386,8.0
810,1407,8.0
811,1404,8.0
812,1418,8.0
813,1446,8.0
814,1463,8.0
815,1468,8.0
816,1457,8.0
817,1468,8.0
818,1466,8.0
819,1440,8.0
820,1424,8.0
821,1426,8.0
822,1431,8.0
823,1426,8.0
824,1409,8.0
825,1425,8.0
826,1398,8.0
827,1418,8.0
828,1398,8.0
829,1398,8.0
830,1390,8.0
831,1381,8.0
832,1373,8.0
833,1377,8.0
834,1357,8.0
835,1360,8.0
836,1359,8.0
837,1346,8.0
838,1333,8.0
839,1334,9.0
840,1335,9.0
841,1328,9.0
842,1348,9.0
843,1411,9.0
844,1571,9.0
845,1827,9.0
846,2166,9.0
847,2544,9.0
848,2981,9.0
849,3542,9.0
850,3959,9.0
851,3984,9.0
852,3952,9.0
853,3966,9.0
854,3978,9.0
855,3974,9.0
856,3961,9.0
857,3952,9.0
858,3672,9.0
859,3189,9.0
860,2830,9.0
861,2525,9.0
862,2290,9.0
863,2080,9.0
864,1899,9.0
865,1760,9.0
866,1650,9.0
867,1582,9.0
868,1495,9.0
869,1489,9.0
870,1488,9.0
871,1520,9.0
872,1564,9.0
873,1601,9.0
874,1658,9.0
875,1725,9.0
876,1773,9.0
877,1808,9.0
878,1819,9.0
879,1839,9.0
880,1818,9.0
881,1791,9.0
882,1742,9.0
883,1711,9.0
884,1641,9.0
885,1599,9.0
886,1533,9.0
887,1493,9.0
888,1440,9.0
889,1423,9.0
890,1398,9.0
891,1375,9.0
892,1394,9.0
893,1370,9.0
894,1354,9.0
895,1359,9.0
896,1359,9.0
897,1367,9.0
898,1366,9.0
899,1331,9.0
900,1383,9.0
901,1443,9.0
902,1487,9.0
903,1515,9.0
904,1478,9.0
905,1499,9.0
906,1555,9.0
907,1554,9.0
908,1558,9.0
909,1520,9.0
910,1456,9.0
911,1425,9.0
912,1394,9.0
913,1373,9.0
914,1351,9.0
915,1291,9.0
916,1275,9.0
917,1234,9.0
918,1188,9.0
919,1166,9.0
920,1153,9.0
921,1201,9.0
922,1264,9.0
923,1281,9.0
924,1322,9.0
925,1334,9.0
926,1355,9.0
927,1370,9.0
928,1376,9.0
929,1371,9.0
930,1381,9.0
931,1392,9.0
932,1374,9.0
933,1393,9.0
934,1408,9.0
935,1488,9.0
936,1711,9.0
937,2000,9.0
938,2386,9.0
939,2780,10.0
940,3213,10.0
941,3728,10.0
942,3959,10.0
943,3936,10.0
944,3943,10.0
945,3953,10.0
946,3979,10.0
947,3964,10.0
948,3575,10.0
949,3175,10.0
950,2845,10.0
951,2581,10.0
952,2321,10.0
953,2084,10.0
954,1891,10.0
955,1727,10.0
956,1571,10.0
957,1475,10.0
958,1379,10.0
959,1349,10.0
960,1354,10.0
961,1392,10.0
962,1456,10.0
963,1513,10.0
964,1605,10.0
965,1680,10.0
966,1776,10.0
967,1842,10.0
968,1899,10.0
969,1936,10.0
970,1938,10.0
971,1932,10.0
972,1920,10.0
973,1882,10.0
974,1836,10.0
975,1765,10.0
976,1700,10.0
977,1634,10.0
978,1552,10.0
979,1494,10.0
980,1456,10.0
981,1423,10.0
982,1414,10.0
983,1394,10.0
984,1386,10.0
985,1379,10.0
986,1399,10.0
987,1413,10.0
988,1433,10.0
989,1462,10.0
990,1489,10.0
991,1525,10.0
992,1552,10.0
993,1574,10.0
994,1584,10.0
995,1585,10.0
996,1578,10.0
997,1563,10.0
998,1551,10.0
999,1517,10.0
1000,1509,10.0
1001,1489,10.0
1002,1503,10.0
1003,1511,10.0
1004,1519,10.0
1005,1509,10.0
1006,1498,10.0
1007,1474,10.0
1008,1488,10.0
1009,1454,10.0
1010,1435,10.0
1011,1455,10.0
1012,1471,10.0
1013,1439,10.0
1014,1417,10.0
1015,1387,10.0
1016,1365,10.0
1017,1356,10.0
1018,1353,10.0
1019,1385,10.0
1020,1456,10.0
1021,1633,10.0
1022,1918,10.0
1023,2270,10.0
1024,2643,10.0
1025,3041,10.0
1026,3521,10.0
1027,3962,10.0
1028,3971,10.0
1029,3967,10.0
1030,3962,10.0
1031,3981,10.0
1032,3983,10.0
1033,3793,10.0
1034,3362,10.0
1035,2997,10.0
1036,2699,10.0
1037,2443,10.0
1038,2227,10.0
1039,2026,11.0
1040,1851,11.0
1041,1718,11.0
1042,1584,11.0
1043,1488,11.0
1044,1442,11.0
1045,1429,11.0
1046,1442,11.0
1047,1475,11.0
1048,1552,11.0
1049,1625,11.0
1050,1726,11.0
1051,1812,11.0
1052,1867,11.0
1053,1914,11.0
1054,1936,11.0
1055,1936,11.0
1056,1938,11.0
1057,1903,11.0
1058,1866,11.0
1059,1835,11.0
1060,1791,11.0
1061,1712,11.0
1062,1647,11.0
1063,1604,11.0
1064,1551,11.0
1065,1475,11.0
1066,1456,11.0
1067,1409,11.0
1068,1399,11.0
1069,1376,11.0
1070,1364,11.0
1071,1386,11.0
1072,1380,11.0
1073,1403,11.0
1074,1399,11.0
1075,1419,11.0
1076,1439,11.0
1077,1451,11.0
1078,1461,11.0
1079,1465,11.0
1080,1494,11.0
1081,1492,11.0
1082,1488,11.0
1083,1511,11.0
1084,1497,11.0
1085,1514,11.0
1086,1512,11.0
1087,1503,11.0
1088,1475,11.0
1089,1445,11.0
1090,1424,11.0
1091,1405,11.0
1092,1402,11.0
1093,1426,11.0
1094,1456,11.0
1095,1519,11.0
1096,1566,11.0
1097,1578,11.0
1098,1572,11.0
1099,1502,11.0
1100,1483,11.0
1101,1443,11.0
1102,1412,11.0
1103,1391,11.0
1104,1405,11.0
1105,1377,11.0
1106,1406,11.0
1107,1441,11.0
1108,1675,11.0
1109,2032,11.0
1110,2265,11.0
1111,2559,11.0
1112,2892,11.0
1113,3290,11.0
1114,3802,11.0
1115,3985,11.0
1116,4001,11.0
1117,3997,11.0
1118,4011,11.0
1119,4009,11.0
1120,3994,11.0
1121,3678,11.0
1122,3258,11.0
1123,2929,11.0
1124,2679,11.0
1125,2435,11.0
1126,2240,11.0
1127,2058,11.0
1128,1906,11.0
1129,1822,11.0
1130,1723,11.0
1131,1669,11.0
1132,1645,11.0
1133,1609,11.0
1134,1609,11.0
1135,1623,11.0
1136,1650,11.0
1137,1699,11.0
1138,1744,11.0
1139,1803,12.0
1140,1843,12.0
1141,1863,12.0
1142,1867,12.0
1143,1872,12.0
1144,1869,12.0
1145,1829,12.0
1146,1819,12.0
1147,1776,12.0
1148,1748,12.0
1149,1698,12.0
1150,1667,12.0
1151,1635,12.0
1152,1590,12.0
1153,1535,12.0
1154,1501,12.0
1155,1457,12.0
1156,1424,12.0
1157,1414,12.0
1158,1413,12.0
1159,1411,12.0
1160,1403,12.0
1161,1415,12.0
1162,1422,12.0
1163,1424,12.0
1164,1431,12.0
1165,1442,12.0
1166,1449,12.0
1167,1481,12.0
1168,1520,12.0
1169,1531,12.0
1170,1554,12.0
1171,1589,12.0
1172,1601,12.0
1173,1591,12.0
1174,1593,12.0
1175,1593,12.0
1176,1584,12.0
1177,1582,12.0
1178,1552,12.0
1179,1527,12.0
1180,1530,12.0
1181,1509,12.0
1182,1493,12.0
1183,1506,12.0
1184,1504,12.0
1185,1501,12.0
1186,1482,12.0
1187,1471,12.0
1188,1451,12.0
1189,1434,12.0
1190,1401,12.0
1191,1378,12.0
1192,1390,12.0
1193,1407,12.0
1194,1473,12.0
1195,1649,12.0
1196,1926,12.0
1197,2242,12.0
1198,2611,12.0
1199,2987,12.0
1200,3444,12.0
1201,3970,12.0
1202,3986,12.0
1203,3998,12.0
1204,3993,12.0
1205,3968,12.0
1206,4001,12.0
1207,3867,12.0
1208,3440,12.0
1209,3061,12.0
1210,2768,12.0
1211,2512,12.0
1212,2311,12.0
1213,2123,12.0
1214,1971,12.0
1215,1856,12.0
1216,1745,12.0
1217,1694,12.0
1218,1626,12.0
1219,1603,12.0
1220,1610,12.0
1221,1621,12.0
1222,1694,12.0
1223,1757,12.0
1224,1840,12.0
1225,1922,12.0
1226,1979,12.0
1227,1997,12.0
1228,2021,12.0
1229,2016,12.0
1230,2013,12.0
1231,2011,12.0
1232,1983,12.0
1233,1921,12.0
1234,1862,12.0
1235,1794,12.0
1236,1705,12.0
1237,1639,12.0
1238,1587,12.0
1239,1562,13.0
1240,1526,13.0
1241,1487,13.0
1242,1470,13.0
1243,1427,13.0
1244,1431,13.0
1245,1439,13.0
1246,1439,13.0
1247,1458,13.0
1248,1464,13.0
1249,1467,13.0
1250,1506,13.0
1251,1578,13.0
1252,1643,13.0
1253,1691,13.0
1254,1746,13.0
1255,1781,13.0
1256,1758,13.0
1257,1726,13.0
1258,1667,13.0
1259,1597,13.0
1260,1546,13.0
1261,1507,13.0
1262,1459,13.0
1263,1456,13.0
1264,1458,13.0
1265,1551,13.0
1266,1609,13.0
1267,1679,13.0
1268,1715,13.0
1269,1776,13.0
1270,1875,13.0
1271,2055,13.0
1272,2271,13.0
1273,2526,13.0
1274,2837,13.0
1275,3169,13.0
1276,3561,13.0
1277,3894,13.0
1278,3921,13.0
1279,3907,13.0
1280,3929,13.0
1281,3913,13.0
1282,3761,13.0
1283,3406,13.0
1284,3063,13.0
1285,2880,13.0
1286,2626,13.0
1287,2395,13.0
1288,2203,13.0
1289,2007,13.0
1290,1847,13.0
1291,1733,13.0
1292,1648,13.0
1293,1563,13.0
1294,1532,13.0
1295,1457,13.0
1296,1441,13.0
1297,1557,13.0
1298,1682,13.0
1299,1765,13.0
1300,1841,13.0
1301,1874,13.0
1302,1905,13.0
1303,1957,13.0
1304,1968,13.0
1305,1964,13.0
1306,1931,13.0
1307,1885,13.0
1308,1903,13.0
1309,1856,13.0
1310,1776,13.0
1311,1639,13.0
1312,1548,13.0
1313,1425,13.0
1314,1360,13.0
1315,1294,13.0
1316,1248,13.0
1317,1232,13.0
1318,1216,13.0
1319,1233,13.0
1320,1232,13.0
1321,1255,13.0
1322,1261,13.0
1323,1296,13.0
1324,1333,13.0
1325,1331,13.0
1326,1423,13.0
1327,1484,13.0
1328,1570,13.0
1329,1616,13.0
1330,1607,13.0
1331,1590,13.0
1332,1555,13.0
1333,1495,13.0
1334,1478,13.0
1335,1452,13.0
1336,1424,13.0
1337,1411,13.0
1338,1391,13.0
1339,1361,14.0
1340,1361,14.0
1341,1328,14.0
1342,1442,14.0
1343,1490,14.0
1344,1497,14.0
1345,1485,14.0
1346,1483,14.0
1347,1466,14.0
1348,1489,14.0
1349,1558,14.0
1350,1795,14.0
1351,2064,14.0
1352,2426,14.0
1353,2795,14.0
1354,3264,14.0
1355,3793,14.0
1356,3925,14.0
1357,3921,14.0
1358,3920,14.0
1359,3926,14.0
1360,3946,14.0
1361,3937,14.0
1362,3807,14.0
1363,3365,14.0
1364,3031,14.0
1365,2767,14.0
1366,2571,14.0
1367,2387,14.0
1368,2235,14.0
1369,2114,14.0
1370,2014,14.0
1371,1931,14.0
1372,1847,14.0
1373,1770,14.0
1374,1730,14.0
