,4032, 0
0,4018,0.0
1,4032,0.0
2,4031,0.0
3,4029,0.0
4,4022,0.0
5,4015,0.0
6,4023,0.0
7,4029,0.0
8,4017,0.0
9,4029,0.0
10,4019,0.0
11,4016,0.0
12,4016,0.0
13,4011,0.0
14,4014,0.0
15,4030,0.0
16,4016,0.0
17,4047,0.0
18,4021,0.0
19,4050,0.0
20,4014,0.0
21,4049,0.0
22,4010,0.0
23,3993,0.0
24,3994,0.0
25,4033,0.0
26,4035,0.0
27,4013,0.0
28,4048,0.0
29,4019,0.0
30,4020,0.0
31,4011,0.0
32,3997,0.0
33,4032,0.0
34,4011,0.0
35,4031,0.0
36,4002,0.0
37,3987,0.0
38,4009,1.0
39,4019,1.0
40,4010,1.0
41,4058,1.0
42,4016,1.0
43,3996,1.0
44,4005,1.0
45,3993,1.0
46,4014,1.0
47,4032,1.0
48,4010,1.0
49,4054,1.0
50,3998,1.0
51,3757,1.0
52,3010,1.0
53,2517,1.0
54,2097,1.0
55,1698,1.0
56,1371,1.0
57,1107,1.0
58,910,1.0
59,774,1.0
60,688,1.0
61,677,1.0
62,768,1.0
63,957,1.0
64,1239,1.0
65,1582,1.0
66,1970,1.0
67,2375,1.0
68,2768,1.0
69,3141,1.0
70,3543,1.0
71,3917,1.0
72,4023,1.0
73,4016,1.0
74,4018,1.0
75,4007,1.0
76,3849,1.0
77,3568,1.0
78,3310,1.0
79,3115,1.0
80,2896,1.0
81,2710,1.0
82,2544,1.0
83,2383,1.0
84,2202,1.0
85,2026,1.0
86,1844,1.0
87,1698,1.0
88,1557,1.0
89,1455,1.0
90,1380,1.0
91,1339,1.0
92,1325,1.0
93,1314,1.0
94,1349,1.0
95,1375,1.0
96,1392,1.0
97,1433,1.0
98,1450,1.0
99,1485,1.0
100,1515,1.0
101,1534,1.0
102,1553,1.0
103,1554,1.0
104,1526,1.0
105,1526,1.0
106,1515,1.0
107,1488,1.0
108,1491,1.0
109,1484,1.0
110,1498,1.0
111,1474,1.0
112,1467,1.0
113,1453,1.0
114,1463,1.0
115,1443,1.0
116,1424,1.0
117,1439,1.0
118,1434,1.0
119,1425,1.0
120,1408,1.0
121,1418,1.0
122,1412,1.0
123,1415,1.0
124,1398,1.0
