,4031, 0
0,4048,0.0
1,4033,0.0
2,4051,0.0
3,4031,0.0
4,4044,0.0
5,4030,0.0
6,4031,0.0
7,4039,0.0
8,4039,0.0
9,4039,0.0
10,4039,0.0
11,4032,0.0
12,4032,0.0
13,4032,0.0
14,4038,0.0
15,4039,0.0
16,4033,0.0
17,4030,0.0
18,3167,0.0
19,2595,0.0
20,2128,0.0
21,1725,0.0
22,1376,0.0
23,1093,0.0
24,875,0.0
25,714,0.0
26,601,0.0
27,528,0.0
28,490,0.0
29,489,0.0
30,511,0.0
31,561,0.0
32,623,0.0
33,674,0.0
34,720,0.0
35,752,0.0
36,791,0.0
37,832,0.0
38,879,0.0
39,927,0.0
40,991,0.0
41,1090,0.0
42,1244,0.0
43,1465,0.0
44,1762,1.0
45,2118,1.0
46,2509,1.0
47,2928,1.0
48,3439,1.0
49,4022,1.0
50,4035,1.0
51,4037,1.0
52,4031,1.0
53,4038,1.0
54,4035,1.0
55,4031,1.0
56,4033,1.0
57,4046,1.0
58,4038,1.0
59,4031,1.0
60,3568,1.0
61,3120,1.0
62,2761,1.0
63,2432,1.0
64,2143,1.0
65,1885,1.0
66,1679,1.0
67,1505,1.0
68,1392,1.0
69,1308,1.0
70,1264,1.0
71,1245,1.0
72,1251,1.0
73,1278,1.0
74,1312,1.0
75,1358,1.0
76,1392,1.0
77,1412,1.0
78,1420,1.0
79,1422,1.0
80,1405,1.0
81,1391,1.0
82,1382,1.0
83,1375,1.0
84,1375,1.0
85,1381,1.0
86,1379,1.0
87,1376,1.0
88,1362,1.0
89,1328,1.0
90,1296,1.0
91,1271,1.0
92,1257,1.0
93,1241,1.0
94,1241,1.0
95,1246,1.0
96,1247,1.0
97,1250,1.0
98,1262,1.0
99,1298,1.0
100,1379,1.0
101,1521,1.0
102,1743,1.0
103,2031,1.0
104,2377,1.0
105,2770,1.0
106,3216,1.0
107,3822,1.0
108,4047,1.0
109,4047,1.0
110,4031,1.0
111,4035,1.0
112,4047,1.0
113,4037,1.0
114,4035,1.0
115,4039,1.0
116,4048,1.0
117,4042,1.0
118,3790,1.0
119,3309,1.0
120,2957,1.0
121,2663,1.0
122,2386,1.0
123,2132,1.0
124,1889,1.0
125,1680,1.0
126,1503,1.0
127,1366,1.0
128,1264,1.0
129,1190,1.0
130,1147,1.0
131,1129,1.0
132,1111,1.0
133,1107,1.0
134,1106,1.0
135,1107,1.0
136,1111,1.0
137,1106,1.0
138,1093,1.0
139,1072,1.0
140,1054,1.0
141,1033,1.0
142,1008,1.0
143,992,1.0
144,975,2.0
145,960,2.0
146,944,2.0
147,940,2.0
148,941,2.0
149,953,2.0
150,978,2.0
151,1008,2.0
152,1035,2.0
153,1043,2.0
154,1039,2.0
155,1030,2.0
156,1035,2.0
157,1095,2.0
158,1247,2.0
159,1491,2.0
160,1840,2.0
161,2274,2.0
162,2767,2.0
163,3390,2.0
164,4039,2.0
165,4046,2.0
166,4026,2.0
167,4029,2.0
168,4048,2.0
169,4031,2.0
170,4047,2.0
171,4045,2.0
172,4037,2.0
173,4038,2.0
174,4048,2.0
175,4032,2.0
176,4031,2.0
177,4027,2.0
178,4043,2.0
179,4032,2.0
180,4048,2.0
181,4045,2.0
182,4042,2.0
183,3659,2.0
184,3201,2.0
185,2892,2.0
186,2656,2.0
187,2438,2.0
188,2241,2.0
189,2043,2.0
190,1851,2.0
191,1663,2.0
192,1483,2.0
193,1327,2.0
194,1195,2.0
195,1077,2.0
196,964,2.0
197,865,2.0
198,769,2.0
199,688,2.0
200,621,2.0
201,562,2.0
202,509,2.0
203,481,2.0
204,450,2.0
205,443,2.0
206,463,2.0
207,494,2.0
208,532,2.0
209,571,2.0
210,600,2.0
211,631,2.0
212,672,2.0
213,720,2.0
214,787,2.0
215,880,2.0
216,1009,2.0
217,1197,2.0
218,1428,2.0
219,1715,2.0
220,2032,2.0
221,2363,2.0
222,2677,2.0
223,2960,2.0
224,3230,2.0
225,3451,2.0
226,3593,2.0
227,3598,2.0
228,3447,2.0
229,3210,2.0
230,2943,2.0
231,2681,2.0
232,2419,2.0
233,2175,2.0
234,1936,2.0
235,1729,2.0
236,1550,2.0
237,1370,2.0
238,1230,2.0
239,1110,2.0
240,1008,2.0
241,944,2.0
242,912,2.0
243,898,2.0
244,911,3.0
245,935,3.0
246,965,3.0
247,1006,3.0
248,1040,3.0
249,1081,3.0
250,1120,3.0
251,1154,3.0
252,1191,3.0
253,1211,3.0
254,1231,3.0
255,1230,3.0
256,1214,3.0
257,1188,3.0
258,1165,3.0
259,1135,3.0
260,1105,3.0
261,1090,3.0
262,1072,3.0
263,1042,3.0
264,1003,3.0
265,950,3.0
266,900,3.0
