,786, 0
0,731,0.0
1,714,0.0
2,699,0.0
3,726,0.0
4,747,0.0
5,778,0.0
6,822,0.0
7,868,0.0
8,902,0.0
9,966,0.0
10,1011,0.0
11,1073,0.0
12,1147,0.0
13,1258,0.0
14,1411,0.0
15,1627,0.0
16,1887,0.0
17,2223,0.0
18,2585,0.0
19,2955,0.0
20,3426,0.0
21,3972,0.0
22,3977,0.0
23,3985,0.0
24,3983,0.0
25,3998,0.0
26,3991,0.0
27,3991,0.0
28,4001,0.0
29,3986,0.0
30,3979,0.0
31,3990,0.0
32,3991,0.0
33,3986,0.0
34,3990,0.0
35,3986,0.0
36,3519,0.0
37,3099,0.0
38,2770,0.0
39,2489,0.0
40,2213,0.0
41,1952,0.0
42,1723,0.0
43,1529,0.0
44,1385,0.0
45,1264,1.0
46,1168,1.0
47,1103,1.0
48,1075,1.0
49,1063,1.0
50,1066,1.0
51,1085,1.0
52,1104,1.0
53,1131,1.0
54,1164,1.0
55,1186,1.0
56,1190,1.0
57,1209,1.0
58,1221,1.0
59,1234,1.0
60,1232,1.0
61,1223,1.0
62,1231,1.0
63,1219,1.0
64,1197,1.0
65,1191,1.0
66,1181,1.0
67,1168,1.0
68,1177,1.0
69,1154,1.0
70,1151,1.0
71,1122,1.0
72,1130,1.0
73,1122,1.0
74,1103,1.0
75,1111,1.0
76,1148,1.0
77,1212,1.0
78,1354,1.0
79,1557,1.0
80,1827,1.0
81,2169,1.0
82,2569,1.0
83,2978,1.0
84,3483,1.0
85,4000,1.0
86,3984,1.0
87,3986,1.0
88,3998,1.0
89,3992,1.0
90,3993,1.0
91,3987,1.0
92,3979,1.0
93,3969,1.0
94,3984,1.0
95,3984,1.0
96,3990,1.0
97,3979,1.0
98,3984,1.0
99,3990,1.0
100,3990,1.0
101,3346,1.0
102,2922,1.0
103,2587,1.0
104,2293,1.0
105,2011,1.0
106,1766,1.0
107,1557,1.0
108,1372,1.0
109,1237,1.0
110,1119,1.0
111,1053,1.0
112,1001,1.0
113,976,1.0
114,958,1.0
115,978,1.0
116,987,1.0
117,1007,1.0
118,1023,1.0
119,1033,1.0
120,1056,1.0
121,1067,1.0
122,1088,1.0
123,1085,1.0
124,1094,1.0
125,1116,1.0
126,1106,1.0
127,1105,1.0
128,1105,1.0
129,1088,1.0
130,1079,1.0
131,1075,1.0
132,1056,1.0
133,1058,1.0
134,1046,1.0
135,1040,1.0
136,1007,1.0
137,1014,1.0
138,1040,1.0
139,1105,1.0
140,1210,1.0
141,1393,1.0
142,1676,1.0
143,2002,1.0
144,2383,1.0
145,2763,2.0
146,3175,2.0
147,3694,2.0
148,3984,2.0
149,3990,2.0
150,3984,2.0
151,3987,2.0
152,3979,2.0
153,3981,2.0
154,3984,2.0
155,3978,2.0
156,3994,2.0
157,3703,2.0
158,3325,2.0
159,3024,2.0
160,2764,2.0
161,2510,2.0
162,2257,2.0
163,2002,2.0
164,1776,2.0
165,1554,2.0
166,1369,2.0
167,1200,2.0
168,1084,2.0
169,979,2.0
170,912,2.0
171,880,2.0
172,870,2.0
173,880,2.0
174,906,2.0
175,958,2.0
176,992,2.0
177,1023,2.0
178,1069,2.0
179,1102,2.0
180,1125,2.0
181,1136,2.0
182,1161,2.0
183,1147,2.0
184,1157,2.0
185,1143,2.0
186,1145,2.0
187,1139,2.0
188,1120,2.0
189,1095,2.0
190,1099,2.0
191,1079,2.0
192,1072,2.0
193,1065,2.0
194,1069,2.0
195,1050,2.0
196,1040,2.0
197,1056,2.0
198,1061,2.0
199,1104,2.0
200,1182,2.0
201,1333,2.0
202,1554,2.0
203,1850,2.0
204,2204,2.0
