,3266, 0
0,2679,0.0
1,2209,0.0
2,1793,0.0
3,1443,0.0
4,1179,0.0
5,1008,0.0
6,930,0.0
7,946,0.0
8,1056,0.0
9,1229,0.0
10,1453,0.0
11,1702,0.0
12,1936,0.0
13,2154,0.0
14,2333,0.0
15,2455,0.0
16,2522,0.0
17,2546,0.0
18,2531,0.0
19,2465,0.0
20,2367,0.0
21,2241,0.0
22,2098,0.0
23,1950,0.0
24,1799,0.0
25,1648,0.0
26,1495,0.0
27,1370,0.0
28,1266,0.0
29,1188,0.0
30,1143,0.0
31,1105,0.0
32,1103,0.0
33,1111,0.0
34,1124,0.0
35,1157,0.0
36,1191,0.0
37,1221,0.0
38,1266,0.0
39,1298,1.0
40,1333,1.0
41,1380,1.0
42,1405,1.0
43,1430,1.0
44,1449,1.0
45,1456,1.0
46,1455,1.0
47,1447,1.0
48,1441,1.0
49,1424,1.0
50,1411,1.0
51,1385,1.0
52,1362,1.0
53,1357,1.0
54,1363,1.0
55,1414,1.0
56,1506,1.0
57,1641,1.0
58,1813,1.0
59,2010,1.0
60,2224,1.0
61,2425,1.0
62,2613,1.0
63,2758,1.0
64,2862,1.0
65,2913,1.0
66,2905,1.0
67,2855,1.0
68,2754,1.0
69,2627,1.0
70,2451,1.0
71,2267,1.0
72,2071,1.0
73,1873,1.0
74,1680,1.0
75,1513,1.0
76,1368,1.0
77,1253,1.0
78,1165,1.0
79,1101,1.0
80,1072,1.0
81,1069,1.0
82,1079,1.0
83,1104,1.0
84,1143,1.0
85,1182,1.0
86,1233,1.0
87,1285,1.0
88,1330,1.0
89,1381,1.0
90,1422,1.0
91,1457,1.0
92,1486,1.0
93,1502,1.0
94,1508,1.0
95,1506,1.0
96,1511,1.0
97,1491,1.0
98,1481,1.0
99,1457,1.0
100,1435,1.0
101,1410,1.0
102,1392,1.0
103,1389,1.0
104,1392,1.0
105,1441,1.0
106,1527,1.0
107,1670,1.0
108,1843,1.0
109,2043,1.0
110,2256,1.0
111,2450,1.0
112,2637,1.0
113,2781,1.0
114,2868,1.0
115,2905,1.0
116,2887,1.0
117,2823,1.0
118,2711,1.0
119,2571,1.0
120,2395,1.0
121,2208,1.0
122,2015,1.0
123,1808,1.0
124,1621,1.0
125,1453,1.0
126,1314,1.0
127,1205,1.0
128,1133,1.0
129,1093,1.0
130,1073,1.0
131,1084,1.0
132,1109,1.0
133,1154,1.0
134,1201,1.0
135,1249,1.0
136,1302,1.0
137,1342,1.0
138,1376,1.0
139,1408,2.0
140,1430,2.0
141,1451,2.0
142,1467,2.0
143,1476,2.0
144,1477,2.0
145,1469,2.0
146,1456,2.0
147,1439,2.0
148,1413,2.0
149,1387,2.0
150,1354,2.0
151,1328,2.0
152,1309,2.0
153,1307,2.0
154,1322,2.0
155,1359,2.0
156,1438,2.0
157,1567,2.0
158,1738,2.0
159,1935,2.0
160,2155,2.0
161,2368,2.0
162,2574,2.0
163,2735,2.0
164,2850,2.0
165,2912,2.0
166,2916,2.0
167,2877,2.0
168,2785,2.0
169,2651,2.0
170,2485,2.0
171,2313,2.0
172,2128,2.0
173,1935,2.0
174,1750,2.0
175,1587,2.0
176,1435,2.0
177,1321,2.0
178,1226,2.0
179,1158,2.0
180,1135,2.0
181,1137,2.0
182,1158,2.0
183,1199,2.0
184,1251,2.0
185,1316,2.0
186,1392,2.0
187,1472,2.0
188,1549,2.0
189,1597,2.0
190,1643,2.0
191,1649,2.0
192,1641,2.0
193,1633,2.0
194,1616,2.0
195,1600,2.0
196,1582,2.0
197,1552,2.0
198,1515,2.0
199,1487,2.0
200,1452,2.0
201,1418,2.0
202,1387,2.0
203,1388,2.0
204,1425,2.0
205,1510,2.0
206,1658,2.0
207,1831,2.0
208,2035,2.0
209,2266,2.0
210,2496,2.0
211,2710,2.0
212,2890,2.0
213,3021,2.0
214,3106,2.0
215,3108,2.0
216,3046,2.0
217,2931,2.0
218,2786,2.0
219,2612,2.0
220,2421,2.0
221,2222,2.0
222,2009,2.0
223,1808,2.0
224,1632,2.0
225,1472,2.0
226,1348,2.0
227,1252,2.0
228,1198,2.0
229,1171,2.0
230,1171,2.0
231,1195,2.0
232,1239,2.0
233,1297,2.0
234,1359,2.0
235,1414,2.0
236,1462,2.0
237,1518,2.0
238,1570,2.0
239,1603,3.0
240,1637,3.0
241,1650,3.0
242,1656,3.0
243,1648,3.0
244,1636,3.0
245,1616,3.0
246,1589,3.0
247,1563,3.0
248,1533,3.0
249,1502,3.0
250,1478,3.0
251,1477,3.0
252,1507,3.0
253,1584,3.0
254,1711,3.0
255,1886,3.0
256,2100,3.0
257,2343,3.0
258,2588,3.0
259,2817,3.0
260,3017,3.0
261,3185,3.0
262,3294,3.0
263,3307,3.0
264,3232,3.0
265,3126,3.0
266,2977,3.0
267,2801,3.0
268,2610,3.0
269,2413,3.0
270,2203,3.0
271,2011,3.0
272,1840,3.0
273,1690,3.0
274,1563,3.0
275,1462,3.0
276,1399,3.0
277,1373,3.0
278,1361,3.0
279,1387,3.0
280,1419,3.0
281,1453,3.0
282,1491,3.0
283,1532,3.0
284,1574,3.0
285,1609,3.0
286,1631,3.0
287,1650,3.0
288,1671,3.0
289,1691,3.0
290,1696,3.0
291,1703,3.0
292,1697,3.0
293,1680,3.0
294,1659,3.0
295,1639,3.0
296,1603,3.0
297,1566,3.0
298,1527,3.0
299,1502,3.0
300,1507,3.0
301,1554,3.0
302,1648,3.0
303,1798,3.0
304,1983,3.0
305,2224,3.0
306,2479,3.0
307,2729,3.0
308,2959,3.0
309,3169,3.0
310,3337,3.0
311,3415,3.0
312,3413,3.0
313,3322,3.0
314,3178,3.0
