,4006, 0
0,4009,0.0
1,3998,0.0
2,3674,0.0
3,2981,0.0
4,2513,0.0
5,2103,0.0
6,1744,0.0
7,1427,0.0
8,1173,0.0
9,974,0.0
10,830,0.0
11,734,0.0
12,687,0.0
13,679,0.0
14,705,0.0
15,761,0.0
16,831,0.0
17,915,0.0
18,1009,0.0
19,1101,0.0
20,1183,0.0
21,1255,0.0
22,1317,0.0
23,1371,0.0
24,1422,0.0
25,1457,0.0
26,1491,0.0
27,1535,0.0
28,1621,0.0
29,1728,0.0
30,1867,0.0
31,2008,0.0
32,2161,0.0
33,2304,0.0
34,2440,0.0
35,2544,0.0
36,2636,0.0
37,2687,0.0
38,2719,0.0
39,2729,1.0
40,2706,1.0
41,2666,1.0
42,2609,1.0
43,2538,1.0
44,2464,1.0
45,2384,1.0
46,2300,1.0
47,2218,1.0
48,2138,1.0
49,2064,1.0
50,1983,1.0
51,1911,1.0
52,1853,1.0
53,1803,1.0
54,1759,1.0
55,1723,1.0
56,1696,1.0
57,1669,1.0
58,1651,1.0
59,1653,1.0
60,1656,1.0
61,1669,1.0
62,1680,1.0
63,1694,1.0
64,1712,1.0
65,1719,1.0
66,1715,1.0
67,1720,1.0
68,1713,1.0
69,1693,1.0
70,1680,1.0
71,1662,1.0
72,1645,1.0
73,1622,1.0
74,1611,1.0
75,1590,1.0
76,1581,1.0
77,1554,1.0
78,1535,1.0
79,1511,1.0
80,1490,1.0
81,1472,1.0
82,1456,1.0
83,1455,1.0
84,1450,1.0
85,1451,1.0
86,1446,1.0
87,1450,1.0
88,1461,1.0
89,1481,1.0
90,1511,1.0
91,1571,1.0
92,1664,1.0
93,1778,1.0
94,1905,1.0
95,2046,1.0
96,2176,1.0
97,2295,1.0
98,2398,1.0
99,2479,1.0
100,2529,1.0
101,2553,1.0
102,2570,1.0
103,2547,1.0
104,2525,1.0
105,2491,1.0
106,2448,1.0
107,2393,1.0
108,2339,1.0
109,2270,1.0
110,2202,1.0
111,2133,1.0
112,2070,1.0
113,2005,1.0
114,1943,1.0
115,1891,1.0
116,1840,1.0
117,1794,1.0
118,1759,1.0
119,1728,1.0
120,1703,1.0
121,1685,1.0
122,1675,1.0
123,1669,1.0
124,1663,1.0
125,1661,1.0
126,1662,1.0
127,1651,1.0
128,1654,1.0
129,1646,1.0
130,1632,1.0
131,1616,1.0
132,1598,1.0
133,1576,1.0
134,1556,1.0
135,1535,1.0
136,1523,1.0
137,1509,1.0
138,1490,1.0
139,1485,2.0
140,1471,2.0
141,1464,2.0
142,1456,2.0
143,1447,2.0
144,1424,2.0
145,1413,2.0
146,1395,2.0
147,1378,2.0
148,1360,2.0
149,1345,2.0
150,1329,2.0
151,1312,2.0
152,1308,2.0
153,1302,2.0
154,1307,2.0
155,1316,2.0
156,1360,2.0
157,1454,2.0
158,1568,2.0
159,1700,2.0
160,1856,2.0
161,2015,2.0
162,2174,2.0
163,2323,2.0
164,2464,2.0
165,2599,2.0
166,2704,2.0
167,2795,2.0
168,2853,2.0
169,2886,2.0
170,2896,2.0
171,2886,2.0
172,2867,2.0
173,2833,2.0
174,2797,2.0
175,2743,2.0
176,2689,2.0
177,2616,2.0
178,2513,2.0
179,2419,2.0
180,2317,2.0
181,2205,2.0
182,2096,2.0
183,1985,2.0
184,1878,2.0
185,1791,2.0
186,1730,2.0
187,1689,2.0
188,1663,2.0
189,1643,2.0
190,1643,2.0
191,1635,2.0
192,1641,2.0
193,1648,2.0
194,1660,2.0
195,1669,2.0
196,1679,2.0
197,1681,2.0
198,1691,2.0
199,1712,2.0
200,1715,2.0
201,1715,2.0
202,1718,2.0
203,1714,2.0
204,1710,2.0
205,1703,2.0
206,1682,2.0
207,1662,2.0
208,1633,2.0
209,1603,2.0
210,1569,2.0
211,1521,2.0
212,1476,2.0
213,1424,2.0
214,1379,2.0
215,1340,2.0
216,1313,2.0
217,1294,2.0
218,1273,2.0
219,1268,2.0
220,1276,2.0
221,1284,2.0
222,1299,2.0
223,1324,2.0
224,1343,2.0
225,1360,2.0
226,1394,2.0
227,1470,2.0
228,1584,2.0
229,1721,2.0
230,1872,2.0
231,2032,2.0
232,2189,2.0
233,2324,2.0
234,2448,2.0
235,2546,2.0
236,2631,2.0
237,2687,2.0
238,2709,2.0
239,2719,3.0
240,2702,3.0
241,2663,3.0
242,2609,3.0
243,2531,3.0
244,2451,3.0
245,2366,3.0
246,2273,3.0
247,2186,3.0
248,2097,3.0
249,2017,3.0
250,1941,3.0
251,1877,3.0
252,1824,3.0
253,1780,3.0
254,1742,3.0
255,1708,3.0
256,1685,3.0
257,1671,3.0
258,1666,3.0
259,1671,3.0
260,1679,3.0
261,1683,3.0
262,1702,3.0
263,1712,3.0
264,1724,3.0
265,1723,3.0
266,1723,3.0
267,1717,3.0
268,1707,3.0
269,1691,3.0
270,1682,3.0
271,1653,3.0
272,1637,3.0
273,1616,3.0
274,1597,3.0
275,1584,3.0
276,1567,3.0
277,1554,3.0
278,1526,3.0
279,1510,3.0
280,1491,3.0
281,1473,3.0
282,1456,3.0
283,1450,3.0
284,1439,3.0
285,1438,3.0
286,1440,3.0
287,1442,3.0
288,1445,3.0
289,1465,3.0
290,1504,3.0
291,1584,3.0
292,1682,3.0
293,1824,3.0
294,1987,3.0
295,2160,3.0
296,2335,3.0
297,2501,3.0
298,2665,3.0
299,2804,3.0
300,2919,3.0
301,3007,3.0
302,3054,3.0
303,3063,3.0
304,3041,3.0
305,2988,3.0
306,2901,3.0
307,2800,3.0
308,2691,3.0
309,2576,3.0
310,2460,3.0
311,2347,3.0
312,2243,3.0
313,2146,3.0
314,2054,3.0
315,1966,3.0
316,1874,3.0
317,1804,3.0
318,1741,3.0
319,1680,3.0
320,1631,3.0
321,1586,3.0
322,1555,3.0
323,1535,3.0
324,1523,3.0
325,1523,3.0
326,1535,3.0
327,1555,3.0
328,1577,3.0
329,1589,3.0
330,1611,3.0
331,1616,3.0
332,1607,3.0
333,1605,3.0
334,1602,3.0
335,1599,3.0
336,1594,3.0
337,1585,3.0
338,1584,3.0
339,1582,4.0
340,1581,4.0
341,1585,4.0
342,1588,4.0
343,1591,4.0
344,1598,4.0
345,1601,4.0
346,1603,4.0
347,1599,4.0
348,1579,4.0
349,1559,4.0
350,1530,4.0
351,1504,4.0
352,1474,4.0
353,1446,4.0
354,1447,4.0
355,1486,4.0
356,1578,4.0
357,1707,4.0
358,1863,4.0
359,2032,4.0
360,2207,4.0
361,2374,4.0
362,2523,4.0
363,2658,4.0
364,2765,4.0
365,2835,4.0
366,2878,4.0
367,2886,4.0
368,2877,4.0
369,2831,4.0
370,2774,4.0
371,2689,4.0
372,2602,4.0
373,2491,4.0
374,2390,4.0
375,2301,4.0
376,2203,4.0
377,2107,4.0
378,2011,4.0
379,1911,4.0
380,1817,4.0
381,1739,4.0
382,1667,4.0
383,1610,4.0
384,1560,4.0
385,1514,4.0
386,1490,4.0
387,1469,4.0
388,1458,4.0
389,1450,4.0
390,1443,4.0
391,1451,4.0
392,1454,4.0
393,1463,4.0
394,1472,4.0
395,1474,4.0
396,1488,4.0
397,1483,4.0
398,1478,4.0
399,1474,4.0
400,1457,4.0
401,1456,4.0
402,1445,4.0
403,1441,4.0
404,1434,4.0
405,1419,4.0
406,1407,4.0
407,1399,4.0
408,1387,4.0
409,1370,4.0
410,1357,4.0
411,1342,4.0
412,1331,4.0
413,1329,4.0
414,1321,4.0
415,1325,4.0
416,1328,4.0
417,1328,4.0
418,1326,4.0
419,1331,4.0
420,1344,4.0
421,1359,4.0
422,1392,4.0
423,1450,4.0
424,1553,4.0
425,1705,4.0
426,1872,4.0
427,2059,4.0
428,2243,4.0
429,2416,4.0
430,2575,4.0
431,2691,4.0
432,2787,4.0
433,2862,4.0
434,2896,4.0
435,2896,4.0
436,2866,4.0
437,2815,4.0
438,2755,4.0
439,2675,5.0
440,2597,5.0
441,2497,5.0
442,2403,5.0
443,2295,5.0
444,2193,5.0
445,2098,5.0
446,2011,5.0
447,1936,5.0
448,1858,5.0
449,1789,5.0
450,1722,5.0
451,1657,5.0
452,1601,5.0
453,1558,5.0
454,1522,5.0
455,1504,5.0
456,1487,5.0
457,1474,5.0
458,1474,5.0
459,1483,5.0
460,1481,5.0
461,1486,5.0
462,1491,5.0
463,1503,5.0
464,1505,5.0
465,1516,5.0
466,1514,5.0
467,1520,5.0
468,1520,5.0
469,1516,5.0
470,1510,5.0
471,1511,5.0
472,1513,5.0
473,1524,5.0
474,1516,5.0
475,1511,5.0
476,1506,5.0
477,1499,5.0
478,1486,5.0
479,1473,5.0
