,3987, 0
0,3984,0.0
1,3981,0.0
2,3984,0.0
3,3984,0.0
4,4003,0.0
5,3984,0.0
6,3988,0.0
7,3980,0.0
8,3984,0.0
9,3984,0.0
10,3979,0.0
11,3975,0.0
12,3984,0.0
13,3983,0.0
14,3991,0.0
15,3984,0.0
16,3983,0.0
17,3992,0.0
18,3989,0.0
19,3976,0.0
20,3977,0.0
21,3983,0.0
22,3987,0.0
23,3983,0.0
24,3985,0.0
25,3985,0.0
26,3981,0.0
27,3984,0.0
28,3985,0.0
29,3986,0.0
30,3985,0.0
31,3988,0.0
32,3978,0.0
33,3995,0.0
34,3984,0.0
35,3987,0.0
36,3990,0.0
37,4000,0.0
38,3989,0.0
39,3984,0.0
40,3989,0.0
41,4001,0.0
42,3994,0.0
43,3983,0.0
44,3844,0.0
45,3313,0.0
46,2928,0.0
47,2589,0.0
48,2274,0.0
49,1968,0.0
50,1712,0.0
51,1474,0.0
52,1296,0.0
53,1169,1.0
54,1093,1.0
55,1055,1.0
56,1062,1.0
57,1101,1.0
58,1153,1.0
59,1227,1.0
60,1306,1.0
61,1377,1.0
62,1454,1.0
63,1501,1.0
64,1533,1.0
65,1567,1.0
66,1585,1.0
67,1579,1.0
68,1566,1.0
69,1550,1.0
70,1523,1.0
71,1499,1.0
72,1485,1.0
73,1456,1.0
74,1426,1.0
75,1395,1.0
76,1370,1.0
77,1339,1.0
78,1309,1.0
79,1280,1.0
80,1255,1.0
81,1229,1.0
82,1200,1.0
83,1192,1.0
84,1200,1.0
85,1199,1.0
86,1227,1.0
87,1289,1.0
88,1403,1.0
89,1604,1.0
90,1870,1.0
91,2206,1.0
92,2582,1.0
93,3006,1.0
94,3527,1.0
95,3987,1.0
96,3988,1.0
97,3978,1.0
98,3984,1.0
99,3989,1.0
100,3985,1.0
101,3995,1.0
102,3978,1.0
103,3984,1.0
104,3989,1.0
105,3715,1.0
106,3303,1.0
107,2978,1.0
108,2715,1.0
109,2450,1.0
110,2214,1.0
111,1986,1.0
112,1758,1.0
113,1533,1.0
114,1345,1.0
115,1187,1.0
116,1066,1.0
117,991,1.0
118,949,1.0
119,960,1.0
120,999,1.0
121,1057,1.0
122,1133,1.0
123,1219,1.0
124,1301,1.0
125,1377,1.0
126,1442,1.0
127,1488,1.0
128,1521,1.0
129,1535,1.0
130,1533,1.0
131,1518,1.0
132,1493,1.0
133,1462,1.0
134,1425,1.0
135,1386,1.0
136,1342,1.0
137,1305,1.0
138,1268,1.0
139,1232,1.0
140,1201,1.0
141,1187,1.0
142,1166,1.0
143,1146,1.0
144,1140,1.0
145,1136,1.0
146,1126,1.0
147,1136,1.0
148,1134,1.0
149,1139,1.0
150,1167,1.0
151,1231,1.0
152,1338,1.0
153,1507,2.0
154,1747,2.0
155,2063,2.0
156,2429,2.0
157,2832,2.0
158,3282,2.0
159,3867,2.0
160,3977,2.0
161,3982,2.0
162,3998,2.0
163,3986,2.0
164,3994,2.0
165,3989,2.0
166,3991,2.0
167,4009,2.0
168,3989,2.0
169,3494,2.0
170,3118,2.0
171,2815,2.0
172,2542,2.0
173,2287,2.0
174,2032,2.0
175,1781,2.0
176,1552,2.0
177,1345,2.0
178,1156,2.0
179,989,2.0
180,879,2.0
181,803,2.0
182,765,2.0
183,752,2.0
184,766,2.0
185,826,2.0
186,887,2.0
187,962,2.0
188,1045,2.0
189,1139,2.0
190,1215,2.0
191,1284,2.0
192,1339,2.0
193,1388,2.0
194,1421,2.0
195,1435,2.0
196,1435,2.0
197,1429,2.0
198,1414,2.0
199,1394,2.0
200,1370,2.0
201,1350,2.0
202,1330,2.0
203,1315,2.0
204,1295,2.0
205,1279,2.0
206,1255,2.0
207,1232,2.0
208,1215,2.0
209,1200,2.0
210,1200,2.0
211,1180,2.0
212,1172,2.0
213,1171,2.0
214,1187,2.0
215,1226,2.0
216,1307,2.0
217,1451,2.0
218,1667,2.0
219,1954,2.0
220,2297,2.0
221,2675,2.0
222,3104,2.0
223,3631,2.0
224,3985,2.0
225,3990,2.0
226,3984,2.0
227,3991,2.0
228,3985,2.0
229,3984,2.0
230,3994,2.0
231,3987,2.0
232,3975,2.0
233,3978,2.0
234,3446,2.0
235,3089,2.0
236,2795,2.0
237,2515,2.0
238,2250,2.0
239,1985,2.0
240,1741,2.0
241,1499,2.0
242,1296,2.0
243,1119,2.0
244,991,2.0
245,919,2.0
246,891,2.0
247,906,2.0
248,945,2.0
249,1020,2.0
250,1110,2.0
251,1214,2.0
252,1305,2.0
253,1389,3.0
254,1454,3.0
255,1500,3.0
256,1545,3.0
257,1558,3.0
258,1566,3.0
259,1555,3.0
260,1547,3.0
261,1515,3.0
262,1498,3.0
263,1466,3.0
264,1438,3.0
265,1408,3.0
266,1376,3.0
267,1342,3.0
268,1308,3.0
269,1266,3.0
270,1244,3.0
271,1221,3.0
272,1203,3.0
273,1189,3.0
274,1183,3.0
275,1190,3.0
276,1214,3.0
277,1277,3.0
278,1392,3.0
279,1566,3.0
280,1802,3.0
281,2107,3.0
282,2442,3.0
283,2799,3.0
284,3185,3.0
285,3666,3.0
286,3979,3.0
287,3983,3.0
288,3987,3.0
289,3984,3.0
290,3985,3.0
291,3984,3.0
292,3995,3.0
293,3986,3.0
294,3575,3.0
295,3229,3.0
296,2946,3.0
297,2707,3.0
298,2467,3.0
299,2249,3.0
300,2027,3.0
301,1806,3.0
302,1600,3.0
303,1415,3.0
304,1227,3.0
305,1085,3.0
306,970,3.0
307,901,3.0
308,867,3.0
309,879,3.0
310,912,3.0
311,977,3.0
312,1060,3.0
313,1138,3.0
314,1234,3.0
315,1325,3.0
316,1402,3.0
317,1453,3.0
318,1509,3.0
319,1531,3.0
320,1552,3.0
321,1549,3.0
322,1520,3.0
323,1491,3.0
324,1463,3.0
325,1435,3.0
326,1401,3.0
327,1372,3.0
328,1339,3.0
329,1305,3.0
330,1279,3.0
331,1251,3.0
332,1232,3.0
333,1217,3.0
334,1200,3.0
335,1193,3.0
336,1187,3.0
337,1183,3.0
338,1169,3.0
339,1186,3.0
340,1230,3.0
341,1309,3.0
342,1446,3.0
343,1648,3.0
344,1896,3.0
345,2190,3.0
346,2483,3.0
347,2809,3.0
348,3149,3.0
349,3502,3.0
350,3833,3.0
351,3987,3.0
352,3984,3.0
353,3987,4.0
354,3848,4.0
355,3581,4.0
356,3312,4.0
357,3060,4.0
358,2847,4.0
359,2637,4.0
360,2442,4.0
361,2262,4.0
362,2094,4.0
363,1919,4.0
364,1765,4.0
365,1600,4.0
366,1435,4.0
367,1294,4.0
368,1168,4.0
369,1058,4.0
370,989,4.0
371,943,4.0
372,925,4.0
373,953,4.0
374,1008,4.0
375,1079,4.0
376,1154,4.0
377,1229,4.0
378,1294,4.0
379,1358,4.0
380,1418,4.0
381,1459,4.0
382,1488,4.0
383,1513,4.0
384,1511,4.0
385,1494,4.0
386,1485,4.0
387,1459,4.0
388,1430,4.0
389,1414,4.0
390,1375,4.0
391,1343,4.0
392,1328,4.0
393,1296,4.0
394,1277,4.0
395,1261,4.0
396,1247,4.0
397,1231,4.0
398,1226,4.0
399,1223,4.0
400,1222,4.0
401,1216,4.0
402,1205,4.0
403,1205,4.0
404,1218,4.0
405,1228,4.0
406,1282,4.0
407,1374,4.0
408,1533,4.0
409,1747,4.0
410,2011,4.0
411,2292,4.0
412,2595,4.0
413,2894,4.0
414,3205,4.0
415,3504,4.0
416,3771,4.0
417,3918,4.0
418,3931,4.0
419,3806,4.0
420,3605,4.0
421,3363,4.0
422,3135,4.0
423,2928,4.0
424,2726,4.0
425,2530,4.0
426,2351,4.0
427,2179,4.0
428,2018,4.0
429,1859,4.0
430,1710,4.0
431,1574,4.0
432,1431,4.0
433,1325,4.0
434,1233,4.0
435,1166,4.0
436,1123,4.0
437,1109,4.0
438,1139,4.0
439,1171,4.0
440,1239,4.0
441,1310,4.0
442,1388,4.0
443,1453,4.0
444,1517,4.0
445,1580,4.0
446,1617,4.0
447,1635,4.0
448,1655,4.0
449,1629,4.0
450,1602,4.0
451,1567,4.0
452,1522,4.0
453,1493,5.0
454,1456,5.0
455,1426,5.0
456,1387,5.0
457,1360,5.0
458,1328,5.0
459,1305,5.0
460,1295,5.0
461,1275,5.0
462,1263,5.0
463,1255,5.0
464,1250,5.0
465,1257,5.0
466,1263,5.0
467,1273,5.0
468,1296,5.0
469,1327,5.0
470,1374,5.0
471,1467,5.0
472,1600,5.0
473,1791,5.0
474,2021,5.0
475,2298,5.0
476,2593,5.0
477,2881,5.0
478,3181,5.0
479,3481,5.0
480,3750,5.0
481,3922,5.0
482,3947,5.0
483,3828,5.0
484,3665,5.0
485,3429,5.0
486,3202,5.0
487,2983,5.0
488,2789,5.0
489,2606,5.0
490,2427,5.0
491,2269,5.0
492,2110,5.0
493,1959,5.0
494,1824,5.0
495,1681,5.0
496,1560,5.0
497,1437,5.0
498,1331,5.0
499,1257,5.0
500,1200,5.0
501,1172,5.0
502,1170,5.0
503,1183,5.0
504,1223,5.0
505,1271,5.0
506,1334,5.0
507,1398,5.0
508,1459,5.0
509,1519,5.0
510,1575,5.0
511,1614,5.0
512,1635,5.0
513,1651,5.0
514,1643,5.0
515,1624,5.0
516,1615,5.0
517,1594,5.0
518,1577,5.0
519,1555,5.0
520,1527,5.0
521,1490,5.0
522,1462,5.0
523,1446,5.0
524,1423,5.0
525,1413,5.0
526,1402,5.0
527,1387,5.0
528,1379,5.0
529,1363,5.0
530,1363,5.0
531,1371,5.0
532,1360,5.0
533,1370,5.0
534,1363,5.0
535,1383,5.0
536,1437,5.0
537,1521,5.0
538,1669,5.0
539,1866,5.0
540,2110,5.0
541,2373,5.0
542,2672,5.0
543,2949,5.0
544,3232,5.0
545,3504,5.0
546,3728,5.0
547,3808,5.0
548,3783,5.0
549,3652,5.0
550,3454,5.0
551,3242,5.0
552,3031,5.0
553,2833,6.0
554,2653,6.0
555,2470,6.0
556,2302,6.0
557,2130,6.0
558,1975,6.0
559,1830,6.0
560,1689,6.0
561,1554,6.0
562,1426,6.0
563,1313,6.0
564,1227,6.0
565,1158,6.0
566,1120,6.0
567,1104,6.0
568,1103,6.0
569,1126,6.0
570,1179,6.0
571,1239,6.0
572,1303,6.0
573,1374,6.0
574,1441,6.0
575,1488,6.0
576,1524,6.0
577,1555,6.0
578,1584,6.0
579,1584,6.0
580,1579,6.0
581,1567,6.0
582,1535,6.0
583,1509,6.0
584,1486,6.0
585,1456,6.0
586,1421,6.0
587,1395,6.0
588,1375,6.0
589,1351,6.0
590,1335,6.0
591,1313,6.0
592,1307,6.0
593,1296,6.0
594,1289,6.0
595,1286,6.0
596,1281,6.0
597,1291,6.0
598,1293,6.0
599,1280,6.0
600,1294,6.0
601,1313,6.0
602,1348,6.0
603,1415,6.0
604,1531,6.0
605,1711,6.0
606,1929,6.0
607,2192,6.0
608,2474,6.0
609,2765,6.0
610,3043,6.0
611,3316,6.0
612,3557,6.0
613,3729,6.0
614,3792,6.0
615,3728,6.0
616,3572,6.0
617,3375,6.0
618,3163,6.0
619,2962,6.0
620,2768,6.0
621,2592,6.0
622,2407,6.0
623,2259,6.0
624,2113,6.0
625,1975,6.0
626,1846,6.0
627,1717,6.0
628,1595,6.0
629,1477,6.0
630,1374,6.0
631,1282,6.0
632,1227,6.0
633,1191,6.0
634,1197,6.0
635,1221,6.0
636,1277,6.0
637,1326,6.0
638,1393,6.0
639,1456,6.0
640,1516,6.0
641,1582,6.0
642,1617,6.0
643,1647,6.0
644,1664,6.0
645,1654,6.0
646,1646,6.0
647,1631,6.0
648,1605,6.0
649,1584,6.0
650,1551,6.0
651,1515,6.0
652,1479,6.0
653,1446,7.0
654,1423,7.0
655,1392,7.0
656,1375,7.0
657,1363,7.0
658,1351,7.0
659,1331,7.0
660,1328,7.0
661,1313,7.0
662,1314,7.0
663,1318,7.0
664,1316,7.0
665,1339,7.0
666,1389,7.0
667,1475,7.0
668,1625,7.0
669,1840,7.0
670,2102,7.0
671,2395,7.0
672,2704,7.0
673,3017,7.0
674,3369,7.0
675,3725,7.0
676,3999,7.0
677,3991,7.0
678,3994,7.0
679,3979,7.0
680,3927,7.0
681,3634,7.0
682,3367,7.0
683,3136,7.0
684,2917,7.0
685,2727,7.0
686,2543,7.0
687,2384,7.0
688,2224,7.0
689,2070,7.0
690,1929,7.0
691,1776,7.0
692,1650,7.0
693,1529,7.0
694,1426,7.0
695,1344,7.0
696,1301,7.0
697,1284,7.0
698,1283,7.0
699,1317,7.0
700,1356,7.0
701,1412,7.0
702,1462,7.0
703,1518,7.0
704,1566,7.0
705,1598,7.0
706,1633,7.0
707,1648,7.0
708,1655,7.0
709,1652,7.0
710,1643,7.0
711,1619,7.0
712,1590,7.0
713,1567,7.0
714,1529,7.0
715,1494,7.0
716,1475,7.0
717,1441,7.0
718,1423,7.0
719,1392,7.0
720,1374,7.0
721,1355,7.0
722,1339,7.0
723,1323,7.0
724,1307,7.0
725,1307,7.0
726,1311,7.0
727,1319,7.0
728,1347,7.0
729,1424,7.0
730,1551,7.0
731,1731,7.0
732,1974,7.0
733,2272,7.0
734,2607,7.0
735,2950,7.0
736,3375,7.0
737,3879,7.0
738,3983,7.0
739,3984,7.0
740,3979,7.0
741,3981,7.0
742,4002,7.0
743,3985,7.0
744,3981,7.0
745,3997,7.0
746,3937,7.0
747,3553,7.0
748,3245,7.0
749,2982,7.0
750,2768,7.0
751,2559,7.0
752,2357,7.0
753,2162,8.0
754,1955,8.0
755,1761,8.0
756,1584,8.0
757,1440,8.0
758,1324,8.0
759,1232,8.0
760,1186,8.0
761,1165,8.0
762,1173,8.0
763,1211,8.0
764,1278,8.0
765,1335,8.0
766,1399,8.0
767,1452,8.0
768,1514,8.0
769,1561,8.0
770,1584,8.0
