,2047, 0
0,2021,0.0
1,2000,0.0
2,1984,0.0
3,1977,0.0
4,1968,0.0
5,1974,0.0
6,1987,0.0
7,2010,0.0
8,2032,0.0
9,2064,0.0
10,2087,0.0
11,2113,0.0
12,2128,0.0
13,2137,0.0
14,2133,0.0
15,2133,0.0
16,2128,0.0
17,2117,0.0
18,2111,0.0
19,2096,0.0
20,2084,0.0
21,2079,0.0
22,2064,0.0
23,2061,0.0
24,2046,0.0
25,2036,0.0
26,2029,0.0
27,2017,0.0
28,2007,0.0
29,2001,0.0
30,1994,0.0
31,1979,0.0
32,1971,0.0
33,1967,0.0
34,1955,0.0
35,1947,0.0
36,1936,0.0
37,1931,0.0
38,1918,0.0
39,1909,0.0
40,1904,0.0
41,1895,0.0
42,1889,0.0
43,1888,0.0
44,1890,0.0
45,1891,0.0
46,1888,0.0
47,1885,0.0
48,1875,0.0
49,1873,0.0
50,1870,0.0
51,1872,0.0
52,1868,0.0
53,1863,0.0
54,1860,0.0
55,1861,0.0
56,1858,0.0
57,1854,0.0
58,1845,0.0
59,1843,0.0
60,1840,0.0
61,1840,0.0
62,1831,0.0
63,1829,0.0
64,1819,0.0
65,1818,0.0
66,1815,0.0
67,1817,0.0
68,1816,0.0
69,1814,0.0
70,1811,0.0
71,1811,0.0
72,1807,0.0
73,1805,0.0
74,1808,0.0
75,1808,0.0
76,1805,0.0
77,1798,0.0
78,1808,0.0
79,1823,0.0
80,1861,0.0
81,1921,0.0
82,2000,0.0
83,2095,0.0
84,2186,0.0
85,2272,0.0
86,2354,0.0
87,2427,0.0
88,2451,0.0
89,2491,0.0
90,2483,0.0
91,2467,0.0
92,2427,0.0
93,2382,0.0
94,2329,0.0
95,2274,0.0
96,2222,0.0
97,2175,1.0
98,2124,1.0
99,2096,1.0
100,2076,1.0
101,2064,1.0
102,2054,1.0
103,2045,1.0
104,2039,1.0
105,2034,1.0
106,2033,1.0
107,2032,1.0
108,2037,1.0
109,2054,1.0
110,2041,1.0
111,2063,1.0
112,2064,1.0
113,2072,1.0
114,2064,1.0
115,2064,1.0
116,2063,1.0
117,2064,1.0
118,2058,1.0
119,2046,1.0
120,2032,1.0
121,2023,1.0
122,2009,1.0
123,1995,1.0
124,1979,1.0
125,1967,1.0
126,1943,1.0
127,1927,1.0
128,1918,1.0
129,1906,1.0
130,1889,1.0
131,1885,1.0
132,1879,1.0
133,1885,1.0
134,1890,1.0
135,1893,1.0
136,1894,1.0
137,1898,1.0
138,1891,1.0
139,1854,1.0
140,1890,1.0
141,1904,1.0
142,1893,1.0
143,1887,1.0
144,1877,1.0
145,1877,1.0
146,1881,1.0
147,1865,1.0
148,1856,1.0
149,1856,1.0
150,1856,1.0
151,1845,1.0
152,1841,1.0
153,1838,1.0
154,1838,1.0
155,1837,1.0
156,1825,1.0
157,1825,1.0
158,1811,1.0
159,1810,1.0
160,1808,1.0
161,1802,1.0
162,1793,1.0
163,1799,1.0
164,1808,1.0
165,1838,1.0
166,1890,1.0
167,1963,1.0
168,2055,1.0
169,2161,1.0
170,2257,1.0
171,2352,1.0
172,2431,1.0
173,2493,1.0
174,2522,1.0
175,2548,1.0
176,2529,1.0
177,2509,1.0
178,2467,1.0
179,2420,1.0
180,2363,1.0
181,2308,1.0
182,2254,1.0
183,2213,1.0
184,2177,1.0
185,2159,1.0
186,2135,1.0
187,2126,1.0
188,2125,1.0
189,2107,1.0
190,2099,1.0
191,2099,1.0
192,2091,1.0
193,2083,1.0
194,2075,1.0
195,2069,1.0
196,2063,1.0
197,2064,2.0
198,2069,2.0
199,2070,2.0
200,2069,2.0
201,2071,2.0
202,2069,2.0
203,2064,2.0
204,2059,2.0
205,2057,2.0
206,2045,2.0
207,2027,2.0
208,2022,2.0
209,2010,2.0
210,1997,2.0
211,1978,2.0
212,1931,2.0
213,1950,2.0
214,1936,2.0
215,1931,2.0
216,1925,2.0
217,1926,2.0
218,1914,2.0
219,1918,2.0
220,1905,2.0
221,1904,2.0
222,1898,2.0
223,1901,2.0
224,1893,2.0
225,1893,2.0
226,1891,2.0
227,1886,2.0
228,1877,2.0
229,1875,2.0
230,1874,2.0
231,1883,2.0
232,1867,2.0
233,1868,2.0
234,1867,2.0
235,1866,2.0
236,1861,2.0
237,1862,2.0
238,1855,2.0
239,1861,2.0
240,1863,2.0
241,1855,2.0
242,1850,2.0
243,1843,2.0
244,1827,2.0
245,1814,2.0
246,1795,2.0
247,1840,2.0
248,1807,2.0
249,1803,2.0
250,1776,2.0
251,1802,2.0
252,1808,2.0
253,1827,2.0
254,1866,2.0
255,1922,2.0
256,1995,2.0
257,2095,2.0
258,2189,2.0
259,2289,2.0
260,2379,2.0
261,2453,2.0
262,2505,2.0
263,2534,2.0
264,2541,2.0
265,2528,2.0
266,2496,2.0
267,2455,2.0
268,2411,2.0
269,2359,2.0
270,2311,2.0
271,2270,2.0
272,2237,2.0
273,2234,2.0
274,2203,2.0
275,2192,2.0
276,2173,2.0
277,2178,2.0
278,2189,2.0
279,2177,2.0
280,2165,2.0
281,2159,2.0
282,2143,2.0
283,2133,2.0
284,2119,2.0
285,2115,2.0
286,2103,2.0
287,2099,2.0
288,2097,2.0
289,2096,2.0
290,2094,2.0
291,2095,2.0
292,2085,2.0
293,2083,2.0
294,2078,2.0
295,2070,2.0
296,2062,2.0
297,2042,3.0
298,2029,3.0
299,2016,3.0
300,1997,3.0
301,1985,3.0
302,1963,3.0
303,1954,3.0
304,1946,3.0
305,1936,3.0
306,1923,3.0
307,1919,3.0
308,1911,3.0
309,1911,3.0
310,1908,3.0
311,1909,3.0
312,1904,3.0
313,1903,3.0
314,1902,3.0
315,1905,3.0
316,1899,3.0
317,1893,3.0
318,1890,3.0
319,1886,3.0
320,1883,3.0
321,1878,3.0
322,1871,3.0
323,1871,3.0
324,1861,3.0
325,1866,3.0
326,1855,3.0
327,1852,3.0
328,1850,3.0
329,1843,3.0
330,1837,3.0
331,1833,3.0
332,1828,3.0
333,1827,3.0
334,1820,3.0
335,1812,3.0
336,1808,3.0
337,1806,3.0
338,1825,3.0
339,1799,3.0
340,1791,3.0
341,1799,3.0
342,1796,3.0
343,1798,3.0
344,1809,3.0
345,1840,3.0
346,1893,3.0
347,1959,3.0
348,2047,3.0
349,2140,3.0
350,2231,3.0
351,2323,3.0
352,2391,3.0
353,2448,3.0
354,2479,3.0
355,2491,3.0
