,1923, 0
0,1840,0.0
1,1758,0.0
2,1712,0.0
3,1635,0.0
4,1593,0.0
5,1563,0.0
6,1545,0.0
7,1534,0.0
8,1527,0.0
9,1546,0.0
10,1552,0.0
11,1555,0.0
12,1570,0.0
13,1582,0.0
14,1596,0.0
15,1606,0.0
16,1616,0.0
17,1626,0.0
18,1642,0.0
19,1651,0.0
20,1647,0.0
21,1632,0.0
22,1641,0.0
23,1635,0.0
24,1632,0.0
25,1633,0.0
26,1631,0.0
27,1629,0.0
28,1626,0.0
29,1611,0.0
30,1610,0.0
31,1599,0.0
32,1596,0.0
33,1584,0.0
34,1583,0.0
35,1584,0.0
36,1584,0.0
37,1583,0.0
38,1583,0.0
39,1584,0.0
40,1605,0.0
41,1633,0.0
42,1680,0.0
43,1746,0.0
44,1840,0.0
45,1943,0.0
46,2064,0.0
47,2176,0.0
48,2284,0.0
49,2363,0.0
50,2430,0.0
51,2480,0.0
52,2512,0.0
53,2517,0.0
54,2508,0.0
55,2467,0.0
56,2431,0.0
57,2373,0.0
58,2322,0.0
59,2259,0.0
60,2202,0.0
61,2149,0.0
62,2097,0.0
63,2047,0.0
64,2000,0.0
65,1961,0.0
66,1936,0.0
67,1905,0.0
68,1897,0.0
69,1876,0.0
70,1869,0.0
71,1867,0.0
72,1863,0.0
73,1866,0.0
74,1862,0.0
75,1839,0.0
76,1856,0.0
77,1856,0.0
78,1863,0.0
79,1869,0.0
80,1875,0.0
81,1872,0.0
82,1873,0.0
83,1873,0.0
84,1873,0.0
85,1872,0.0
86,1862,0.0
87,1850,0.0
88,1856,0.0
89,1836,0.0
90,1824,0.0
91,1807,0.0
92,1792,0.0
93,1791,0.0
94,1751,0.0
95,1738,0.0
96,1723,0.0
97,1712,1.0
98,1693,1.0
99,1695,1.0
100,1680,1.0
101,1668,1.0
102,1659,1.0
103,1651,1.0
104,1648,1.0
105,1647,1.0
106,1650,1.0
107,1648,1.0
108,1650,1.0
109,1643,1.0
110,1646,1.0
111,1646,1.0
112,1641,1.0
113,1648,1.0
114,1648,1.0
115,1661,1.0
116,1665,1.0
117,1673,1.0
118,1673,1.0
119,1675,1.0
120,1670,1.0
121,1669,1.0
122,1665,1.0
123,1661,1.0
124,1653,1.0
125,1653,1.0
126,1660,1.0
127,1674,1.0
128,1686,1.0
129,1723,1.0
130,1773,1.0
131,1835,1.0
132,1911,1.0
133,2000,1.0
134,2098,1.0
135,2191,1.0
136,2271,1.0
137,2335,1.0
138,2384,1.0
139,2416,1.0
140,2433,1.0
141,2427,1.0
142,2412,1.0
143,2373,1.0
144,2326,1.0
145,2277,1.0
146,2239,1.0
147,2206,1.0
148,2157,1.0
149,2114,1.0
150,2078,1.0
151,2031,1.0
152,1991,1.0
153,1959,1.0
154,1933,1.0
155,1910,1.0
156,1888,1.0
157,1867,1.0
158,1823,1.0
159,1837,1.0
160,1822,1.0
161,1815,1.0
162,1811,1.0
163,1815,1.0
164,1819,1.0
165,1820,1.0
166,1827,1.0
167,1826,1.0
168,1836,1.0
169,1837,1.0
170,1840,1.0
171,1834,1.0
172,1840,1.0
173,1837,1.0
174,1837,1.0
175,1822,1.0
176,1809,1.0
177,1789,1.0
178,1771,1.0
179,1747,1.0
180,1733,1.0
181,1722,1.0
182,1711,1.0
183,1690,1.0
184,1676,1.0
185,1663,1.0
186,1655,1.0
187,1655,1.0
188,1655,1.0
189,1648,1.0
190,1648,1.0
191,1643,1.0
192,1645,1.0
193,1646,1.0
194,1649,1.0
195,1652,1.0
196,1664,1.0
197,1671,2.0
198,1690,2.0
199,1725,2.0
200,1770,2.0
201,1828,2.0
202,1904,2.0
203,1995,2.0
204,2093,2.0
205,2183,2.0
206,2270,2.0
207,2349,2.0
208,2416,2.0
209,2462,2.0
210,2491,2.0
211,2503,2.0
212,2523,2.0
213,2483,2.0
214,2455,2.0
215,2419,2.0
216,2375,2.0
217,2327,2.0
218,2287,2.0
219,2241,2.0
220,2203,2.0
221,2160,2.0
222,2122,2.0
223,2095,2.0
224,2067,2.0
225,2043,2.0
226,2016,2.0
227,1990,2.0
228,1965,2.0
229,1952,2.0
230,1937,2.0
231,1924,2.0
232,1914,2.0
233,1905,2.0
234,1904,2.0
235,1905,2.0
236,1895,2.0
237,1890,2.0
238,1895,2.0
239,1883,2.0
240,1878,2.0
241,1878,2.0
242,1869,2.0
243,1857,2.0
244,1849,2.0
245,1835,2.0
246,1829,2.0
247,1818,2.0
248,1808,2.0
249,1792,2.0
250,1773,2.0
251,1755,2.0
252,1741,2.0
253,1738,2.0
254,1733,2.0
255,1726,2.0
256,1729,2.0
257,1730,2.0
258,1715,2.0
259,1721,2.0
260,1724,2.0
261,1709,2.0
262,1714,2.0
263,1714,2.0
264,1692,2.0
265,1710,2.0
266,1712,2.0
267,1713,2.0
268,1719,2.0
269,1718,2.0
270,1719,2.0
271,1724,2.0
272,1723,2.0
273,1716,2.0
274,1714,2.0
275,1727,2.0
276,1680,2.0
277,1687,2.0
278,1677,2.0
279,1663,2.0
280,1650,2.0
281,1645,2.0
282,1637,2.0
283,1619,2.0
284,1625,2.0
285,1616,2.0
286,1610,2.0
287,1614,2.0
288,1601,2.0
289,1598,2.0
290,1597,2.0
291,1586,2.0
292,1587,2.0
293,1584,2.0
294,1581,2.0
295,1593,2.0
296,1578,2.0
297,1569,3.0
298,1564,3.0
299,1563,3.0
300,1574,3.0
301,1591,3.0
302,1591,3.0
303,1571,3.0
304,1605,3.0
305,1598,3.0
306,1610,3.0
307,1618,3.0
308,1635,3.0
309,1651,3.0
310,1679,3.0
311,1718,3.0
312,1773,3.0
313,1852,3.0
314,1948,3.0
315,2069,3.0
316,2197,3.0
317,2320,3.0
318,2435,3.0
319,2530,3.0
320,2608,3.0
321,2657,3.0
322,2687,3.0
323,2687,3.0
324,2672,3.0
325,2640,3.0
326,2601,3.0
327,2542,3.0
328,2492,3.0
329,2449,3.0
330,2410,3.0
331,2378,3.0
332,2367,3.0
333,2315,3.0
334,2288,3.0
335,2256,3.0
336,2227,3.0
337,2190,3.0
338,2159,3.0
339,2113,3.0
340,2070,3.0
341,2027,3.0
342,1991,3.0
343,1974,3.0
344,1936,3.0
345,1955,3.0
346,1946,3.0
347,1926,3.0
348,1955,3.0
349,1955,3.0
350,1962,3.0
351,1963,3.0
352,1967,3.0
353,1968,3.0
354,1968,3.0
355,1962,3.0
356,1953,3.0
357,1947,3.0
358,1936,3.0
359,1916,3.0
360,1904,3.0
361,1885,3.0
362,1879,3.0
363,1869,3.0
364,1849,3.0
365,1831,3.0
366,1819,3.0
367,1810,3.0
