,2021, 0
0,2000,0.0
1,1984,0.0
2,1977,0.0
3,1968,0.0
4,1974,0.0
5,1987,0.0
6,2010,0.0
7,2032,0.0
8,2064,0.0
9,2087,0.0
10,2113,0.0
11,2128,0.0
12,2137,0.0
13,2133,0.0
14,2133,0.0
15,2128,0.0
16,2117,0.0
17,2111,0.0
18,2096,0.0
19,2084,0.0
20,2079,0.0
21,2064,0.0
22,2061,0.0
23,2046,0.0
24,2036,0.0
25,2029,0.0
26,2017,0.0
27,2007,0.0
28,2001,0.0
29,1994,0.0
30,1979,0.0
31,1971,0.0
32,1967,0.0
33,1955,0.0
34,1947,0.0
35,1936,0.0
36,1931,0.0
37,1918,0.0
38,1909,0.0
39,1904,0.0
40,1895,0.0
41,1889,0.0
42,1888,0.0
43,1890,0.0
44,1891,0.0
45,1888,0.0
46,1885,0.0
47,1875,0.0
48,1873,0.0
49,1870,0.0
50,1872,0.0
51,1868,0.0
52,1863,0.0
53,1860,0.0
54,1861,0.0
55,1858,0.0
56,1854,0.0
57,1845,0.0
58,1843,0.0
59,1840,0.0
60,1840,0.0
61,1831,0.0
62,1829,0.0
63,1819,0.0
64,1818,0.0
65,1815,0.0
66,1817,0.0
67,1816,0.0
68,1814,0.0
69,1811,0.0
70,1811,0.0
71,1807,0.0
72,1805,0.0
73,1808,0.0
74,1808,0.0
75,1805,0.0
76,1798,0.0
77,1808,0.0
78,1823,0.0
79,1861,0.0
80,1921,0.0
81,2000,0.0
82,2095,0.0
83,2186,0.0
84,2272,0.0
85,2354,0.0
86,2427,0.0
87,2451,0.0
88,2491,0.0
89,2483,0.0
90,2467,0.0
91,2427,0.0
92,2382,0.0
93,2329,0.0
94,2274,0.0
95,2222,0.0
96,2175,1.0
97,2124,1.0
98,2096,1.0
99,2076,1.0
100,2064,1.0
101,2054,1.0
102,2045,1.0
103,2039,1.0
104,2034,1.0
105,2033,1.0
106,2032,1.0
107,2037,1.0
108,2054,1.0
109,2041,1.0
110,2063,1.0
111,2064,1.0
112,2072,1.0
113,2064,1.0
114,2064,1.0
115,2063,1.0
116,2064,1.0
117,2058,1.0
118,2046,1.0
119,2032,1.0
120,2023,1.0
121,2009,1.0
122,1995,1.0
123,1979,1.0
124,1967,1.0
125,1943,1.0
126,1927,1.0
127,1918,1.0
128,1906,1.0
129,1889,1.0
130,1885,1.0
131,1879,1.0
132,1885,1.0
133,1890,1.0
134,1893,1.0
135,1894,1.0
136,1898,1.0
137,1891,1.0
138,1854,1.0
139,1890,1.0
140,1904,1.0
141,1893,1.0
142,1887,1.0
143,1877,1.0
144,1877,1.0
145,1881,1.0
146,1865,1.0
147,1856,1.0
148,1856,1.0
149,1856,1.0
150,1845,1.0
151,1841,1.0
152,1838,1.0
153,1838,1.0
154,1837,1.0
155,1825,1.0
156,1825,1.0
157,1811,1.0
158,1810,1.0
159,1808,1.0
160,1802,1.0
161,1793,1.0
162,1799,1.0
163,1808,1.0
164,1838,1.0
165,1890,1.0
166,1963,1.0
167,2055,1.0
168,2161,1.0
169,2257,1.0
170,2352,1.0
171,2431,1.0
172,2493,1.0
173,2522,1.0
174,2548,1.0
175,2529,1.0
176,2509,1.0
177,2467,1.0
178,2420,1.0
179,2363,1.0
180,2308,1.0
181,2254,1.0
182,2213,1.0
183,2177,1.0
184,2159,1.0
185,2135,1.0
186,2126,1.0
187,2125,1.0
188,2107,1.0
189,2099,1.0
190,2099,1.0
191,2091,1.0
192,2083,1.0
193,2075,1.0
194,2069,1.0
195,2063,1.0
196,2064,2.0
197,2069,2.0
198,2070,2.0
199,2069,2.0
200,2071,2.0
201,2069,2.0
202,2064,2.0
203,2059,2.0
204,2057,2.0
205,2045,2.0
206,2027,2.0
207,2022,2.0
208,2010,2.0
209,1997,2.0
210,1978,2.0
211,1931,2.0
212,1950,2.0
213,1936,2.0
214,1931,2.0
215,1925,2.0
216,1926,2.0
217,1914,2.0
218,1918,2.0
219,1905,2.0
220,1904,2.0
221,1898,2.0
222,1901,2.0
223,1893,2.0
224,1893,2.0
225,1891,2.0
226,1886,2.0
227,1877,2.0
228,1875,2.0
229,1874,2.0
230,1883,2.0
231,1867,2.0
232,1868,2.0
233,1867,2.0
234,1866,2.0
235,1861,2.0
236,1862,2.0
237,1855,2.0
238,1861,2.0
239,1863,2.0
240,1855,2.0
241,1850,2.0
242,1843,2.0
243,1827,2.0
