,3986,0
0,3983,0
1,3984,0
2,3987,0
3,3984,0
4,3984,0
5,3978,0
6,3984,0
7,3984,0
8,3984,0
9,3979,0
10,3985,0
11,3984,0
12,3977,0
13,3983,0
14,3984,0
15,3979,0
16,3983,0
17,3984,0
18,3984,0
19,3997,0
20,3983,0
21,3984,0
22,3983,0
23,3983,0
24,3984,0
25,3981,0
26,3973,0
27,3986,0
28,3984,0
29,3984,0
30,3981,0
31,3986,0
32,3984,1
33,3984,1
34,3981,1
35,3984,1
36,3984,1
37,3986,1
38,3983,1
39,3988,1
40,3983,1
41,3984,1
42,3981,1
43,3986,1
44,3979,1
45,3984,1
46,3984,1
47,3981,1
48,3983,1
49,3981,1
50,3982,1
51,3984,1
52,3984,1
53,3984,1
54,3985,1
55,3984,1
56,3982,1
57,3984,1
58,3984,1
59,3985,1
60,3984,1
61,3983,1
62,3986,1
63,3981,1
64,3981,1
65,3979,1
66,3984,1
67,3982,1
68,3981,1
69,3991,1
70,3982,1
71,3983,1
72,3982,1
73,3977,1
74,3993,1
75,3984,1
76,3977,1
77,3988,1
78,3981,1
79,3997,1
80,3730,1
81,2992,1
82,2515,1
83,2142,1
84,1850,1
85,1693,1
86,1678,1
87,1781,1
88,1968,1
89,2210,1
90,2466,1
91,2725,1
92,2939,1
93,3126,1
94,3262,1
95,3319,1
96,3308,1
97,3216,1
98,3095,1
99,2937,1
100,2773,1
101,2601,1
102,2419,1
103,2248,1
104,2074,1
105,1910,1
106,1763,1
107,1635,1
108,1520,1
109,1430,1
110,1360,1
111,1326,1
112,1315,1
113,1334,1
114,1376,1
115,1437,1
116,1515,1
117,1604,1
118,1690,1
119,1770,1
120,1840,1
121,1892,1
122,1925,1
123,1940,1
124,1937,1
125,1926,1
126,1891,1
127,1851,1
128,1801,1
129,1744,1
130,1684,1
131,1623,1
132,1562,2
133,1501,2
134,1450,2
135,1409,2
136,1371,2
137,1341,2
138,1319,2
139,1307,2
140,1301,2
141,1299,2
142,1303,2
143,1326,2
144,1355,2
145,1401,2
146,1488,2
147,1653,2
148,1890,2
149,2190,2
150,2512,2
151,2851,2
152,3187,2
153,3540,2
154,3859,2
155,3985,2
156,3997,2
157,3977,2
158,3725,2
159,3441,2
160,3170,2
161,2919,2
162,2694,2
163,2463,2
164,2249,2
165,2041,2
166,1852,2
167,1685,2
168,1535,2
169,1414,2
170,1311,2
171,1234,2
172,1185,2
173,1167,2
174,1168,2
175,1200,2
176,1254,2
177,1326,2
178,1409,2
179,1503,2
180,1602,2
181,1697,2
182,1778,2
183,1838,2
184,1875,2
185,1894,2
186,1902,2
187,1891,2
188,1869,2
189,1819,2
190,1772,2
191,1712,2
192,1654,2
193,1594,2
194,1532,2
195,1473,2
196,1424,2
197,1373,2
198,1339,2
199,1312,2
200,1293,2
201,1283,2
202,1275,2
203,1278,2
204,1293,2
205,1309,2
206,1331,2
207,1356,2
208,1376,2
209,1414,2
210,1454,2
211,1520,2
212,1637,2
213,1834,2
214,2097,2
215,2402,2
216,2725,2
217,3042,2
218,3376,2
219,3695,2
220,3903,2
221,3968,2
222,3870,2
223,3664,2
224,3392,2
225,3136,2
226,2887,2
227,2658,2
228,2427,2
229,2197,2
230,1984,2
231,1786,2
232,1613,3
233,1457,3
234,1328,3
235,1229,3
236,1162,3
237,1119,3
238,1098,3
239,1103,3
240,1129,3
241,1182,3
242,1250,3
243,1329,3
244,1424,3
245,1520,3
246,1616,3
247,1703,3
248,1775,3
249,1831,3
250,1859,3
251,1872,3
252,1865,3
253,1841,3
254,1804,3
255,1750,3
256,1700,3
257,1644,3
258,1586,3
259,1530,3
260,1483,3
261,1440,3
262,1405,3
263,1378,3
264,1359,3
265,1348,3
266,1335,3
267,1331,3
268,1341,3
269,1351,3
270,1360,3
271,1373,3
272,1387,3
273,1404,3
274,1421,3
275,1439,3
276,1456,3
277,1488,3
278,1526,3
279,1593,3
280,1685,3
281,1856,3
282,2096,3
283,2369,3
284,2667,3
285,2956,3
286,3248,3
287,3521,3
288,3723,3
289,3789,3
290,3715,3
291,3538,3
292,3303,3
293,3051,3
294,2807,3
295,2559,3
296,2323,3
297,2097,3
298,1872,3
299,1664,3
300,1477,3
301,1317,3
302,1185,3
303,1090,3
304,1028,3
305,991,3
306,990,3
307,1014,3
308,1077,3
309,1165,3
310,1269,3
311,1392,3
312,1511,3
313,1633,3
314,1730,3
315,1807,3
316,1856,3
317,1888,3
318,1893,3
319,1877,3
320,1845,3
321,1809,3
322,1755,3
323,1698,3
324,1643,3
325,1584,3
326,1533,3
327,1488,3
328,1450,3
329,1421,3
330,1398,3
331,1389,3
332,1377,4
333,1379,4
334,1383,4
335,1388,4
336,1392,4
337,1398,4
338,1411,4
339,1423,4
340,1439,4
341,1456,4
342,1475,4
343,1501,4
344,1532,4
345,1591,4
