,1743, 0
0,1744,0.0
1,1735,0.0
2,1717,0.0
3,1702,0.0
4,1697,0.0
5,1691,0.0
6,1680,0.0
7,1673,0.0
8,1667,0.0
9,1661,0.0
10,1654,0.0
11,1667,0.0
12,1654,0.0
13,1655,0.0
14,1645,0.0
15,1627,0.0
16,1614,0.0
17,1600,0.0
18,1600,0.0
19,1600,0.0
20,1600,0.0
21,1600,0.0
22,1617,0.0
23,1663,0.0
24,1733,0.0
25,1836,0.0
26,1967,0.0
27,2128,0.0
28,2298,0.0
29,2463,0.0
30,2608,0.0
31,2731,0.0
32,2815,0.0
33,2861,0.0
34,2864,0.0
35,2834,0.0
36,2778,0.0
37,2691,0.0
38,2602,0.0
39,2494,0.0
40,2384,0.0
41,2281,0.0
42,2175,0.0
43,2068,0.0
44,1967,0.0
45,1871,0.0
46,1795,0.0
47,1734,0.0
48,1699,0.0
49,1681,0.0
50,1687,0.0
51,1702,0.0
52,1726,0.0
53,1755,0.0
54,1787,0.0
55,1799,0.0
56,1811,0.0
57,1815,0.0
58,1821,0.0
59,1810,0.0
60,1797,0.0
61,1776,0.0
62,1755,0.0
63,1727,0.0
64,1698,0.0
65,1655,0.0
66,1629,0.0
67,1600,0.0
68,1579,0.0
69,1557,0.0
70,1549,0.0
71,1535,0.0
72,1535,0.0
73,1531,0.0
74,1535,0.0
75,1535,0.0
76,1534,0.0
77,1535,0.0
78,1535,0.0
79,1546,0.0
80,1554,0.0
81,1523,0.0
82,1584,0.0
83,1585,0.0
84,1600,0.0
85,1611,0.0
86,1626,0.0
87,1633,0.0
88,1631,0.0
89,1623,0.0
90,1629,0.0
91,1648,0.0
92,1694,0.0
93,1777,0.0
94,1900,0.0
95,2064,0.0
96,2241,1.0
97,2418,1.0
98,2603,1.0
99,2753,1.0
100,2879,1.0
101,2960,1.0
102,2999,1.0
103,2982,1.0
104,2935,1.0
105,2863,1.0
106,2762,1.0
107,2646,1.0
108,2532,1.0
109,2416,1.0
110,2303,1.0
111,2192,1.0
112,2095,1.0
113,1999,1.0
114,1931,1.0
115,1866,1.0
116,1825,1.0
117,1801,1.0
118,1799,1.0
119,1826,1.0
120,1856,1.0
121,1899,1.0
122,1950,1.0
123,1964,1.0
124,1987,1.0
125,1999,1.0
126,2002,1.0
127,1996,1.0
128,1985,1.0
129,1968,1.0
130,1946,1.0
131,1913,1.0
132,1877,1.0
133,1840,1.0
134,1803,1.0
135,1769,1.0
136,1740,1.0
137,1715,1.0
138,1712,1.0
139,1709,1.0
140,1717,1.0
141,1723,1.0
142,1731,1.0
143,1742,1.0
144,1748,1.0
145,1751,1.0
146,1765,1.0
147,1762,1.0
148,1767,1.0
149,1761,1.0
150,1756,1.0
151,1742,1.0
152,1713,1.0
153,1689,1.0
154,1665,1.0
155,1671,1.0
156,1648,1.0
157,1666,1.0
158,1710,1.0
159,1792,1.0
160,1911,1.0
161,2047,1.0
162,2210,1.0
163,2361,1.0
164,2496,1.0
165,2613,1.0
166,2687,1.0
167,2711,1.0
168,2706,1.0
169,2661,1.0
170,2592,1.0
171,2485,1.0
172,2370,1.0
173,2246,1.0
174,2114,1.0
175,1979,1.0
176,1867,1.0
177,1743,1.0
178,1657,1.0
179,1583,1.0
180,1520,1.0
181,1486,1.0
182,1473,1.0
183,1479,1.0
184,1501,1.0
185,1533,1.0
186,1571,1.0
187,1606,1.0
188,1647,1.0
189,1674,1.0
190,1709,1.0
191,1739,1.0
192,1760,1.0
193,1771,1.0
194,1783,1.0
195,1783,1.0
196,1793,2.0
197,1790,2.0
198,1766,2.0
199,1775,2.0
200,1749,2.0
201,1735,2.0
202,1714,2.0
203,1680,2.0
