,2079, 0
0,2029,0.0
1,1986,0.0
2,1952,0.0
3,1929,0.0
4,1907,0.0
5,1883,0.0
6,1855,0.0
7,1858,0.0
8,1857,0.0
9,1852,0.0
10,1852,0.0
11,1856,0.0
12,1859,0.0
13,1869,0.0
14,1872,0.0
15,1879,0.0
16,1880,0.0
17,1888,0.0
18,1890,0.0
19,1891,0.0
20,1914,0.0
21,1891,0.0
22,1889,0.0
23,1891,0.0
24,1890,0.0
25,1883,0.0
26,1886,0.0
27,1875,0.0
28,1879,0.0
29,1875,0.0
30,1903,0.0
31,1883,0.0
32,1885,0.0
33,1881,0.0
34,1886,0.0
35,1883,0.0
36,1888,0.0
37,1888,0.0
38,1887,0.0
39,1887,0.0
40,1885,0.0
41,1879,0.0
42,1881,0.0
43,1875,0.0
44,1898,0.0
45,1907,0.0
46,1923,0.0
47,1937,0.0
48,1954,0.0
49,1984,0.0
50,2012,0.0
51,2047,0.0
52,2086,0.0
53,2113,0.0
54,2132,0.0
55,2158,0.0
56,2166,0.0
57,2166,0.0
58,2163,0.0
59,2160,0.0
60,2145,0.0
61,2127,0.0
62,2112,0.0
63,2091,0.0
64,2065,0.0
65,2039,0.0
66,2019,0.0
67,2001,0.0
68,1987,0.0
69,1978,0.0
70,1968,0.0
71,1965,0.0
72,1958,0.0
73,1954,0.0
74,1950,0.0
75,1950,0.0
76,1947,0.0
77,1941,0.0
78,1945,0.0
79,1942,0.0
80,1945,0.0
81,1949,0.0
82,1958,0.0
83,1957,0.0
84,1946,0.0
85,1926,0.0
86,1926,0.0
87,1943,0.0
88,1939,0.0
89,1943,0.0
90,1936,0.0
91,1927,0.0
92,1921,0.0
93,1915,0.0
94,1914,0.0
95,1921,0.0
96,1925,0.0
97,1925,1.0
98,1926,1.0
99,1925,1.0
100,1923,1.0
101,1933,1.0
102,1936,1.0
103,1936,1.0
104,1933,1.0
105,1931,1.0
106,1925,1.0
107,1920,1.0
108,1917,1.0
109,1916,1.0
110,1917,1.0
111,1914,1.0
112,1907,1.0
113,1902,1.0
114,1903,1.0
115,1904,1.0
116,1923,1.0
117,1949,1.0
118,1975,1.0
119,2009,1.0
120,2055,1.0
121,2087,1.0
122,2118,1.0
123,2143,1.0
124,2170,1.0
125,2218,1.0
126,2193,1.0
127,2193,1.0
128,2188,1.0
129,2175,1.0
130,2143,1.0
131,2150,1.0
132,2128,1.0
133,2107,1.0
134,2083,1.0
135,2061,1.0
136,2033,1.0
137,2017,1.0
138,2003,1.0
139,1991,1.0
140,1984,1.0
141,1971,1.0
142,1970,1.0
143,1975,1.0
144,1982,1.0
145,1991,1.0
146,1997,1.0
147,2001,1.0
148,2013,1.0
149,2029,1.0
150,2032,1.0
151,2035,1.0
152,2039,1.0
153,2043,1.0
154,2045,1.0
155,2042,1.0
156,2039,1.0
157,2032,1.0
158,2023,1.0
159,2013,1.0
160,2009,1.0
161,2007,1.0
162,2000,1.0
163,1996,1.0
164,1994,1.0
165,1986,1.0
166,1982,1.0
167,1973,1.0
168,1966,1.0
169,1954,1.0
170,1951,1.0
171,1947,1.0
172,1937,1.0
173,1936,1.0
174,1936,1.0
175,1936,1.0
176,1926,1.0
177,1920,1.0
178,1906,1.0
179,1904,1.0
180,1905,1.0
181,1904,1.0
182,1906,1.0
183,1918,1.0
184,1936,1.0
185,1959,1.0
186,1994,1.0
187,2035,1.0
188,2093,1.0
189,2126,1.0
190,2160,1.0
191,2178,1.0
192,2206,1.0
193,2207,1.0
194,2208,1.0
195,2215,1.0
196,2199,1.0
197,2191,2.0
198,2163,2.0
199,2144,2.0
200,2111,2.0
201,2105,2.0
202,2064,2.0
203,2043,2.0
204,2039,2.0
205,2033,2.0
206,2041,2.0
207,2023,2.0
208,2023,2.0
209,2032,2.0
210,2039,2.0
211,2055,2.0
212,2067,2.0
213,2066,2.0
214,2079,2.0
215,2081,2.0
216,2082,2.0
217,2068,2.0
218,2068,2.0
219,2043,2.0
220,2023,2.0
221,2002,2.0
222,1987,2.0
223,1961,2.0
224,1931,2.0
225,1907,2.0
226,1886,2.0
227,1859,2.0
228,1829,2.0
229,1807,2.0
230,1781,2.0
231,1765,2.0
232,1754,2.0
233,1744,2.0
234,1739,2.0
235,1739,2.0
236,1743,2.0
237,1744,2.0
238,1755,2.0
239,1761,2.0
240,1776,2.0
241,1787,2.0
242,1793,2.0
243,1775,2.0
244,1837,2.0
245,1829,2.0
246,1870,2.0
247,1883,2.0
248,1879,2.0
249,1898,2.0
250,1909,2.0
251,1930,2.0
252,1951,2.0
253,1979,2.0
254,2007,2.0
255,2046,2.0
256,2096,2.0
257,2131,2.0
258,2162,2.0
259,2189,2.0
260,2213,2.0
261,2224,2.0
262,2218,2.0
263,2203,2.0
264,2191,2.0
265,2161,2.0
266,2138,2.0
267,2112,2.0
268,2083,2.0
269,2047,2.0
270,2022,2.0
271,1991,2.0
272,1980,2.0
273,1956,2.0
274,1938,2.0
275,1927,2.0
276,1919,2.0
277,1915,2.0
278,1906,2.0
279,1911,2.0
280,1919,2.0
281,1936,2.0
282,1945,2.0
283,1961,2.0
284,1971,2.0
285,1983,2.0
286,1993,2.0
287,2000,2.0
288,2006,2.0
289,2003,2.0
290,1999,2.0
291,1997,2.0
292,1990,2.0
293,1973,2.0
294,1966,2.0
295,1947,2.0
296,1936,2.0
297,1929,3.0
298,1907,3.0
299,1887,3.0
300,1886,3.0
301,1872,3.0
302,1869,3.0
303,1861,3.0
304,1855,3.0
305,1840,3.0
306,1840,3.0
307,1831,3.0
308,1821,3.0
309,1810,3.0
310,1808,3.0
311,1795,3.0
312,1792,3.0
313,1791,3.0
314,1811,3.0
315,1792,3.0
316,1805,3.0
317,1819,3.0
318,1845,3.0
319,1877,3.0
320,1921,3.0
321,1969,3.0
322,1994,3.0
323,2064,3.0
324,2096,3.0
325,2129,3.0
326,2160,3.0
327,2176,3.0
328,2179,3.0
329,2174,3.0
330,2160,3.0
331,2143,3.0
332,2118,3.0
333,2095,3.0
334,2066,3.0
335,2031,3.0
336,2000,3.0
337,1969,3.0
338,1936,3.0
339,1911,3.0
340,1885,3.0
341,1866,3.0
342,1841,3.0
343,1855,3.0
344,1856,3.0
345,1861,3.0
346,1872,3.0
347,1877,3.0
348,1899,3.0
349,1919,3.0
350,1934,3.0
351,1949,3.0
352,1965,3.0
353,1977,3.0
354,1981,3.0
355,1984,3.0
356,1979,3.0
357,1973,3.0
358,1969,3.0
359,1963,3.0
360,1955,3.0
361,1946,3.0
362,1941,3.0
363,1925,3.0
364,1904,3.0
365,1888,3.0
366,1872,3.0
367,1849,3.0
368,1837,3.0
369,1818,3.0
370,1808,3.0
371,1792,3.0
372,1797,3.0
373,1782,3.0
374,1786,3.0
375,1779,3.0
376,1774,3.0
377,1767,3.0
378,1763,3.0
379,1766,3.0
380,1767,3.0
381,1776,3.0
382,1787,3.0
383,1823,3.0
384,1824,3.0
385,1863,3.0
386,1915,3.0
387,1968,3.0
388,2029,3.0
389,2085,3.0
390,2133,3.0
391,2170,3.0
392,2191,3.0
393,2200,3.0
394,2206,3.0
395,2203,3.0
396,2189,3.0
397,2169,4.0
398,2144,4.0
399,2123,4.0
400,2103,4.0
401,2098,4.0
402,2081,4.0
403,2064,4.0
404,2052,4.0
405,2041,4.0
406,2034,4.0
407,2032,4.0
408,2027,4.0
409,2029,4.0
410,2030,4.0
411,2032,4.0
412,2033,4.0
413,2045,4.0
414,2059,4.0
415,2059,4.0
416,2058,4.0
417,2093,4.0
418,2065,4.0
419,2062,4.0
420,2045,4.0
421,2032,4.0
422,2017,4.0
423,2000,4.0
424,1983,4.0
425,1965,4.0
426,1942,4.0
427,1929,4.0
428,1912,4.0
429,1903,4.0
430,1887,4.0
431,1879,4.0
432,1873,4.0
433,1875,4.0
434,1877,4.0
435,1873,4.0
436,1883,4.0
437,1883,4.0
438,1891,4.0
439,1901,4.0
