,1840, 0
0,1758,0.0
1,1712,0.0
2,1635,0.0
3,1593,0.0
4,1563,0.0
5,1545,0.0
6,1534,0.0
7,1527,0.0
8,1546,0.0
9,1552,0.0
10,1555,0.0
11,1570,0.0
12,1582,0.0
13,1596,0.0
14,1606,0.0
15,1616,0.0
16,1626,0.0
17,1642,0.0
18,1651,0.0
19,1647,0.0
20,1632,0.0
21,1641,0.0
22,1635,0.0
23,1632,0.0
24,1633,0.0
25,1631,0.0
26,1629,0.0
27,1626,0.0
28,1611,0.0
29,1610,0.0
30,1599,0.0
31,1596,0.0
32,1584,0.0
33,1583,0.0
34,1584,0.0
35,1584,0.0
36,1583,0.0
37,1583,0.0
38,1584,0.0
39,1605,0.0
40,1633,0.0
41,1680,0.0
42,1746,0.0
43,1840,0.0
44,1943,0.0
45,2064,0.0
46,2176,0.0
47,2284,0.0
48,2363,0.0
49,2430,0.0
50,2480,0.0
51,2512,0.0
52,2517,0.0
53,2508,0.0
54,2467,0.0
55,2431,0.0
56,2373,0.0
57,2322,0.0
58,2259,0.0
59,2202,0.0
60,2149,0.0
61,2097,0.0
62,2047,0.0
63,2000,0.0
64,1961,0.0
65,1936,0.0
66,1905,0.0
67,1897,0.0
68,1876,0.0
69,1869,0.0
70,1867,0.0
71,1863,0.0
72,1866,0.0
73,1862,0.0
74,1839,0.0
75,1856,0.0
76,1856,0.0
77,1863,0.0
78,1869,0.0
79,1875,0.0
80,1872,0.0
81,1873,0.0
82,1873,0.0
83,1873,0.0
84,1872,0.0
85,1862,0.0
86,1850,0.0
87,1856,0.0
88,1836,0.0
89,1824,0.0
90,1807,0.0
91,1792,0.0
92,1791,0.0
93,1751,0.0
94,1738,0.0
95,1723,0.0
96,1712,1.0
97,1693,1.0
98,1695,1.0
99,1680,1.0
100,1668,1.0
101,1659,1.0
102,1651,1.0
103,1648,1.0
104,1647,1.0
105,1650,1.0
106,1648,1.0
107,1650,1.0
108,1643,1.0
109,1646,1.0
110,1646,1.0
111,1641,1.0
112,1648,1.0
113,1648,1.0
114,1661,1.0
115,1665,1.0
116,1673,1.0
117,1673,1.0
118,1675,1.0
119,1670,1.0
120,1669,1.0
121,1665,1.0
122,1661,1.0
123,1653,1.0
124,1653,1.0
125,1660,1.0
126,1674,1.0
127,1686,1.0
128,1723,1.0
129,1773,1.0
130,1835,1.0
131,1911,1.0
132,2000,1.0
133,2098,1.0
134,2191,1.0
135,2271,1.0
136,2335,1.0
137,2384,1.0
138,2416,1.0
139,2433,1.0
140,2427,1.0
141,2412,1.0
142,2373,1.0
143,2326,1.0
144,2277,1.0
145,2239,1.0
146,2206,1.0
147,2157,1.0
148,2114,1.0
149,2078,1.0
150,2031,1.0
151,1991,1.0
152,1959,1.0
153,1933,1.0
154,1910,1.0
155,1888,1.0
156,1867,1.0
157,1823,1.0
158,1837,1.0
