,3984,0
0,3972,0
1,3975,0
2,3987,0
3,3981,0
4,3977,0
5,3984,0
6,3984,0
7,3979,0
8,3979,0
9,3984,0
10,3984,0
11,3975,0
12,3979,0
13,3975,0
14,3982,0
15,3984,0
16,3984,0
17,3981,0
18,3978,0
19,3976,0
20,3982,0
21,3984,0
22,3977,0
23,3979,0
24,3973,0
25,3977,0
26,3977,0
27,3980,0
28,3985,0
29,3982,0
30,3984,0
31,3985,0
32,3977,0
33,3984,0
34,3975,0
35,3975,0
36,3978,0
37,3981,0
38,3974,0
39,3982,0
40,3983,0
41,3977,0
42,3971,1
43,3979,1
44,3977,1
45,3977,1
46,3977,1
47,3984,1
48,3978,1
49,3983,1
50,3983,1
51,3975,1
52,3975,1
53,3982,1
54,3979,1
55,3983,1
56,3979,1
57,3978,1
58,3984,1
59,3983,1
60,3982,1
61,3984,1
62,3982,1
63,3983,1
64,3977,1
65,3983,1
66,3959,1
67,3983,1
68,3978,1
69,3983,1
70,3982,1
71,3978,1
72,3977,1
73,3981,1
74,3984,1
75,3983,1
76,3982,1
77,3982,1
78,3973,1
79,3980,1
80,3977,1
81,3984,1
82,3975,1
83,3981,1
84,3975,1
85,3976,1
86,3979,1
87,3979,1
88,3973,1
89,3986,1
90,3977,1
91,3974,1
92,3711,1
93,3041,1
94,2614,1
95,2272,1
96,2005,1
97,1838,1
98,1759,1
99,1776,1
100,1883,1
101,2053,1
102,2259,1
103,2482,1
104,2693,1
105,2875,1
106,3019,1
107,3110,1
108,3131,1
109,3088,1
110,2977,1
111,2839,1
112,2673,1
113,2477,1
114,2277,1
115,2077,1
116,1883,1
117,1710,1
118,1563,1
119,1453,1
120,1386,1
121,1369,1
122,1392,1
123,1450,1
124,1534,1
125,1635,1
126,1749,1
127,1856,1
128,1953,1
129,2029,1
130,2095,1
131,2126,1
132,2132,1
133,2123,1
134,2094,1
135,2039,1
136,1978,1
137,1913,1
138,1841,1
139,1775,1
140,1707,1
141,1647,1
142,1584,2
143,1530,2
144,1495,2
145,1472,2
146,1465,2
147,1466,2
148,1481,2
149,1503,2
150,1522,2
151,1563,2
152,1601,2
153,1664,2
154,1745,2
155,1861,2
156,2010,2
157,2208,2
158,2425,2
159,2671,2
160,2913,2
161,3159,2
162,3405,2
163,3583,2
164,3685,2
165,3669,2
166,3549,2
167,3358,2
168,3136,2
169,2910,2
170,2677,2
171,2433,2
172,2190,2
173,1949,2
174,1735,2
175,1553,2
176,1406,2
177,1301,2
178,1251,2
179,1242,2
180,1280,2
181,1359,2
182,1456,2
183,1579,2
184,1697,2
185,1817,2
186,1926,2
187,2014,2
188,2080,2
189,2115,2
190,2128,2
191,2121,2
192,2092,2
193,2032,2
194,1968,2
195,1903,2
196,1831,2
197,1761,2
198,1697,2
199,1631,2
200,1583,2
201,1531,2
202,1499,2
203,1479,2
204,1465,2
205,1461,2
206,1469,2
207,1484,2
208,1511,2
209,1549,2
210,1585,2
211,1639,2
212,1711,2
213,1797,2
214,1925,2
215,2102,2
216,2309,2
217,2541,2
218,2774,2
219,3013,2
220,3253,2
221,3467,2
222,3617,2
223,3652,2
224,3595,2
225,3424,2
226,3206,2
227,2975,2
228,2742,2
229,2497,2
230,2249,2
231,2013,2
232,1787,2
233,1589,2
234,1423,2
235,1298,2
236,1229,2
237,1205,2
238,1230,2
239,1291,2
240,1382,2
241,1493,2
242,1622,3
243,1753,3
244,1870,3
245,1968,3
246,2039,3
247,2094,3
248,2112,3
249,2103,3
250,2079,3
251,2030,3
252,1973,3
253,1906,3
254,1836,3
255,1755,3
256,1683,3
257,1616,3
258,1562,3
259,1507,3
260,1471,3
261,1455,3
262,1442,3
263,1438,3
264,1443,3
265,1459,3
266,1487,3
267,1515,3
268,1553,3
269,1599,3
270,1643,3
271,1712,3
272,1805,3
273,1918,3
274,2081,3
275,2279,3
276,2498,3
277,2736,3
278,2970,3
279,3207,3
280,3408,3
281,3551,3
282,3610,3
283,3543,3
284,3398,3
285,3201,3
286,2976,3
287,2752,3
288,2513,3
289,2278,3
290,2037,3
291,1817,3
292,1616,3
293,1451,3
294,1328,3
295,1254,3
296,1232,3
297,1258,3
298,1319,3
299,1411,3
300,1520,3
301,1649,3
302,1778,3
303,1892,3
304,1989,3
305,2067,3
306,2114,3
307,2135,3
308,2141,3
309,2119,3
310,2082,3
311,2018,3
312,1953,3
313,1879,3
314,1813,3
315,1744,3
316,1680,3
317,1619,3
318,1571,3
319,1535,3
320,1519,3
321,1513,3
322,1525,3
323,1550,3
324,1583,3
325,1616,3
326,1673,3
327,1728,3
328,1792,3
329,1872,3
330,1972,3
331,2109,3
332,2267,3
333,2451,3
334,2672,3
335,2893,3
336,3120,3
337,3342,3
338,3536,3
339,3655,3
340,3691,3
341,3581,3
342,3411,4
343,3190,4
344,2953,4
345,2720,4
346,2475,4
347,2231,4
348,1982,4
349,1753,4
350,1552,4
351,1378,4
352,1258,4
353,1187,4
354,1155,4
355,1177,4
356,1233,4
357,1330,4
358,1437,4
359,1564,4
360,1686,4
361,1798,4
362,1894,4
363,1970,4
364,2014,4
365,2035,4
366,2031,4
367,2003,4
368,1958,4
369,1904,4
370,1841,4
371,1777,4
372,1707,4
373,1647,4
374,1584,4
375,1526,4
376,1483,4
377,1451,4
378,1423,4
379,1407,4
380,1399,4
381,1409,4
382,1427,4
383,1457,4
384,1491,4
385,1548,4
386,1598,4
387,1661,4
388,1749,4
389,1874,4
390,2039,4
391,2247,4
392,2475,4
393,2719,4
394,2959,4
395,3197,4
396,3408,4
397,3557,4
398,3621,4
399,3568,4
400,3419,4
401,3217,4
402,2992,4
403,2759,4
404,2514,4
405,2269,4
406,2023,4
407,1793,4
408,1586,4
409,1409,4
410,1283,4
411,1209,4
412,1181,4
413,1198,4
414,1262,4
415,1357,4
416,1473,4
417,1607,4
418,1739,4
419,1859,4
420,1963,4
421,2038,4
422,2099,4
423,2129,4
424,2129,4
425,2105,4
426,2058,4
427,1997,4
428,1923,4
429,1851,4
430,1776,4
431,1710,4
432,1648,4
433,1590,4
434,1551,4
435,1509,4
436,1484,4
437,1470,4
438,1467,4
439,1479,4
440,1494,4
441,1519,4
442,1543,5
443,1571,5
444,1603,5
445,1652,5
446,1728,5
447,1825,5
448,1966,5
449,2145,5
450,2353,5
451,2590,5
452,2832,5
453,3071,5
454,3311,5
455,3511,5
456,3642,5
457,3655,5
458,3550,5
459,3370,5
460,3143,5
461,2909,5
462,2672,5
463,2416,5
464,2167,5
465,1925,5
466,1697,5
467,1499,5
468,1345,5
469,1248,5
470,1185,5
471,1177,5
472,1207,5
473,1280,5
474,1379,5
475,1499,5
476,1628,5
477,1745,5
478,1855,5
479,1936,5
480,1999,5
481,2039,5
482,2055,5
483,2037,5
484,2006,5
485,1962,5
486,1901,5
487,1835,5
488,1769,5
489,1707,5
490,1642,5
491,1587,5
492,1535,5
493,1497,5
494,1473,5
495,1457,5
496,1441,5
497,1437,5
498,1445,5
499,1459,5
500,1485,5
501,1517,5
502,1558,5
503,1604,5
504,1648,5
505,1697,5
506,1762,5
507,1863,5
508,2001,5
509,2188,5
510,2389,5
511,2618,5
512,2857,5
513,3095,5
514,3322,5
515,3507,5
516,3632,5
517,3632,5
518,3526,5
519,3328,5
520,3094,5
521,2864,5
522,2619,5
523,2362,5
524,2103,5
525,1855,5
526,1630,5
527,1429,5
528,1279,5
529,1179,5
530,1134,5
531,1138,5
532,1194,5
533,1285,5
534,1398,5
535,1534,5
536,1671,5
537,1807,5
538,1916,5
539,2002,5
540,2070,5
541,2098,5
542,2098,6
543,2080,6
544,2030,6
545,1974,6
546,1906,6
547,1840,6
548,1766,6
549,1693,6
550,1634,6
551,1589,6
552,1552,6
553,1520,6
554,1499,6
555,1483,6
556,1482,6
557,1484,6
558,1492,6
559,1509,6
560,1526,6
561,1552,6
562,1584,6
563,1620,6
564,1663,6
565,1722,6
566,1818,6
567,1949,6
568,2119,6
569,2319,6
570,2534,6
571,2769,6
572,2992,6
573,3216,6
574,3408,6
575,3536,6
576,3569,6
577,3498,6
578,3339,6
579,3134,6
580,2903,6
581,2669,6
582,2413,6
583,2159,6
584,1909,6
585,1678,6
586,1470,6
587,1319,6
588,1203,6
589,1140,6
590,1127,6
591,1157,6
592,1232,6
593,1344,6
594,1470,6
595,1609,6
596,1734,6
597,1850,6
598,1940,6
599,2000,6
600,2037,6
601,2046,6
602,2026,6
603,1985,6
604,1936,6
605,1877,6
606,1811,6
607,1744,6
608,1680,6
609,1616,6
610,1558,6
611,1509,6
612,1471,6
613,1443,6
614,1429,6
615,1428,6
616,1431,6
617,1456,6
618,1485,6
619,1519,6
620,1561,6
621,1605,6
622,1661,6
623,1737,6
624,1840,6
625,1986,6
626,2176,6
627,2385,6
628,2624,6
629,2859,6
630,3094,6
631,3334,6
632,3539,6
633,3665,6
634,3664,6
635,3558,6
636,3362,6
637,3150,6
638,2899,6
639,2657,6
640,2401,6
641,2151,6
642,1904,7
643,1679,7
644,1478,7
645,1328,7
646,1229,7
647,1178,7
648,1182,7
649,1232,7
650,1323,7
651,1443,7
652,1586,7
653,1727,7
654,1859,7
655,1974,7
656,2069,7
657,2139,7
658,2175,7
659,2186,7
660,2164,7
661,2117,7
662,2054,7
663,1973,7
664,1891,7
665,1813,7
666,1730,7
667,1658,7
668,1595,7
669,1543,7
670,1495,7
671,1458,7
672,1435,7
673,1429,7
674,1431,7
675,1441,7
676,1457,7
677,1488,7
678,1513,7
679,1552,7
680,1604,7
681,1675,7
682,1776,7
683,1920,7
684,2118,7
685,2352,7
686,2608,7
687,2879,7
688,3169,7
689,3476,7
690,3767,7
691,3965,7
692,3984,7
693,3936,7
694,3728,7
695,3435,7
696,3143,7
697,2864,7
698,2593,7
699,2309,7
700,2030,7
701,1773,7
702,1535,7
703,1344,7
704,1194,7
705,1103,7
706,1071,7
707,1087,7
708,1150,7
709,1248,7
710,1375,7
711,1516,7
712,1654,7
713,1791,7
714,1903,7
715,1990,7
716,2064,7
717,2105,7
718,2115,7
719,2103,7
720,2064,7
721,2000,7
722,1934,7
723,1855,7
724,1776,7
725,1701,7
726,1624,7
727,1567,7
728,1505,7
729,1467,7
730,1438,7
731,1424,7
732,1421,7
733,1422,7
734,1429,7
735,1453,7
736,1471,7
737,1505,7
738,1551,7
739,1600,7
740,1673,7
741,1764,7
742,1895,8
743,2067,8
744,2277,8
745,2515,8
746,2787,8
747,3059,8
748,3359,8
749,3664,8
750,3901,8
751,3983,8
752,3966,8
753,3765,8
754,3509,8
755,3213,8
756,2927,8
757,2650,8
758,2365,8
759,2087,8
760,1813,8
761,1582,8
762,1369,8
763,1213,8
764,1109,8
765,1060,8
766,1067,8
767,1121,8
768,1211,8
769,1344,8
770,1488,8
771,1643,8
772,1783,8
773,1910,8
774,2001,8
775,2070,8
776,2103,8
777,2106,8
778,2087,8
779,2045,8
780,1990,8
781,1919,8
782,1840,8
783,1755,8
784,1680,8
785,1611,8
786,1552,8
787,1490,8
788,1446,8
789,1422,8
790,1406,8
791,1405,8
792,1411,8
793,1425,8
794,1457,8
795,1488,8
796,1522,8
797,1573,8
798,1629,8
799,1705,8
800,1808,8
801,1955,8
802,2147,8
803,2374,8
804,2627,8
805,2903,8
806,3210,8
807,3545,8
808,3886,8
809,3984,8
810,3984,8
811,3984,8
812,3983,8
813,3696,8
814,3344,8
815,3021,8
816,2721,8
817,2427,8
818,2134,8
819,1855,8
820,1607,8
821,1393,8
822,1235,8
823,1136,8
824,1095,8
825,1108,8
826,1179,8
827,1283,8
828,1418,8
829,1566,8
830,1708,8
831,1838,8
832,1946,8
833,2042,8
834,2103,8
835,2139,8
836,2143,8
837,2119,8
838,2073,8
839,1999,8
840,1918,8
841,1834,8
842,1745,9
843,1658,9
844,1583,9
845,1515,9
846,1465,9
847,1426,9
848,1393,9
849,1383,9
850,1387,9
851,1408,9
852,1434,9
853,1472,9
854,1510,9
855,1569,9
856,1633,9
857,1719,9
858,1847,9
859,2006,9
860,2211,9
861,2455,9
862,2725,9
863,3010,9
864,3329,9
865,3680,9
866,3981,9
867,3984,9
868,3984,9
869,3983,9
870,3876,9
871,3549,9
872,3201,9
873,2882,9
874,2569,9
875,2258,9
876,1962,9
877,1687,9
878,1446,9
879,1259,9
880,1130,9
881,1060,9
882,1045,9
883,1086,9
884,1170,9
885,1294,9
886,1440,9
887,1600,9
888,1746,9
889,1890,9
890,2000,9
891,2085,9
892,2131,9
893,2144,9
894,2135,9
895,2096,9
896,2032,9
897,1968,9
898,1877,9
899,1793,9
900,1710,9
901,1616,9
902,1543,9
903,1475,9
904,1424,9
905,1389,9
906,1360,9
907,1360,9
908,1371,9
909,1392,9
910,1424,9
911,1463,9
912,1511,9
913,1579,9
914,1665,9
915,1795,9
916,1969,9
917,2199,9
918,2465,9
919,2757,9
920,3088,9
921,3473,9
922,3919,9
923,3984,9
924,3989,9
925,3984,9
926,3985,9
927,3986,9
928,3984,9
929,3493,9
930,3093,9
931,2749,9
932,2416,9
933,2096,9
934,1779,9
935,1508,9
936,1280,9
937,1117,9
938,1007,9
939,963,9
940,979,9
941,1065,9
942,1173,10
943,1319,10
944,1476,10
945,1643,10
946,1789,10
947,1910,10
948,2011,10
949,2080,10
950,2112,10
951,2112,10
952,2089,10
953,2034,10
954,1977,10
955,1904,10
956,1823,10
957,1744,10
958,1664,10
959,1591,10
960,1531,10
961,1486,10
962,1444,10
963,1424,10
964,1409,10
965,1407,10
966,1423,10
967,1447,10
968,1478,10
969,1520,10
970,1564,10
971,1615,10
972,1682,10
973,1785,10
974,1927,10
975,2125,10
976,2357,10
977,2641,10
978,2960,10
979,3340,10
980,3831,10
981,3984,10
982,3981,10
983,3987,10
984,3984,10
985,3984,10
986,3989,10
987,3986,10
988,3823,10
989,3305,10
990,2898,10
991,2541,10
992,2192,10
993,1871,10
994,1584,10
995,1333,10
996,1153,10
997,1037,10
998,976,10
999,987,10
1000,1046,10
1001,1143,10
1002,1269,10
1003,1424,10
1004,1571,10
1005,1712,10
1006,1840,10
1007,1936,10
1008,2000,10
1009,2038,10
1010,2047,10
1011,2026,10
1012,1987,10
1013,1923,10
1014,1845,10
1015,1763,10
1016,1676,10
1017,1588,10
1018,1504,10
1019,1443,10
1020,1383,10
1021,1343,10
1022,1303,10
1023,1283,10
1024,1280,10
1025,1284,10
1026,1312,10
1027,1344,10
1028,1379,10
1029,1427,10
1030,1481,10
1031,1552,10
1032,1632,10
1033,1745,10
1034,1904,10
1035,2108,10
1036,2345,10
1037,2610,10
1038,2895,10
1039,3212,10
1040,3567,10
1041,3903,10
1042,3984,11
1043,3982,11
1044,3989,11
1045,3824,11
1046,3469,11
1047,3120,11
1048,2797,11
1049,2471,11
1050,2147,11
1051,1827,11
1052,1527,11
1053,1271,11
1054,1066,11
1055,916,11
1056,839,11
1057,823,11
1058,864,11
1059,953,11
1060,1091,11
1061,1253,11
1062,1424,11
1063,1602,11
1064,1759,11
1065,1895,11
1066,1995,11
1067,2064,11
1068,2104,11
1069,2102,11
1070,2075,11
1071,2018,11
1072,1948,11
1073,1873,11
1074,1798,11
1075,1721,11
1076,1651,11
1077,1589,11
1078,1535,11
1079,1494,11
1080,1463,11
1081,1447,11
1082,1439,11
1083,1450,11
1084,1468,11
1085,1497,11
1086,1527,11
1087,1582,11
1088,1620,11
1089,1680,11
1090,1754,11
1091,1873,11
1092,2033,11
1093,2240,11
1094,2480,11
1095,2769,11
1096,3095,11
1097,3504,11
1098,3978,11
1099,3990,11
1100,3984,11
1101,3986,11
1102,3984,11
1103,3989,11
1104,3991,11
1105,3793,11
1106,3280,11
1107,2885,11
1108,2515,11
1109,2173,11
1110,1839,11
1111,1543,11
1112,1290,11
1113,1111,11
1114,997,11
1115,951,11
1116,976,11
1117,1055,11
1118,1175,11
1119,1317,11
1120,1471,11
1121,1628,11
1122,1759,11
1123,1869,11
1124,1942,11
1125,2010,11
1126,2064,11
1127,2093,11
1128,2114,11
1129,2126,11
1130,2135,11
1131,2139,11
1132,2137,11
1133,2128,11
1134,2096,11
1135,2046,11
1136,1984,11
1137,1904,11
1138,1810,11
1139,1715,11
1140,1616,11
1141,1522,11
1142,1445,12
1143,1388,12
1144,1360,12
1145,1365,12
1146,1399,12
1147,1476,12
1148,1606,12
1149,1791,12
