,4025,0
0,4028,0
1,4027,0
2,4014,0
3,4015,0
4,4018,0
5,4001,0
6,4019,0
7,4010,0
8,4023,0
9,4018,0
10,4027,0
11,4044,0
12,4031,0
13,4026,0
14,3995,0
15,4027,0
16,4017,0
17,4017,0
18,4011,0
19,4011,0
20,4018,0
21,4013,0
22,4016,0
23,4010,0
24,3989,0
25,3997,0
26,4009,0
27,4001,0
28,4014,0
29,4020,0
30,4009,0
31,4016,0
32,4021,0
33,4016,0
34,4027,0
35,4010,0
36,3994,0
37,4022,1
38,4017,1
39,4032,1
40,4013,1
41,4013,1
42,3994,1
43,4021,1
44,4009,1
45,3973,1
46,4002,1
47,4011,1
48,4019,1
49,4023,1
50,4016,1
51,4016,1
52,4013,1
53,4011,1
54,4007,1
55,4014,1
56,4005,1
57,4001,1
58,4006,1
59,4014,1
60,4021,1
61,4011,1
62,4016,1
63,4002,1
64,4014,1
65,4017,1
66,4009,1
67,4012,1
68,4019,1
69,4023,1
70,3986,1
71,4011,1
72,4020,1
73,4034,1
74,4003,1
75,4010,1
76,4020,1
77,4009,1
78,4030,1
79,4007,1
80,4016,1
81,3989,1
82,3998,1
83,4016,1
84,4007,1
85,4021,1
86,4015,1
87,3504,1
88,2887,1
89,2454,1
90,2084,1
91,1742,1
92,1455,1
93,1212,1
94,1040,1
95,905,1
96,830,1
97,778,1
98,762,1
99,791,1
100,830,1
101,882,1
102,958,1
103,1030,1
104,1130,1
105,1203,1
106,1274,1
107,1322,1
108,1362,1
109,1399,1
110,1426,1
111,1444,1
112,1440,1
113,1450,1
114,1435,1
115,1430,1
116,1418,1
117,1369,1
118,1377,1
119,1392,1
120,1442,1
121,1558,1
122,1745,1
123,2004,1
124,2326,1
125,2672,1
126,3033,1
127,3483,1
128,4015,1
129,4019,1
130,4032,1
131,4030,1
132,4013,1
133,4023,1
134,4013,1
135,4016,1
136,4011,1
137,4015,2
138,3861,2
139,3466,2
140,3200,2
141,2960,2
142,2763,2
143,2576,2
144,2370,2
145,2178,2
146,1996,2
147,1824,2
148,1677,2
149,1568,2
150,1475,2
151,1434,2
152,1415,2
153,1435,2
154,1472,2
155,1510,2
156,1580,2
157,1638,2
158,1680,2
159,1722,2
160,1750,2
161,1776,2
162,1776,2
163,1757,2
164,1725,2
165,1680,2
166,1648,2
167,1597,2
168,1532,2
169,1486,2
170,1439,2
171,1375,2
172,1330,2
173,1294,2
174,1250,2
175,1210,2
176,1156,2
