,4042, 0
0,4036,0.0
1,4041,0.0
2,4033,0.0
3,4035,0.0
4,4031,0.0
5,4043,0.0
6,4031,0.0
7,4035,0.0
8,4029,0.0
9,4039,0.0
10,4030,0.0
11,4039,0.0
12,3466,0.0
13,2879,0.0
14,2450,0.0
15,2103,0.0
16,1821,0.0
17,1623,0.0
18,1497,0.0
19,1451,0.0
20,1472,0.0
21,1561,0.0
22,1691,0.0
23,1841,0.0
24,2017,0.0
25,2176,0.0
26,2331,0.0
27,2467,0.0
28,2584,0.0
29,2673,0.0
30,2747,0.0
31,2797,0.0
32,2805,0.0
33,2772,0.0
34,2715,0.0
35,2624,0.0
36,2509,0.0
37,2384,0.0
38,2257,0.0
39,2126,0.0
40,1999,0.0
41,1875,0.0
42,1764,1.0
43,1678,1.0
44,1601,1.0
45,1545,1.0
46,1501,1.0
47,1470,1.0
48,1451,1.0
49,1454,1.0
50,1456,1.0
51,1464,1.0
52,1481,1.0
53,1499,1.0
54,1520,1.0
55,1552,1.0
56,1577,1.0
57,1585,1.0
58,1601,1.0
59,1611,1.0
60,1611,1.0
61,1613,1.0
62,1615,1.0
63,1616,1.0
64,1607,1.0
65,1609,1.0
66,1605,1.0
67,1600,1.0
68,1594,1.0
69,1581,1.0
70,1569,1.0
71,1545,1.0
72,1533,1.0
73,1515,1.0
74,1505,1.0
75,1503,1.0
76,1509,1.0
77,1547,1.0
78,1593,1.0
79,1664,1.0
80,1772,1.0
81,1892,1.0
82,2056,1.0
83,2210,1.0
84,2375,1.0
85,2524,1.0
86,2672,1.0
87,2785,1.0
88,2875,1.0
89,2940,1.0
90,2973,1.0
91,2960,1.0
92,2913,1.0
93,2839,1.0
94,2751,1.0
95,2636,1.0
96,2497,1.0
97,2352,1.0
98,2208,1.0
99,2066,1.0
100,1929,1.0
101,1802,1.0
102,1689,1.0
103,1594,1.0
104,1520,1.0
105,1465,1.0
106,1430,1.0
107,1426,1.0
108,1439,1.0
109,1457,1.0
110,1488,1.0
111,1521,1.0
112,1572,1.0
113,1605,1.0
114,1637,1.0
115,1658,1.0
116,1678,1.0
117,1686,1.0
118,1693,1.0
119,1686,1.0
120,1683,1.0
121,1677,1.0
122,1671,1.0
123,1662,1.0
124,1652,1.0
125,1645,1.0
126,1640,1.0
127,1624,1.0
128,1617,1.0
129,1604,1.0
130,1585,1.0
131,1550,1.0
132,1509,1.0
133,1468,1.0
134,1429,1.0
135,1399,1.0
136,1397,1.0
137,1418,1.0
138,1461,1.0
139,1553,1.0
140,1680,1.0
141,1837,1.0
142,2022,2.0
143,2224,2.0
144,2411,2.0
145,2594,2.0
146,2765,2.0
147,2910,2.0
148,3015,2.0
149,3098,2.0
150,3133,2.0
151,3133,2.0
152,3117,2.0
153,3047,2.0
154,2954,2.0
155,2849,2.0
156,2720,2.0
157,2567,2.0
158,2402,2.0
159,2257,2.0
160,2108,2.0
161,1968,2.0
162,1852,2.0
163,1758,2.0
164,1691,2.0
165,1649,2.0
166,1634,2.0
167,1645,2.0
168,1679,2.0
169,1721,2.0
170,1777,2.0
171,1831,2.0
172,1872,2.0
173,1901,2.0
174,1901,2.0
175,1875,2.0
176,1840,2.0
177,1797,2.0
178,1744,2.0
179,1691,2.0
180,1639,2.0
181,1587,2.0
182,1527,2.0
183,1477,2.0
184,1438,2.0
185,1408,2.0
186,1391,2.0
187,1370,2.0
188,1355,2.0
189,1331,2.0
190,1327,2.0
191,1325,2.0
192,1329,2.0
193,1334,2.0
194,1341,2.0
195,1358,2.0
196,1378,2.0
197,1409,2.0
198,1458,2.0
199,1534,2.0
200,1648,2.0
201,1776,2.0
202,1936,2.0
203,2119,2.0
204,2305,2.0
205,2501,2.0
206,2694,2.0
207,2861,2.0
208,2992,2.0
209,3088,2.0
210,3151,2.0
211,3163,2.0
212,3135,2.0
213,3069,2.0
214,2975,2.0
215,2859,2.0
216,2733,2.0
217,2585,2.0
218,2430,2.0
219,2270,2.0
220,2117,2.0
221,1967,2.0
222,1821,2.0
223,1701,2.0
224,1593,2.0
225,1499,2.0
226,1437,2.0
227,1399,2.0
228,1385,2.0
229,1377,2.0
230,1395,2.0
231,1423,2.0
232,1457,2.0
233,1489,2.0
234,1527,2.0
235,1562,2.0
236,1584,2.0
237,1604,2.0
238,1618,2.0
239,1641,2.0
240,1648,2.0
241,1645,2.0
242,1630,3.0
243,1616,3.0
244,1603,3.0
245,1590,3.0
246,1575,3.0
247,1562,3.0
248,1552,3.0
249,1525,3.0
250,1516,3.0
251,1497,3.0
252,1481,3.0
253,1465,3.0
254,1456,3.0
255,1447,3.0
256,1454,3.0
257,1463,3.0
258,1491,3.0
259,1552,3.0
260,1636,3.0
261,1744,3.0
262,1882,3.0
263,2034,3.0
264,2201,3.0
265,2369,3.0
266,2533,3.0
267,2695,3.0
268,2834,3.0
269,2941,3.0
270,3024,3.0
271,3077,3.0
272,3089,3.0
273,3083,3.0
274,3022,3.0
275,2944,3.0
276,2839,3.0
277,2722,3.0
278,2587,3.0
279,2432,3.0
280,2285,3.0
281,2128,3.0
282,1985,3.0
283,1842,3.0
284,1714,3.0
285,1621,3.0
286,1535,3.0
287,1477,3.0
288,1430,3.0
289,1402,3.0
290,1397,3.0
291,1401,3.0
292,1424,3.0
293,1463,3.0
294,1521,3.0
295,1588,3.0
296,1655,3.0
297,1722,3.0
298,1779,3.0
299,1831,3.0
300,1862,3.0
301,1873,3.0
302,1859,3.0
303,1825,3.0
304,1783,3.0
305,1739,3.0
306,1693,3.0
307,1654,3.0
308,1616,3.0
309,1589,3.0
310,1570,3.0
311,1568,3.0
312,1578,3.0
313,1600,3.0
314,1616,3.0
315,1629,3.0
316,1628,3.0
317,1626,3.0
318,1618,3.0
319,1607,3.0
320,1591,3.0
321,1584,3.0
322,1607,3.0
323,1663,3.0
324,1761,3.0
325,1889,3.0
326,2064,3.0
327,2241,3.0
328,2433,3.0
