,3136, 0
0,3529,0.0
1,3917,0.0
2,4031,0.0
3,4031,0.0
4,4033,0.0
5,4032,0.0
6,4058,0.0
7,4027,0.0
8,4042,0.0
9,4031,0.0
10,4007,0.0
11,3738,0.0
12,3504,0.0
13,3312,0.0
14,3135,0.0
15,2971,0.0
16,2815,0.0
17,2661,0.0
18,2512,0.0
19,2385,0.0
20,2247,0.0
21,2133,0.0
22,2032,0.0
23,1950,0.0
24,1887,0.0
25,1838,0.0
26,1799,0.0
27,1775,0.0
28,1757,0.0
29,1745,0.0
30,1742,0.0
31,1735,0.0
32,1715,0.0
33,1693,0.0
34,1665,0.0
35,1637,0.0
36,1600,0.0
37,1555,0.0
38,1514,0.0
39,1443,0.0
40,1427,0.0
41,1393,0.0
42,1366,0.0
43,1339,0.0
44,1327,0.0
45,1301,0.0
46,1292,0.0
47,1287,0.0
48,1280,0.0
49,1271,0.0
50,1266,0.0
51,1266,0.0
52,1269,0.0
53,1275,0.0
54,1276,0.0
55,1253,0.0
56,1275,0.0
57,1271,0.0
58,1270,0.0
59,1265,0.0
60,1263,0.0
61,1251,0.0
62,1264,0.0
63,1296,0.0
64,1402,0.0
65,1565,0.0
66,1851,0.0
67,2219,0.0
68,2641,0.0
69,3111,0.0
70,3715,0.0
71,4035,0.0
72,4035,0.0
73,4037,0.0
74,4037,0.0
75,4043,0.0
76,4034,0.0
77,4039,0.0
78,4038,0.0
79,4034,0.0
80,4035,0.0
81,4046,0.0
82,3853,0.0
83,3476,0.0
84,3188,0.0
85,2954,0.0
86,2729,0.0
87,2511,0.0
88,2310,0.0
89,2123,0.0
90,1948,0.0
91,1808,0.0
92,1697,0.0
93,1605,0.0
94,1546,0.0
95,1503,0.0
96,1487,1.0
97,1489,1.0
98,1510,1.0
99,1532,1.0
100,1557,1.0
101,1579,1.0
102,1588,1.0
103,1589,1.0
104,1578,1.0
105,1563,1.0
106,1523,1.0
107,1489,1.0
108,1450,1.0
109,1410,1.0
110,1371,1.0
111,1340,1.0
112,1309,1.0
113,1287,1.0
114,1274,1.0
115,1267,1.0
116,1261,1.0
117,1255,1.0
118,1249,1.0
119,1247,1.0
120,1251,1.0
121,1249,1.0
122,1253,1.0
123,1249,1.0
124,1249,1.0
125,1250,1.0
126,1247,1.0
127,1265,1.0
128,1225,1.0
129,1219,1.0
130,1222,1.0
131,1262,1.0
132,1386,1.0
133,1557,1.0
134,1840,1.0
135,2203,1.0
136,2607,1.0
137,3024,1.0
138,3503,1.0
139,4029,1.0
140,4034,1.0
141,4029,1.0
142,4032,1.0
143,4032,1.0
144,4034,1.0
145,4035,1.0
146,3870,1.0
147,3487,1.0
148,3198,1.0
149,2954,1.0
150,2752,1.0
151,2567,1.0
152,2400,1.0
153,2241,1.0
154,2108,1.0
155,1951,1.0
156,1823,1.0
157,1712,1.0
158,1625,1.0
159,1557,1.0
160,1511,1.0
161,1493,1.0
162,1488,1.0
163,1510,1.0
164,1547,1.0
165,1578,1.0
166,1605,1.0
167,1626,1.0
168,1644,1.0
169,1645,1.0
170,1632,1.0
171,1613,1.0
172,1585,1.0
173,1552,1.0
174,1505,1.0
175,1471,1.0
176,1437,1.0
177,1410,1.0
178,1367,1.0
179,1362,1.0
180,1344,1.0
181,1328,1.0
182,1319,1.0
183,1317,1.0
184,1315,1.0
185,1325,1.0
186,1328,1.0
187,1328,1.0
188,1328,1.0
189,1317,1.0
190,1310,1.0
191,1295,1.0
192,1274,1.0
193,1258,1.0
194,1246,1.0
195,1248,1.0
196,1272,2.0
197,1346,2.0
198,1523,2.0
199,1801,2.0
200,2159,2.0
201,2575,2.0
202,3023,2.0
203,3568,2.0
204,4032,2.0
205,4033,2.0
206,4035,2.0
207,4035,2.0
208,4044,2.0
209,4036,2.0
210,4036,2.0
211,4032,2.0
212,4034,2.0
213,4038,2.0
214,4034,2.0
215,3995,2.0
216,3607,2.0
217,3307,2.0
218,3044,2.0
219,2812,2.0
220,2582,2.0
221,2350,2.0
222,2141,2.0
223,1946,2.0
224,1793,2.0
225,1671,2.0
226,1584,2.0
227,1520,2.0
228,1497,2.0
229,1498,2.0
230,1519,2.0
231,1535,2.0
232,1559,2.0
233,1581,2.0
234,1590,2.0
235,1588,2.0
236,1579,2.0
237,1561,2.0
