,2025,0
0,1968,0.0
1,1910,0.0
2,1841,0.0
3,1793,0.0
4,1732,0.0
5,1712,0.0
6,1686,0.0
7,1678,0.0
8,1671,0.0
9,1675,0.0
10,1677,0.0
11,1686,0.0
12,1691,0.0
13,1697,0.0
14,1703,0.0
15,1713,0.0
16,1731,0.0
17,1776,0.0
18,1855,0.0
19,1985,0.0
20,2141,0.0
21,2307,0.0
22,2450,0.0
23,2573,0.0
24,2624,0.0
25,2635,0.0
26,2583,0.0
27,2493,0.0
28,2369,0.0
29,2243,0.0
30,2103,0.0
31,1993,0.0
32,1899,0.0
33,1827,0.0
34,1766,0.0
35,1744,0.0
36,1727,0.0
37,1717,0.0
38,1712,0.0
39,1723,0.0
40,1715,1.0
41,1712,1.0
42,1712,1.0
43,1721,1.0
44,1722,1.0
45,1739,1.0
46,1751,1.0
47,1776,1.0
48,1799,1.0
49,1827,1.0
50,1847,1.0
51,1869,1.0
52,1878,1.0
53,1876,1.0
54,1872,1.0
55,1867,1.0
56,1849,1.0
57,1835,1.0
58,1810,1.0
59,1799,1.0
60,1780,1.0
61,1775,1.0
62,1762,1.0
63,1746,1.0
64,1745,1.0
65,1745,1.0
66,1739,1.0
67,1733,1.0
68,1728,1.0
69,1727,1.0
70,1719,1.0
71,1719,1.0
72,1711,1.0
73,1712,1.0
74,1710,1.0
75,1712,1.0
76,1723,1.0
77,1742,1.0
78,1783,1.0
79,1872,1.0
80,1973,1.0
81,2126,1.0
82,2274,1.0
83,2404,1.0
84,2502,1.0
85,2557,1.0
86,2547,1.0
87,2496,1.0
88,2399,1.0
89,2288,1.0
90,2162,1.0
91,2053,1.0
92,1938,1.0
93,1863,1.0
94,1798,1.0
95,1763,1.0
96,1739,1.0
97,1729,1.0
98,1727,1.0
99,1731,1.0
100,1723,1.0
101,1727,1.0
102,1725,1.0
103,1727,1.0
104,1729,1.0
105,1742,1.0
106,1748,1.0
107,1774,1.0
108,1789,1.0
109,1818,1.0
110,1840,1.0
111,1863,1.0
112,1871,1.0
113,1874,1.0
114,1872,1.0
115,1872,1.0
116,1853,1.0
117,1843,1.0
118,1824,1.0
119,1813,1.0
120,1802,1.0
121,1794,1.0
122,1788,1.0
123,1783,1.0
124,1771,1.0
125,1760,1.0
126,1749,1.0
127,1746,1.0
128,1743,1.0
129,1744,1.0
130,1730,1.0
131,1728,1.0
132,1713,1.0
133,1719,1.0
134,1713,1.0
135,1731,1.0
136,1773,1.0
137,1853,1.0
138,1967,1.0
139,2125,1.0
140,2275,2.0
141,2425,2.0
142,2528,2.0
143,2602,2.0
144,2597,2.0
145,2542,2.0
146,2444,2.0
147,2330,2.0
148,2202,2.0
149,2089,2.0
150,1979,2.0
151,1901,2.0
152,1840,2.0
153,1807,2.0
154,1776,2.0
155,1776,2.0
156,1766,2.0
157,1774,2.0
158,1764,2.0
159,1766,2.0
160,1751,2.0
161,1751,2.0
162,1746,2.0
163,1757,2.0
164,1767,2.0
165,1787,2.0
166,1810,2.0
167,1839,2.0
168,1856,2.0
169,1879,2.0
170,1887,2.0
171,1893,2.0
172,1888,2.0
173,1879,2.0
174,1866,2.0
175,1850,2.0
176,1826,2.0
177,1808,2.0
178,1790,2.0
179,1775,2.0
180,1758,2.0
181,1744,2.0
182,1731,2.0
183,1728,2.0
184,1722,2.0
185,1715,2.0
186,1717,2.0
187,1715,2.0
188,1713,2.0
189,1715,2.0
190,1718,2.0
191,1719,2.0
192,1719,2.0
193,1737,2.0
194,1774,2.0
195,1856,2.0
196,1972,2.0
197,2133,2.0
198,2296,2.0
199,2449,2.0
200,2549,2.0
201,2625,2.0
202,2623,2.0
203,2573,2.0
204,2474,2.0
205,2353,2.0
206,2230,2.0
207,2114,2.0
208,2000,2.0
209,1920,2.0
210,1854,2.0
211,1809,2.0
212,1783,2.0
213,1776,2.0
214,1776,2.0
215,1780,2.0
216,1770,2.0
217,1764,2.0
218,1751,2.0
219,1744,2.0
220,1744,2.0
221,1745,2.0
222,1748,2.0
223,1770,2.0
224,1783,2.0
225,1808,2.0
226,1833,2.0
227,1858,2.0
228,1867,2.0
229,1877,2.0
230,1872,2.0
231,1876,2.0
232,1840,2.0
233,1821,2.0
234,1803,2.0
235,1788,2.0
236,1767,2.0
237,1759,2.0
238,1748,2.0
239,1741,2.0
240,1728,3.0
241,1723,3.0
242,1712,3.0
243,1711,3.0
244,1695,3.0
245,1696,3.0
246,1681,3.0
247,1684,3.0
248,1683,3.0
249,1686,3.0
250,1683,3.0
251,1680,3.0
252,1697,3.0
253,1712,3.0
254,1744,3.0
255,1808,3.0
256,1906,3.0
257,2047,3.0
258,2208,3.0
259,2368,3.0
260,2497,3.0
261,2586,3.0
262,2608,3.0
263,2567,3.0
264,2473,3.0
265,2361,3.0
266,2225,3.0
267,2104,3.0
268,1981,3.0
269,1886,3.0
270,1815,3.0
271,1744,3.0
272,1705,3.0
273,1693,3.0
274,1681,3.0
275,1685,3.0
276,1683,3.0
277,1687,3.0
278,1680,3.0
279,1679,3.0
280,1670,3.0
281,1678,3.0
282,1679,3.0
283,1694,3.0
284,1709,3.0
285,1731,3.0
286,1755,3.0
287,1784,3.0
288,1807,3.0
289,1819,3.0
290,1830,3.0
291,1823,3.0
292,1810,3.0
293,1797,3.0
294,1776,3.0
295,1759,3.0
296,1734,3.0
297,1719,3.0
298,1701,3.0
299,1697,3.0
300,1677,3.0
301,1666,3.0
302,1653,3.0
303,1653,3.0
304,1648,3.0
305,1645,3.0
306,1638,3.0
307,1634,3.0
308,1635,3.0
309,1646,3.0
310,1639,3.0
311,1647,3.0
312,1642,3.0
313,1653,3.0
314,1654,3.0
315,1657,3.0
316,1657,3.0
317,1679,3.0
318,1717,3.0
319,1808,3.0
320,1931,3.0
321,2086,3.0
322,2241,3.0
323,2391,3.0
324,2491,3.0
325,2533,3.0
326,2533,3.0
327,2473,3.0
328,2362,3.0
329,2239,3.0
330,2098,3.0
331,1968,3.0
332,1857,3.0
333,1776,3.0
334,1708,3.0
335,1674,3.0
336,1645,3.0
337,1646,3.0
338,1643,3.0
339,1650,3.0
340,1651,4.0
341,1659,4.0
342,1660,4.0
343,1664,4.0
344,1658,4.0
345,1669,4.0
346,1680,4.0
347,1701,4.0
348,1712,4.0
349,1739,4.0
350,1750,4.0
351,1773,4.0
352,1789,4.0
353,1803,4.0
354,1795,4.0
355,1802,4.0
356,1789,4.0
357,1775,4.0
358,1751,4.0
359,1734,4.0
360,1718,4.0
361,1712,4.0
362,1712,4.0
363,1691,4.0
364,1680,4.0
365,1674,4.0
366,1662,4.0
367,1657,4.0
368,1648,4.0
369,1665,4.0
370,1650,4.0
371,1655,4.0
372,1649,4.0
373,1657,4.0
374,1650,4.0
375,1649,4.0
376,1646,4.0
377,1646,4.0
378,1644,4.0
