,3833,0
0,3837,0.0
1,3843,0.0
2,3838,0.0
3,3847,0.0
4,3838,0.0
5,3840,0.0
6,3837,0.0
7,3837,0.0
8,3839,0.0
9,3834,0.0
10,3827,0.0
11,3844,0.0
12,3376,0.0
13,2832,0.0
14,2448,0.0
15,2085,0.0
16,1826,0.0
17,1600,0.0
18,1423,0.0
19,1308,0.0
20,1235,0.0
21,1210,0.0
22,1226,0.0
23,1264,0.0
24,1337,0.0
25,1418,0.0
26,1517,0.0
27,1610,0.0
28,1702,0.0
29,1779,0.0
30,1857,0.0
31,1920,0.0
32,1968,0.0
33,1998,0.0
34,2015,0.0
35,2011,0.0
36,1994,0.0
37,1967,0.0
38,1921,0.0
39,1872,0.0
40,1823,0.0
41,1760,0.0
42,1712,0.0
43,1690,0.0
44,1632,0.0
45,1599,0.0
46,1569,0.0
47,1546,0.0
48,1530,0.0
49,1520,0.0
50,1513,0.0
51,1513,0.0
52,1530,0.0
53,1550,0.0
54,1559,0.0
55,1569,0.0
56,1584,0.0
57,1588,0.0
58,1595,0.0
59,1600,0.0
60,1610,0.0
61,1611,0.0
62,1616,0.0
63,1609,0.0
64,1605,0.0
65,1605,0.0
66,1612,0.0
67,1618,0.0
68,1616,0.0
69,1617,0.0
70,1619,0.0
71,1616,0.0
72,1616,0.0
73,1616,0.0
74,1617,0.0
75,1623,0.0
76,1623,0.0
77,1616,0.0
78,1615,0.0
79,1616,0.0
80,1614,0.0
81,1603,0.0
82,1603,0.0
83,1597,0.0
84,1600,0.0
85,1595,0.0
86,1595,0.0
87,1605,0.0
88,1648,0.0
89,1728,0.0
90,1867,0.0
91,2051,0.0
92,2272,0.0
93,2510,0.0
94,2768,0.0
95,2996,0.0
96,3211,0.0
97,3358,0.0
98,3404,1.0
99,3319,1.0
100,3151,1.0
101,2928,1.0
102,2713,1.0
103,2482,1.0
104,2259,1.0
105,2037,1.0
106,1846,1.0
107,1670,1.0
108,1525,1.0
109,1423,1.0
110,1328,1.0
111,1289,1.0
112,1266,1.0
113,1271,1.0
114,1297,1.0
115,1333,1.0
116,1390,1.0
117,1446,1.0
118,1519,1.0
119,1597,1.0
120,1677,1.0
121,1754,1.0
122,1831,1.0
123,1903,1.0
124,1946,1.0
125,1975,1.0
126,2002,1.0
127,2005,1.0
128,1994,1.0
129,1968,1.0
130,1936,1.0
131,1897,1.0
132,1855,1.0
133,1794,1.0
134,1739,1.0
135,1680,1.0
136,1643,1.0
137,1595,1.0
138,1577,1.0
139,1550,1.0
140,1525,1.0
141,1511,1.0
142,1507,1.0
143,1488,1.0
144,1488,1.0
145,1488,1.0
146,1499,1.0
147,1485,1.0
148,1488,1.0
149,1490,1.0
150,1507,1.0
151,1519,1.0
152,1529,1.0
153,1535,1.0
154,1552,1.0
155,1561,1.0
156,1570,1.0
157,1575,1.0
158,1583,1.0
159,1583,1.0
160,1571,1.0
161,1585,1.0
162,1600,1.0
163,1596,1.0
164,1597,1.0
165,1600,1.0
166,1610,1.0
167,1609,1.0
168,1616,1.0
169,1616,1.0
170,1632,1.0
171,1622,1.0
172,1616,1.0
173,1609,1.0
174,1612,1.0
175,1609,1.0
176,1608,1.0
177,1604,1.0
178,1571,1.0
179,1610,1.0
180,1647,1.0
181,1717,1.0
182,1851,1.0
183,2009,1.0
184,2219,1.0
185,2447,1.0
186,2691,1.0
187,2917,1.0
188,3126,1.0
189,3271,1.0
190,3319,1.0
191,3263,1.0
192,3123,1.0
193,2925,1.0
194,2706,1.0
195,2480,1.0
196,2254,1.0
197,2030,1.0
198,1832,2.0
199,1648,2.0
200,1499,2.0
201,1382,2.0
202,1309,2.0
203,1263,2.0
204,1251,2.0
205,1257,2.0
206,1292,2.0
207,1345,2.0
208,1421,2.0
209,1502,2.0
210,1603,2.0
211,1694,2.0
212,1783,2.0
213,1866,2.0
214,1937,2.0
215,1999,2.0
216,2045,2.0
217,2068,2.0
218,2067,2.0
219,2047,2.0
220,2019,2.0
221,1968,2.0
222,1917,2.0
223,1857,2.0
224,1799,2.0
225,1738,2.0
226,1691,2.0
227,1646,2.0
228,1603,2.0
229,1575,2.0
230,1553,2.0
231,1535,2.0
232,1530,2.0
233,1520,2.0
234,1519,2.0
235,1515,2.0
236,1567,2.0
237,1524,2.0
238,1530,2.0
