,4022,0
0,4027,0
1,4027,0
2,4021,0
3,4021,0
4,4027,0
5,4020,0
6,4031,0
7,4027,0
8,4023,0
9,4022,0
10,4017,0
11,4018,0
12,4025,0
13,4029,0
14,4023,0
15,4025,0
16,4022,0
17,4022,0
18,4019,0
19,4021,0
20,4027,0
21,4020,0
22,4023,0
23,4022,0
24,4018,0
25,4019,0
26,4023,0
27,4017,0
28,4022,0
29,4019,0
30,4029,0
31,4022,0
32,4023,0
33,4026,0
34,4027,0
35,4021,0
36,4026,0
37,4022,0
38,4021,1
39,4019,1
40,4020,1
41,4020,1
42,4026,1
43,4017,1
44,4025,1
45,4016,1
46,4018,1
47,4033,1
48,4016,1
49,4013,1
50,4017,1
51,4016,1
52,4019,1
53,4016,1
54,4016,1
55,4020,1
56,4022,1
57,4016,1
58,4029,1
59,4018,1
60,4017,1
61,4021,1
62,4027,1
63,4027,1
64,4019,1
65,4027,1
66,4027,1
67,4026,1
68,4016,1
69,4032,1
70,4035,1
71,4016,1
72,4018,1
73,4018,1
74,4021,1
75,4023,1
76,4026,1
77,4028,1
78,4023,1
79,4022,1
80,4026,1
81,4031,1
82,4023,1
83,4031,1
84,4017,1
85,4017,1
86,4026,1
87,4019,1
88,4019,1
89,4020,1
90,4025,1
91,4027,1
92,4027,1
93,4017,1
94,4017,1
95,4016,1
96,4026,1
97,4029,1
98,4029,1
99,4029,1
100,4019,1
101,4023,1
102,4023,1
103,4023,1
104,4016,1
105,4018,1
106,4017,1
107,4018,1
108,4016,1
109,4021,1
110,4030,1
111,4020,1
112,4021,1
113,4022,1
114,4018,1
115,4022,1
116,4018,1
117,4026,1
118,4029,1
119,4019,1
120,4016,1
121,4015,1
122,4015,1
123,4020,1
124,4021,1
125,4016,1
126,4027,1
127,4014,1
128,4030,1
129,4019,1
130,4023,1
131,4023,1
132,4018,1
133,4030,1
134,4016,1
135,4027,1
136,4016,1
137,4021,1
138,4025,2
139,4047,2
140,4021,2
141,4033,2
142,4023,2
143,4016,2
144,4019,2
145,4023,2
146,4023,2
147,4018,2
148,4027,2
149,4027,2
150,4019,2
151,4021,2
152,4018,2
153,4026,2
154,4023,2
155,4017,2
156,4019,2
157,4019,2
158,4021,2
159,4012,2
160,4023,2
161,4021,2
162,4022,2
163,4022,2
164,4023,2
165,4022,2
166,4022,2
167,4026,2
168,4022,2
169,4023,2
170,4022,2
171,4025,2
172,4022,2
173,4010,2
174,4019,2
175,4022,2
176,4019,2
177,4027,2
178,4022,2
179,4021,2
180,4031,2
181,4027,2
182,4024,2
183,4020,2
184,4022,2
185,4022,2
186,4006,2
187,4016,2
188,4016,2
189,4029,2
190,4014,2
191,4017,2
192,4018,2
193,4029,2
194,4001,2
195,4020,2
196,4016,2
197,4021,2
198,4016,2
199,4022,2
200,4021,2
201,4013,2
202,4005,2
203,4014,2
204,3408,2
205,3106,2
206,2963,2
207,2935,2
208,2993,2
209,3122,2
210,3308,2
211,3559,2
212,3873,2
213,4026,2
214,4023,2
215,4020,2
216,4019,2
217,4025,2
218,4019,2
219,4029,2
220,4022,2
221,3953,2
222,3581,2
223,3243,2
224,2944,2
225,2673,2
226,2408,2
227,2144,2
228,1899,2
229,1675,2
230,1475,2
231,1312,2
232,1184,2
233,1076,2
234,998,2
235,947,2
236,927,2
237,918,2
238,927,3
239,951,3
240,985,3
241,1037,3
242,1088,3
243,1136,3
244,1175,3
245,1216,3
246,1245,3
247,1266,3
248,1283,3
249,1285,3
250,1277,3
251,1259,3
252,1241,3
253,1225,3
254,1210,3
255,1187,3
256,1170,3
257,1153,3
258,1147,3
259,1142,3
260,1135,3
261,1120,3
262,1106,3
263,1094,3
264,1075,3
265,1051,3
266,1031,3
267,1008,3
268,995,3
269,997,3
270,1008,3
271,1040,3
272,1103,3
273,1200,3
274,1355,3
275,1569,3
276,1844,3
277,2176,3
278,2544,3
279,2965,3
280,3501,3
281,4019,3
282,4021,3
283,4022,3
284,4021,3
285,4021,3
286,4022,3
287,4021,3
288,4023,3
289,4017,3
290,4027,3
291,4027,3
292,4028,3
293,4026,3
294,4018,3
295,4029,3
296,4021,3
297,4018,3
298,4022,3
299,3677,3
300,3018,3
301,2549,3
302,2129,3
303,1749,3
304,1412,3
305,1125,3
306,891,3
307,718,3
308,597,3
309,532,3
310,517,3
311,535,3
312,586,3
313,659,3
314,739,3
315,829,3
316,920,3
317,1003,3
318,1088,3
319,1152,3
320,1200,3
321,1232,3
322,1254,3
323,1259,3
324,1245,3
325,1220,3
326,1190,3
327,1148,3
328,1104,3
329,1063,3
330,1013,3
331,977,3
332,946,3
333,923,3
334,910,3
335,894,3
336,880,3
337,880,3
338,896,4
339,914,4
340,943,4
341,969,4
342,1005,4
343,1040,4
344,1072,4
345,1083,4
346,1114,4
347,1152,4
348,1200,4
349,1280,4
350,1401,4
351,1582,4
352,1822,4
353,2129,4
354,2487,4
355,2907,4
356,3444,4
357,4029,4
358,4023,4
359,4019,4
360,4019,4
361,4023,4
362,4029,4
363,4026,4
364,4019,4
365,4021,4
366,4026,4
367,4019,4
368,4021,4
369,4031,4
370,4027,4
371,4027,4
372,4021,4
373,4023,4
374,4016,4
375,4029,4
376,3300,4
377,2743,4
378,2285,4
379,1861,4
380,1483,4
381,1168,4
382,925,4
383,745,4
384,635,4
385,572,4
386,560,4
387,581,4
388,624,4
389,692,4
390,771,4
391,854,4
392,934,4
393,1013,4
394,1089,4
395,1145,4
396,1193,4
397,1217,4
398,1232,4
399,1242,4
400,1241,4
401,1233,4
402,1218,4
403,1204,4
404,1189,4
405,1178,4
406,1157,4
407,1149,4
408,1135,4
409,1117,4
410,1104,4
411,1090,4
412,1082,4
413,1072,4
414,1061,4
415,1054,4
416,1058,4
417,1063,4
418,1074,4
419,1088,4
420,1101,4
421,1111,4
422,1122,4
423,1127,4
424,1124,4
425,1138,4
426,1143,4
427,1149,4
428,1186,4
429,1245,4
430,1359,4
431,1531,4
432,1767,4
433,2070,4
434,2431,4
435,2858,4
436,3408,4
437,4017,4
438,4031,5
439,4032,5
440,4018,5
441,4023,5
442,4027,5
443,4026,5
444,4019,5
445,4026,5
446,4027,5
447,4027,5
448,4022,5
449,4022,5
450,4042,5
451,4022,5
452,4029,5
453,4032,5
454,4029,5
455,4029,5
456,3491,5
457,2877,5
458,2411,5
459,1985,5
460,1605,5
461,1279,5
462,1010,5
463,812,5
464,674,5
465,595,5
466,567,5
467,575,5
468,615,5
469,687,5
470,768,5
471,849,5
472,937,5
473,1014,5
474,1093,5
475,1155,5
476,1203,5
477,1253,5
478,1283,5
479,1301,5
480,1308,5
481,1307,5
482,1296,5
483,1290,5
484,1275,5
485,1250,5
486,1222,5
487,1194,5
488,1161,5
489,1129,5
490,1104,5
491,1087,5
492,1071,5
493,1058,5
494,1051,5
495,1051,5
496,1066,5
497,1088,5
498,1110,5
499,1134,5
500,1157,5
501,1173,5
502,1187,5
503,1199,5
504,1210,5
505,1223,5
506,1233,5
507,1273,5
508,1347,5
509,1451,5
510,1625,5
511,1874,5
512,2192,5
513,2576,5
514,2997,5
515,3604,5
516,4030,5
517,4023,5
518,4022,5
519,4025,5
520,4023,5
521,4023,5
522,4021,5
523,4019,5
524,4023,5
525,4021,5
526,4023,5
527,4019,5
528,4030,5
529,4031,5
530,4030,5
531,4029,5
532,3506,5
533,2923,5
534,2464,5
535,2043,5
536,1658,5
537,1326,5
538,1058,6
539,849,6
540,713,6
541,637,6
542,624,6
543,646,6
544,703,6
545,778,6
546,857,6
547,949,6
548,1037,6
549,1114,6
550,1178,6
551,1225,6
552,1251,6
553,1265,6
554,1272,6
555,1263,6
556,1234,6
557,1221,6
558,1198,6
559,1172,6
560,1147,6
561,1134,6
562,1126,6
563,1117,6
564,1114,6
565,1119,6
566,1129,6
567,1142,6
568,1165,6
569,1177,6
570,1190,6
571,1198,6
572,1200,6
573,1194,6
574,1176,6
575,1168,6
576,1162,6
577,1170,6
578,1223,6
579,1333,6
580,1510,6
581,1764,6
582,2107,6
583,2507,6
584,2987,6
585,3681,6
586,4027,6
587,4026,6
588,4026,6
589,4026,6
590,4033,6
591,4027,6
592,4031,6
593,4030,6
594,4030,6
595,4025,6
596,4029,6
597,4031,6
598,4021,6
599,4014,6
600,4042,6
601,4035,6
602,4027,6
603,4032,6
604,4032,6
605,3741,6
606,3018,6
607,2525,6
608,2087,6
609,1691,6
610,1351,6
611,1072,6
612,863,6
613,722,6
614,654,6
615,627,6
616,657,6
617,756,6
618,873,6
619,1009,6
620,1154,6
621,1285,6
622,1386,6
623,1451,6
624,1486,6
625,1491,6
626,1489,6
627,1489,6
628,1496,6
629,1499,6
630,1488,6
631,1461,6
632,1424,6
633,1382,6
634,1326,6
635,1277,6
636,1231,6
637,1191,6
638,1157,7
639,1126,7
640,1104,7
641,1095,7
642,1080,7
643,1094,7
644,1119,7
645,1152,7
646,1197,7
647,1236,7
648,1282,7
649,1310,7
650,1330,7
651,1355,7
652,1399,7
653,1469,7
654,1571,7
655,1711,7
656,1937,7
657,2265,7
658,2646,7
659,3083,7
660,3727,7
661,4034,7
662,4030,7
663,4031,7
664,4016,7
665,4032,7
666,4031,7
667,4030,7
668,4038,7
669,4021,7
670,4037,7
671,4027,7
672,4033,7
673,4030,7
674,4029,7
675,4033,7
676,4032,7
677,4031,7
678,3621,7
679,2876,7
680,2330,7
681,1846,7
682,1408,7
683,1011,7
684,694,7
685,448,7
686,317,7
687,273,7
688,286,7
689,379,7
690,496,7
691,611,7
692,725,7
693,861,7
694,1039,7
695,1215,7
696,1376,7
697,1518,7
698,1633,7
699,1707,7
700,1743,7
701,1744,7
702,1726,7
703,1682,7
704,1622,7
705,1552,7
706,1461,7
707,1371,7
708,1287,7
709,1200,7
710,1121,7
711,1043,7
712,970,7
713,907,7
714,854,7
715,811,7
716,769,7
717,751,7
718,731,7
719,717,7
720,711,7
721,717,7
722,767,7
723,862,7
724,1009,7
725,1213,7
726,1466,7
727,1775,7
728,2128,7
729,2499,7
730,2896,7
731,3357,7
732,3949,7
733,4029,7
734,4031,7
735,4029,7
736,4033,7
737,4025,7
738,4029,8
