,4013,0
0,4034,0.0
1,4006,0.0
2,4009,0.0
3,4015,0.0
4,4008,0.0
5,4007,0.0
6,4009,0.0
7,3998,0.0
8,3371,0.0
9,2971,0.0
10,2715,0.0
11,2528,0.0
12,2406,0.0
13,2330,0.0
14,2295,0.0
15,2288,0.0
16,2304,0.0
17,2329,0.0
18,2363,0.0
19,2395,0.0
20,2427,0.0
21,2474,0.0
22,2527,0.0
23,2614,0.0
24,2717,0.0
25,2841,0.0
26,2978,0.0
27,3120,0.0
28,3264,0.0
29,3394,0.0
30,3493,0.0
31,3541,0.0
32,3541,0.0
33,3483,0.0
34,3364,0.0
35,3230,0.0
36,3081,0.0
37,2925,0.0
38,2797,0.0
39,2673,0.0
40,2559,0.0
41,2465,0.0
42,2379,0.0
43,2310,0.0
44,2260,1.0
45,2228,1.0
46,2219,1.0
47,2220,1.0
48,2230,1.0
49,2256,1.0
50,2288,1.0
51,2322,1.0
52,2359,1.0
53,2389,1.0
54,2423,1.0
55,2449,1.0
56,2468,1.0
57,2474,1.0
58,2480,1.0
59,2473,1.0
60,2463,1.0
61,2449,1.0
62,2442,1.0
63,2414,1.0
64,2384,1.0
65,2363,1.0
66,2333,1.0
67,2314,1.0
68,2295,1.0
69,2275,1.0
70,2271,1.0
71,2265,1.0
72,2258,1.0
73,2256,1.0
74,2261,1.0
75,2266,1.0
76,2258,1.0
77,2256,1.0
78,2251,1.0
79,2253,1.0
80,2250,1.0
81,2250,1.0
82,2247,1.0
83,2240,1.0
84,2230,1.0
85,2227,1.0
86,2222,1.0
87,2226,1.0
88,2233,1.0
89,2254,1.0
90,2295,1.0
91,2371,1.0
92,2478,1.0
93,2606,1.0
94,2733,1.0
95,2875,1.0
96,3007,1.0
97,3136,1.0
98,3229,1.0
99,3283,1.0
100,3280,1.0
101,3220,1.0
102,3108,1.0
103,2985,1.0
104,2850,1.0
105,2710,1.0
106,2579,1.0
107,2452,1.0
108,2341,1.0
109,2249,1.0
110,2170,1.0
111,2109,1.0
112,2064,1.0
113,2037,1.0
114,2032,1.0
115,2045,1.0
116,2070,1.0
117,2106,1.0
