,3985,0
0,3984,0.0
1,3981,0.0
2,3984,0.0
3,3984,0.0
4,3984,0.0
5,3983,0.0
6,3981,0.0
7,3975,0.0
8,3983,0.0
9,3978,0.0
10,3987,0.0
11,3981,0.0
12,3984,0.0
13,3442,0.0
14,2886,0.0
15,2477,0.0
16,2134,0.0
17,1845,0.0
18,1623,0.0
19,1466,0.0
20,1375,0.0
21,1340,0.0
22,1355,0.0
23,1395,0.0
24,1459,0.0
25,1533,0.0
26,1607,0.0
27,1652,0.0
28,1741,0.0
29,1766,0.0
30,1807,0.0
31,1815,0.0
32,1828,0.0
33,1822,0.0
34,1812,0.0
35,1796,0.0
36,1781,0.0
37,1763,0.0
38,1744,0.0
39,1725,0.0
40,1715,0.0
41,1701,0.0
42,1696,0.0
43,1690,0.0
44,1690,0.0
45,1698,0.0
46,1710,0.0
47,1716,1.0
48,1722,1.0
49,1729,1.0
50,1739,1.0
51,1744,1.0
52,1744,1.0
53,1744,1.0
54,1744,1.0
55,1738,1.0
56,1735,1.0
57,1730,1.0
58,1732,1.0
59,1730,1.0
60,1727,1.0
61,1715,1.0
62,1712,1.0
63,1711,1.0
64,1699,1.0
65,1690,1.0
66,1691,1.0
67,1703,1.0
68,1727,1.0
69,1779,1.0
70,1878,1.0
71,2026,1.0
72,2224,1.0
73,2448,1.0
74,2674,1.0
75,2893,1.0
76,3088,1.0
77,3243,1.0
78,3327,1.0
79,3331,1.0
80,3253,1.0
81,3143,1.0
82,3001,1.0
83,2859,1.0
84,2691,1.0
85,2523,1.0
86,2375,1.0
87,2224,1.0
88,2109,1.0
89,1999,1.0
90,1916,1.0
91,1841,1.0
92,1777,1.0
93,1731,1.0
94,1706,1.0
95,1689,1.0
96,1689,1.0
97,1712,1.0
98,1749,1.0
99,1794,1.0
100,1849,1.0
101,1890,1.0
102,1929,1.0
103,1952,1.0
104,1968,1.0
105,1997,1.0
106,1981,1.0
107,1969,1.0
108,1953,1.0
109,1930,1.0
110,1897,1.0
111,1855,1.0
112,1819,1.0
113,1776,1.0
114,1744,1.0
115,1702,1.0
116,1695,1.0
117,1678,1.0
118,1669,1.0
119,1665,1.0
120,1671,1.0
121,1669,1.0
122,1681,1.0
123,1685,1.0
124,1709,1.0
125,1722,1.0
126,1739,1.0
127,1746,1.0
128,1761,1.0
129,1762,1.0
130,1773,1.0
131,1769,1.0
132,1770,1.0
133,1760,1.0
134,1754,1.0
135,1756,1.0
136,1739,1.0
137,1719,1.0
138,1667,1.0
139,1687,1.0
140,1680,1.0
141,1654,1.0
142,1642,1.0
143,1622,1.0
144,1617,1.0
145,1632,1.0
146,1669,1.0
147,1749,2.0
148,1899,2.0
149,2098,2.0
150,2346,2.0
151,2609,2.0
152,2889,2.0
153,3171,2.0
154,3455,2.0
155,3678,2.0
156,3793,2.0
157,3775,2.0
158,3647,2.0
159,3441,2.0
160,3233,2.0
161,3024,2.0
162,2849,2.0
163,2679,2.0
164,2537,2.0
165,2416,2.0
166,2311,2.0
167,2211,2.0
168,2126,2.0
169,2036,2.0
170,1960,2.0
171,1883,2.0
172,1830,2.0
173,1783,2.0
174,1760,2.0
175,1744,2.0
176,1751,2.0
177,1763,2.0
178,1781,2.0
179,1798,2.0
180,1824,2.0
181,1837,2.0
182,1853,2.0
183,1859,2.0
184,1867,2.0
185,1858,2.0
186,1846,2.0
187,1836,2.0
188,1799,2.0
189,1771,2.0
190,1741,2.0
191,1703,2.0
192,1685,2.0
193,1671,2.0
194,1648,2.0
195,1631,2.0
196,1620,2.0
197,1617,2.0
198,1614,2.0
199,1607,2.0
200,1616,2.0
201,1616,2.0
202,1626,2.0
203,1635,2.0
204,1648,2.0
205,1645,2.0
206,1644,2.0
207,1638,2.0
208,1647,2.0
209,1642,2.0
210,1664,2.0
211,1637,2.0
212,1642,2.0
213,1634,2.0
214,1631,2.0
215,1621,2.0
216,1623,2.0
217,1613,2.0
218,1615,2.0
219,1605,2.0
220,1600,2.0
221,1593,2.0
222,1599,2.0
223,1586,2.0
224,1584,2.0
225,1579,2.0
226,1577,2.0
227,1565,2.0
228,1557,2.0
229,1554,2.0
230,1559,2.0
231,1577,2.0
232,1611,2.0
233,1675,2.0
234,1802,2.0
235,1983,2.0
236,2229,2.0
237,2511,2.0
238,2830,2.0
239,3157,2.0
240,3501,2.0
241,3813,2.0
242,3983,2.0
243,3975,2.0
244,3922,2.0
245,3714,2.0
246,3447,2.0
247,3195,3.0
248,2973,3.0
249,2787,3.0
250,2630,3.0
251,2481,3.0
252,2366,3.0
253,2273,3.0
254,2195,3.0
255,2115,3.0
256,2046,3.0
257,1981,3.0
258,1923,3.0
259,1866,3.0
260,1820,3.0
261,1786,3.0
262,1741,3.0
263,1761,3.0
264,1765,3.0
265,1787,3.0
266,1798,3.0
267,1811,3.0
268,1829,3.0
269,1831,3.0
270,1838,3.0
271,1825,3.0
272,1818,3.0
273,1793,3.0
274,1769,3.0
275,1734,3.0
276,1703,3.0
277,1668,3.0
278,1648,3.0
279,1600,3.0
280,1568,3.0
281,1533,3.0
282,1507,3.0
283,1488,3.0
284,1484,3.0
285,1478,3.0
286,1489,3.0
287,1495,3.0
288,1513,3.0
289,1527,3.0
290,1535,3.0
291,1552,3.0
292,1574,3.0
293,1587,3.0
294,1595,3.0
295,1598,3.0
296,1601,3.0
297,1602,3.0
298,1604,3.0
299,1601,3.0
300,1605,3.0
301,1603,3.0
302,1600,3.0
303,1596,3.0
304,1590,3.0
305,1587,3.0
306,1588,3.0
307,1593,3.0
308,1600,3.0
309,1605,3.0
310,1614,3.0
311,1615,3.0
312,1618,3.0
313,1618,3.0
314,1629,3.0
315,1622,3.0
316,1616,3.0
317,1600,3.0
318,1598,3.0
319,1601,3.0
320,1615,3.0
321,1619,3.0
322,1653,3.0
323,1700,3.0
324,1766,3.0
325,1852,3.0
326,1983,3.0
327,2164,3.0
328,2401,3.0
329,2683,3.0
330,3012,3.0
331,3376,3.0
332,3735,3.0
333,3975,3.0
334,3984,3.0
335,3984,3.0
336,3789,3.0
337,3511,3.0
338,3255,3.0
339,3021,3.0
340,2832,3.0
341,2650,3.0
342,2502,3.0
343,2368,3.0
344,2249,3.0
345,2166,3.0
346,2096,3.0
347,2031,4.0
348,1979,4.0
349,1931,4.0
350,1887,4.0
351,1851,4.0
352,1827,4.0
353,1820,4.0
354,1818,4.0
355,1817,4.0
356,1846,4.0
357,1831,4.0
358,1830,4.0
359,1811,4.0
360,1799,4.0
361,1776,4.0
362,1750,4.0
363,1714,4.0
364,1681,4.0
365,1643,4.0
366,1611,4.0
367,1573,4.0
368,1543,4.0
369,1510,4.0
370,1492,4.0
371,1477,4.0
372,1477,4.0
373,1469,4.0
374,1481,4.0
375,1456,4.0
376,1456,4.0
377,1452,4.0
378,1456,4.0
379,1459,4.0
380,1479,4.0
381,1505,4.0
382,1534,4.0
383,1563,4.0
384,1587,4.0
385,1597,4.0
386,1615,4.0
387,1623,4.0
388,1645,4.0
389,1649,4.0
390,1659,4.0
391,1659,4.0
392,1659,4.0
393,1646,4.0
394,1641,4.0
395,1632,4.0
396,1622,4.0
397,1611,4.0
398,1609,4.0
399,1605,4.0
400,1607,4.0
401,1609,4.0
402,1607,4.0
403,1611,4.0
404,1615,4.0
405,1614,4.0
406,1616,4.0
407,1616,4.0
408,1614,4.0
409,1604,4.0
410,1603,4.0
411,1594,4.0
412,1584,4.0
413,1578,4.0
414,1583,4.0
415,1581,4.0
416,1617,4.0
417,1673,4.0
418,1785,4.0
419,1955,4.0
420,2193,4.0
421,2475,4.0
422,2775,4.0
423,3088,4.0
424,3370,4.0
425,3624,4.0
426,3791,4.0
427,3780,4.0
428,3652,4.0
429,3427,4.0
430,3181,4.0
431,2933,4.0
432,2711,4.0
433,2507,4.0
434,2326,4.0
435,2167,4.0
436,2039,4.0
437,1933,4.0
438,1847,4.0
439,1774,4.0
440,1714,4.0
441,1675,4.0
442,1642,4.0
443,1616,4.0
444,1631,4.0
445,1648,4.0
446,1683,4.0
447,1725,5.0
448,1773,5.0
449,1807,5.0
450,1835,5.0
451,1858,5.0
452,1885,5.0
453,1899,5.0
454,1904,5.0
455,1891,5.0
456,1871,5.0
457,1831,5.0
458,1789,5.0
459,1744,5.0
460,1706,5.0
461,1673,5.0
462,1647,5.0
463,1613,5.0
464,1586,5.0
465,1552,5.0
466,1535,5.0
467,1520,5.0
468,1520,5.0
469,1517,5.0
470,1523,5.0
471,1532,5.0
472,1549,5.0
473,1553,5.0
474,1567,5.0
475,1583,5.0
476,1589,5.0
477,1600,5.0
478,1616,5.0
479,1616,5.0
480,1629,5.0
481,1633,5.0
482,1635,5.0
483,1632,5.0
484,1634,5.0
485,1632,5.0
486,1617,5.0
487,1610,5.0
488,1597,5.0
489,1584,5.0
490,1586,5.0
491,1606,5.0
492,1631,5.0
493,1645,5.0
494,1638,5.0
495,1619,5.0
496,1613,5.0
497,1605,5.0
498,1609,5.0
499,1621,5.0
500,1611,5.0
501,1614,5.0
502,1616,5.0
503,1611,5.0
504,1615,5.0
505,1617,5.0
506,1648,5.0
507,1702,5.0
508,1807,5.0
509,1978,5.0
510,2201,5.0
511,2450,5.0
512,2735,5.0
513,2986,5.0
514,3237,5.0
515,3428,5.0
516,3539,5.0
517,3536,5.0
518,3440,5.0
519,3244,5.0
520,3054,5.0
521,2847,5.0
522,2640,5.0
523,2457,5.0
524,2274,5.0
525,2128,5.0
526,2003,5.0
527,1901,5.0
528,1825,5.0
529,1752,5.0
530,1712,5.0
531,1678,5.0
532,1673,5.0
533,1679,5.0
534,1702,5.0
535,1730,5.0
536,1771,5.0
537,1811,5.0
538,1861,5.0
539,1902,5.0
540,1937,5.0
541,1968,5.0
542,1990,5.0
543,1991,5.0
544,1978,5.0
545,1951,5.0
546,1921,5.0
547,1869,6.0
548,1823,6.0
549,1778,6.0
550,1739,6.0
551,1698,6.0
552,1666,6.0
553,1625,6.0
554,1599,6.0
555,1571,6.0
556,1562,6.0
557,1554,6.0
558,1563,6.0
559,1572,6.0
560,1584,6.0
561,1589,6.0
562,1608,6.0
563,1614,6.0
564,1629,6.0
565,1629,6.0
566,1648,6.0
567,1641,6.0
568,1641,6.0
569,1625,6.0
570,1616,6.0
571,1601,6.0
572,1586,6.0
573,1570,6.0
574,1569,6.0
575,1565,6.0
576,1567,6.0
577,1559,6.0
578,1555,6.0
579,1552,6.0
580,1534,6.0
581,1522,6.0
582,1515,6.0
583,1489,6.0
584,1501,6.0
585,1495,6.0
586,1488,6.0
587,1484,6.0
588,1488,6.0
589,1486,6.0
590,1495,6.0
591,1502,6.0
592,1517,6.0
593,1547,6.0
594,1605,6.0
595,1686,6.0
596,1827,6.0
597,2011,6.0
598,2271,6.0
599,2525,6.0
600,2799,6.0
601,3049,6.0
602,3279,6.0
603,3426,6.0
604,3485,6.0
605,3408,6.0
606,3275,6.0
607,3088,6.0
608,2896,6.0
609,2704,6.0
610,2521,6.0
611,2352,6.0
612,2217,6.0
613,2091,6.0
614,1995,6.0
615,1910,6.0
616,1847,6.0
617,1803,6.0
618,1782,6.0
619,1765,6.0
620,1775,6.0
621,1790,6.0
622,1826,6.0
623,1885,6.0
624,1931,6.0
625,1987,6.0
626,2059,6.0
627,2110,6.0
628,2160,6.0
629,2189,6.0
630,2214,6.0
631,2212,6.0
632,2195,6.0
633,2160,6.0
634,2112,6.0
635,2044,6.0
636,1968,6.0
637,1885,6.0
638,1808,6.0
639,1743,6.0
640,1682,6.0
641,1647,6.0
642,1621,6.0
643,1615,6.0
644,1616,6.0
645,1631,6.0
646,1655,6.0
647,1679,7.0
648,1714,7.0
649,1744,7.0
650,1776,7.0
651,1793,7.0
652,1811,7.0
653,1825,7.0
654,1833,7.0
655,1831,7.0
656,1831,7.0
657,1829,7.0
658,1840,7.0
659,1838,7.0
660,1840,7.0
661,1838,7.0
662,1835,7.0
663,1821,7.0
664,1818,7.0
665,1802,7.0
666,1792,7.0
667,1778,7.0
668,1767,7.0
669,1742,7.0
670,1725,7.0
671,1709,7.0
672,1682,7.0
673,1649,7.0
674,1622,7.0
675,1594,7.0
676,1582,7.0
677,1581,7.0
678,1617,7.0
679,1708,7.0
680,1872,7.0
681,2096,7.0
682,2368,7.0
683,2656,7.0
684,2938,7.0
685,3220,7.0
686,3478,7.0
687,3669,7.0
688,3691,7.0
689,3599,7.0
690,3435,7.0
691,3210,7.0
692,3008,7.0
693,2814,7.0
694,2640,7.0
695,2477,7.0
696,2338,7.0
697,2219,7.0
698,2130,7.0
699,2072,7.0
700,2001,7.0
701,1946,7.0
702,1923,7.0
703,1898,7.0
704,1891,7.0
705,1889,7.0
706,1903,7.0
707,1915,7.0
708,1943,7.0
709,1975,7.0
710,2009,7.0
711,2034,7.0
712,2064,7.0
713,2069,7.0
714,2069,7.0
715,2060,7.0
716,2042,7.0
717,2017,7.0
718,1994,7.0
719,1960,7.0
720,1922,7.0
721,1878,7.0
722,1837,7.0
723,1795,7.0
724,1751,7.0
725,1707,7.0
726,1665,7.0
727,1633,7.0
728,1609,7.0
729,1587,7.0
730,1571,7.0
731,1568,7.0
732,1574,7.0
733,1571,7.0
734,1581,7.0
735,1583,7.0
736,1591,7.0
737,1600,7.0
738,1607,7.0
739,1616,7.0
740,1625,7.0
741,1634,7.0
742,1636,7.0
743,1641,7.0
744,1645,7.0
745,1634,7.0
746,1648,7.0
747,1639,8.0
748,1632,8.0
749,1622,8.0
750,1631,8.0
751,1614,8.0
752,1613,8.0
753,1616,8.0
754,1614,8.0
755,1598,8.0
756,1587,8.0
757,1575,8.0
758,1566,8.0
759,1573,8.0
760,1564,8.0
761,1559,8.0
762,1568,8.0
763,1575,8.0
764,1600,8.0
765,1635,8.0
766,1717,8.0
767,1855,8.0
