,1113,0
0,1090,0
1,1087,0
2,1087,0
3,1104,0
4,1131,0
5,1164,0
6,1199,0
7,1223,0
8,1243,0
9,1264,0
10,1261,0
11,1264,0
12,1261,0
13,1253,0
14,1244,1
15,1232,1
16,1223,1
17,1213,1
18,1202,1
19,1191,1
20,1179,1
21,1168,1
22,1168,1
23,1165,1
24,1155,1
25,1150,1
26,1146,1
27,1146,1
28,1140,1
29,1140,1
30,1157,1
31,1195,1
32,1261,1
33,1350,1
34,1474,1
35,1623,1
36,1775,1
37,1904,1
38,2003,1
39,2064,1
40,2082,1
41,2064,1
42,2000,1
43,1922,1
44,1824,1
45,1710,1
46,1595,1
47,1479,1
48,1387,1
49,1302,1
50,1237,1
51,1183,1
52,1140,1
53,1113,1
54,1093,1
55,1090,1
56,1098,1
57,1114,1
58,1137,1
59,1159,1
60,1190,1
61,1211,1
62,1231,1
63,1239,1
64,1254,1
65,1264,1
66,1264,1
67,1262,1
68,1250,1
69,1246,1
70,1231,1
71,1216,1
72,1211,1
73,1200,1
74,1187,1
75,1175,1
76,1159,1
77,1154,1
78,1139,1
79,1139,1
80,1144,1
81,1140,1
82,1145,1
83,1153,1
84,1175,1
85,1224,1
86,1314,1
87,1435,1
88,1584,1
89,1729,1
90,1871,1
91,1983,1
92,2070,1
93,2112,1
94,2110,1
95,2071,1
96,2000,1
97,1902,1
98,1789,1
99,1665,1
100,1557,1
101,1454,1
102,1361,1
103,1281,1
104,1221,1
105,1175,1
106,1142,1
107,1127,1
108,1120,1
109,1120,1
110,1131,1
111,1145,1
112,1168,1
113,1191,1
114,1216,2
115,1232,2
116,1253,2
117,1264,2
118,1273,2
119,1268,2
120,1264,2
121,1260,2
122,1249,2
123,1237,2
124,1218,2
125,1214,2
126,1207,2
127,1200,2
128,1191,2
129,1179,2
130,1170,2
131,1163,2
132,1149,2
133,1142,2
134,1140,2
135,1142,2
136,1157,2
137,1197,2
138,1258,2
139,1355,2
140,1478,2
141,1616,2
142,1773,2
143,1904,2
144,2017,2
145,2097,2
146,2131,2
147,2130,2
148,2091,2
149,2011,2
150,1915,2
151,1802,2
152,1680,2
153,1566,2
154,1461,2
155,1374,2
156,1296,2
157,1233,2
158,1188,2
159,1153,2
160,1129,2
161,1120,2
162,1128,2
163,1141,2
164,1162,2
165,1183,2
166,1209,2
167,1239,2
168,1269,2
169,1293,2
170,1315,2
171,1329,2
172,1342,2
173,1339,2
174,1335,2
175,1325,2
176,1310,2
177,1296,2
